D,P_mass_inner,canonical_P_mass_box,canonical_box_over_inner_share
4.0,0.0031783215471709197,0.0031783215471709193,0.9999999999999999
5.0,0.0038519779319045972,0.0038519779319045972,1.0
6.0,0.002623494608756425,0.002623494608756425,1.0
7.0,0.00354929003251435,0.00354929003251435,1.0
8.0,0.002728345303839368,0.002728345303839368,1.0
9.0,0.0024504172415168116,0.0024504172415168116,1.0
10.0,0.002608056956997472,0.002608056956997472,1.0
11.0,0.001878367855250543,0.0018780399522891015,0.9998254319778073
12.0,0.002414291784590538,0.002414291784590538,1.0
13.0,0.0018397910383619598,0.0018397910383619598,1.0
14.0,0.0021899202296235126,0.0021899202296235126,1.0
15.0,0.0017671844639030095,0.0017671844639030095,1.0
16.0,0.0019576194017206527,0.0019576194017206527,1.0
17.0,0.001666730720250354,0.0016667307202503539,0.9999999999999999
18.0,0.0013015907244602457,0.0013015907244602457,1.0
19.0,0.0015390864765640823,0.0015390864765640823,1.0
20.0,0.0012552030327483696,0.0012552030327483696,1.0
