term,value,role
mirror_positive_lobe_mass,0.15538482480942128,target_positive_mass
mirror_signed_lower_half_mass,0.155207836004448,signed_lower_half_candidate
mirror_negative_leakage_lower_half,0.00017698880497326518,lower_half_negative_leakage
required_global,0.14532157043371163,global_mirror_positive_threshold
required_local,0.1410773596158427,local_mirror_positive_threshold
mirror_signed_upper_half_mass,-0.12882373065049882,upper_half_signed_mass
