D,phi_identifiable,block11_residual_abs,block22_residual_abs,trace_residual_abs,det_residual_abs,anisotropy_residual_abs,witness_linf
4.0,1,0.0,1.6711419448256493e-07,3.0295210784458965e-14,8.488858318264191e-20,3.890221478286549e-13,1.6711419448256493e-07
5.0,1,0.0,5.98374754190445e-08,2.0733414984874798e-14,1.7364175418713157e-18,1.3855583347321956e-13,5.98374754190445e-08
6.0,0,,9.080395102500916e-09,5.2909066017292616e-17,,,9.080395102500916e-09
7.0,1,5.820766091346741e-11,1.5209661796689036e-07,4.39648317751562e-14,4.2063656160648555e-18,3.526068326209497e-13,1.5209661796689036e-07
8.0,1,2.3283064365386963e-10,7.700873538851739e-08,6.439293542825908e-15,2.5898032362300233e-19,1.794120407794253e-13,7.700873538851739e-08
9.0,0,,2.3882603272795677e-07,8.909539772616881e-15,,,2.3882603272795677e-07
10.0,1,0.0,1.6047852113842964e-07,1.9637069748057456e-14,9.78746570552344e-19,3.730349362740526e-13,1.6047852113842964e-07
11.0,1,5.820766091346741e-11,3.958120942115784e-09,4.7704895589362195e-18,3.8050308177439273e-23,8.881784197001252e-15,3.958120942115784e-09
12.0,0,,6.30388967692852e-08,7.91033905045424e-15,,,6.30388967692852e-08
13.0,1,5.820766091346741e-11,3.6280835047364235e-07,7.873909857458727e-15,1.1167600013955916e-19,8.428813202954188e-13,3.6280835047364235e-07
14.0,1,5.820766091346741e-11,4.5925844460725784e-08,5.016820292524926e-15,2.265813133905254e-19,1.056932319443149e-13,4.5925844460725784e-08
15.0,0,,3.491295501589775e-07,1.4779844015322396e-14,,,3.491295501589775e-07
16.0,1,0.0,2.222368493676186e-07,1.9158286068687854e-14,7.189192139820874e-19,5.160316618457729e-13,2.222368493676186e-07
17.0,1,0.0,1.3504177331924438e-08,6.9735883734267655e-16,1.402898318889935e-20,3.1974423109204515e-14,1.3504177331924438e-08
18.0,0,,2.444721758365631e-09,1.3010426069826053e-17,,,2.444721758365631e-09
19.0,1,1.1641532182693479e-10,3.032037056982517e-07,1.5012296961103292e-14,2.8481482851425854e-19,7.034373084024992e-13,3.032037056982517e-07
20.0,1,1.1641532182693479e-10,2.4656765162944794e-07,3.580469254416131e-15,1.926999955003533e-20,5.719869022868806e-13,2.4656765162944794e-07
