D,N_mass_band,carrier_neg_moment,kernel_min,kernel_mean,kernel_max,kernel_avg_weighted,lower_product,upper_product,exact_over_lower,upper_over_exact,factor_resid_abs,positive_kernel_everywhere
4.0,0.0018333900790008153,0.03311421205604651,0.018285226678890258,0.07748821155340066,0.29995384611981984,0.055365656168951366,0.000605500873737651,0.009932735267438458,3.0278900634504766,5.417687911157308,0.0,1
5.0,0.001554694990215312,0.028872970242268987,0.02677854072327837,0.08402069065887992,0.30723602239961445,0.05384603583109349,0.0007731760094346047,0.008870816532097156,2.0107905201975984,5.705824350066648,0.0,1
6.0,0.0020322204441319976,0.02377558433412809,0.03218054615645666,0.08901038265937647,0.31218879483885936,0.0854750998155236,0.0007651112890611367,0.007422471019861113,2.65611091247356,3.652394621505444,0.0,1
7.0,0.0014660833831229847,0.025668306149315267,0.03566015018776297,0.09169126750447915,0.3157736200856356,0.05711648344049747,0.0009153356523500623,0.008105373954235663,1.6016893686582785,5.528590015780659,0.0,1
8.0,0.0015741737573348436,0.01983575395141157,0.03891966554781831,0.09420545905612666,0.31848758747062883,0.07936041963369993,0.0007720009096777537,0.006317441421646064,2.039082775163996,4.013179226378297,0.0,1
9.0,0.0016380231557762775,0.021710804344395367,0.041162615917011064,0.09672599382126135,0.3206132682421685,0.07544737310477087,0.0008936735004777217,0.006960771937022869,1.8329100671561331,4.2494954436245935,0.0,1
10.0,0.001292507371676467,0.01739190755738999,0.04258242614024464,0.09773951643682725,0.3223230733581938,0.07431659623370457,0.0007405896190005219,0.005605813095459539,1.7452410059714274,4.337161410683818,0.0,1
11.0,0.0015288810217468426,0.015475951819304992,0.04442189458072681,0.09906670667776395,0.32372804018075313,0.09879075869438206,0.0006874711002535736,0.005009999552395366,2.2239204254301237,3.276906103962967,0.0,1
12.0,0.001101855298288735,0.015551105741983035,0.04564311446263357,0.10073446870482938,0.32490298384792254,0.07085382329528353,0.0007098008994018498,0.00505260065770485,1.552344184428718,4.585539195166482,0.0,1
13.0,0.001240116772375993,0.013289720864388455,0.046302694515107386,0.10109919829158048,0.3259001109213388,0.09331398191357412,0.0006153498853748274,0.004331121503817828,2.0153034913147043,3.492511028231355,0.0,1
14.0,0.0009697036660191728,0.014054691892444083,0.047561016411264326,0.10191869375046805,0.3267568998188152,0.06899501415185724,0.0006684554317517967,0.004592467550683666,1.4506631556241616,4.735949457153918,0.0,1
15.0,0.001003750335946475,0.011605831419236476,0.04832776913656896,0.10319297028496259,0.3275010271399055,0.08648672375878001,0.0005608839414667988,0.003800921710612533,1.7895865111087181,3.786720237586269,0.0,1
16.0,0.0008774940060182406,0.012837287128808727,0.04862514119668959,0.10323877441309061,0.32815333912129935,0.06835509693080069,0.0006242148992207703,0.0042125986365774614,1.4057562661731522,4.800714999402393,0.0,1
17.0,0.0008418575375915578,0.01039833666991051,0.049590130009210996,0.10379490776213146,0.3287298363895106,0.08096078866417421,0.0005156548673404083,0.0034182435122227304,1.6325988387031118,4.06035862314884,0.0,1
18.0,0.0009600073623529855,0.00953070601036242,0.050115915612222686,0.10485556892890613,0.32924299432033655,0.1007278328918342,0.00047764005814022656,0.0031379181848385515,2.009897088805614,3.2686397082908716,0.0,1
19.0,0.0007374471126037282,0.009521561564514527,0.05021289935247585,0.10472122926387792,0.32970269879327513,0.07745022784414757,0.00047810521251737045,0.0031392845445467584,1.5424368806205713,4.256962283658262,0.0,1
20.0,0.0007962826176135601,0.008400857666632018,0.05100947567152647,0.10512330673833852,0.3301169014325472,0.09478587177787492,0.0004285233447660226,0.00277326510228442,1.8582012563360748,3.4827648386898478,0.0,1
