rho_min,zeta_box,max_tail_over_P_mass_inner,min_annulus_over_inner_share,mean_annulus_over_inner_share,max_annulus_over_P_mass_inner
0.03,1.2000000000000002,0.0,1.0,1.0,0.9578123083576875
0.03,1.1900000000000002,0.007731427671181109,0.9840959397342349,0.9949437400560162,0.9578123083576874
0.06,1.2000000000000002,0.012666985965303091,0.9867750854162414,0.9896573614361235,0.9451453223923845
0.09,1.2000000000000002,0.012666985965303091,0.9867750854162414,0.9896573614361235,0.9451453223923845
0.06,1.1900000000000002,0.012666985965303091,0.9754289194851424,0.9846432689586566,0.9451453223923845
0.09,1.1900000000000002,0.012666985965303091,0.9754289194851424,0.9846432689586566,0.9451453223923845
0.03,1.1800000000000002,0.020510699933454814,0.958103348335428,0.9803832162609664,0.9578123083576875
0.06,1.1800000000000002,0.02490365647795841,0.949650423411375,0.9702040023300755,0.9451453223923845
0.09,1.1800000000000002,0.02490365647795841,0.949650423411375,0.9702040023300755,0.9451453223923845
0.03,1.1700000000000002,0.025243846249282144,0.948071731488247,0.9756711326766423,0.9578123083576875
0.06,1.1700000000000002,0.02931303028006949,0.9397011496487038,0.9655313185709512,0.9451453223923845
0.09,1.1700000000000002,0.02931303028006949,0.9397011496487038,0.9655313185709512,0.9451453223923845
0.03,1.1600000000000001,0.03294613420054598,0.9322276135619051,0.9704044043401263,0.9573413538359001
0.06,1.1600000000000001,0.036951513128934396,0.9239882830561353,0.9603087020108092,0.9446780665803558
0.09,1.1600000000000001,0.036951513128934396,0.9239882830561353,0.9603087020108092,0.9446780665803558
0.03,1.1500000000000001,0.04596295804234892,0.9054511423002584,0.9553473973456678,0.9568688759338276
0.12,1.2000000000000002,0.048117835629588296,0.9497627716727784,0.9594073710621903,0.9096944727280992
0.15,1.2000000000000002,0.048117835629588296,0.9497627716727784,0.9594073710621903,0.9096944727280992
0.12,1.1800000000000002,0.048117835629588296,0.9235994414963369,0.9404415969031593,0.9096944727280992
0.15,1.1800000000000002,0.048117835629588296,0.9235994414963369,0.9404415969031593,0.9096944727280992
0.12,1.1700000000000002,0.048117835629588296,0.9147951392645174,0.935886449806647,0.9096944727280992
0.15,1.1700000000000002,0.048117835629588296,0.9147951392645174,0.935886449806647,0.9096944727280992
0.12,1.1900000000000002,0.048117835629588414,0.9496381403891135,0.9545190839102226,0.9096944727280991
0.15,1.1900000000000002,0.048117835629588414,0.9496381403891135,0.9545190839102226,0.9096944727280991
0.12,1.1600000000000001,0.04886865610331383,0.899473928383098,0.9307954190044003,0.9092382728094399
0.15,1.1600000000000001,0.04886865610331383,0.899473928383098,0.9307954190044003,0.9092382728094399
0.06,1.1500000000000001,0.04986069322258689,0.8974332421344761,0.9453775913079352,0.9442093028281071
0.09,1.1500000000000001,0.04986069322258689,0.8974332421344761,0.9453775913079352,0.9442093028281071
0.03,1.1400000000000001,0.05125303149151411,0.8945691098317332,0.9506075005882333,0.9568688759338276
0.06,1.1400000000000001,0.05510715832351788,0.8866409149348745,0.9406774735466448,0.9442093028281071
0.09,1.1400000000000001,0.05510715832351788,0.8866409149348745,0.9406774735466448,0.9442093028281071
0.03,1.1300000000000001,0.05886865161122882,0.8789032733916424,0.9451104982963616,0.9557140276703764
0.12,1.1500000000000001,0.06145661118999827,0.873579668637564,0.9162398739235309,0.9087806107137683
0.15,1.1500000000000001,0.06145661118999827,0.873579668637564,0.9162398739235309,0.9087806107137683
0.06,1.1300000000000001,0.0626594200507511,0.8711054109165851,0.9352267113777454,0.9430638528456117
0.09,1.1300000000000001,0.0626594200507511,0.8711054109165851,0.9352267113777454,0.9430638528456117
0.12,1.1400000000000001,0.06657293074661225,0.8630550594673058,0.9116584075533786,0.9087806107137683
0.15,1.1400000000000001,0.06657293074661225,0.8630550594673058,0.9116584075533786,0.9087806107137683
0.03,1.12,0.07219314209021348,0.8514939114211111,0.9295857146393501,0.9545517006049521
0.12,1.1300000000000001,0.0739361597449015,0.8479084083286124,0.9063455581086696,0.9076632204540558
0.15,1.1300000000000001,0.0739361597449015,0.8479084083286124,0.9063455581086696,0.9076632204540558
0.06,1.12,0.07587325442496529,0.843923675903699,0.9198322830394917,0.9419109977155793
0.09,1.12,0.07587325442496529,0.843923675903699,0.9198322830394917,0.9419109977155793
0.03,1.11,0.07788125417129516,0.8397930870477351,0.9248500918295546,0.9545517006049521
0.06,1.11,0.08151426549387543,0.8323197414409598,0.9151365599460719,0.9419109977155795
0.09,1.11,0.08151426549387543,0.8323197414409598,0.9151365599460719,0.9419109977155795
0.03,1.1,0.08535053276374653,0.8244282848496972,0.9191098945830141,0.9526762474605727
0.12,1.12,0.08681983118568602,0.8214058404002686,0.8913399365618995,0.9065386435337586
0.15,1.12,0.08681983118568602,0.8214058404002686,0.8913399365618995,0.9065386435337586
0.06,1.1,0.08892111686984608,0.8170833561738379,0.9094448916099439,0.9400510019678207
0.09,1.1,0.08892111686984608,0.8170833561738379,0.9094448916099439,0.9400510019678207
0.12,1.11,0.09232029627682097,0.8100910183493262,0.8867632072144155,0.9065386435337587
0.15,1.11,0.09232029627682097,0.8100910183493262,0.8867632072144155,0.9065386435337587
0.12,1.1,0.09954092464752905,0.7952377061735569,0.8812162513559931,0.904724778053805
0.15,1.1,0.09954092464752905,0.7952377061735569,0.8812162513559931,0.904724778053805
0.18,1.1800000000000002,0.10194970043208865,0.8807490125122444,0.8928564291569704,0.8558626079255989
0.21,1.1800000000000002,0.10194970043208865,0.8807490125122444,0.8928564291569704,0.8558626079255989
0.18,1.1700000000000002,0.10194970043208865,0.8739520625058514,0.8884949935206339,0.8558626079255989
0.21,1.1700000000000002,0.10194970043208865,0.8739520625058514,0.8884949935206339,0.8558626079255989
0.18,1.2000000000000002,0.10194970043208876,0.8935598346956966,0.9110184206032877,0.8558626079255988
0.21,1.2000000000000002,0.10194970043208876,0.8935598346956966,0.9110184206032877,0.8558626079255988
0.18,1.1900000000000002,0.10194970043208876,0.8935598346956966,0.9063375123139809,0.8558626079255988
0.21,1.1900000000000002,0.10194970043208876,0.8935598346956966,0.9063375123139809,0.8558626079255988
0.18,1.1600000000000001,0.10238760688585881,0.859276698631459,0.8836208039647013,0.8554247014718287
0.21,1.1600000000000001,0.10238760688585881,0.859276698631459,0.8836208039647013,0.8554247014718287
0.18,1.1500000000000001,0.10282690105736951,0.8344721789142978,0.8696842102787455,0.854985407300318
0.21,1.1500000000000001,0.10282690105736951,0.8344721789142978,0.8696842102787455,0.854985407300318
0.18,1.1400000000000001,0.10282690105736951,0.8243891620242904,0.8652982393898597,0.854985407300318
0.21,1.1400000000000001,0.10282690105736951,0.8243891620242904,0.8652982393898597,0.854985407300318
0.18,1.1300000000000001,0.10389797046319431,0.8098835386084375,0.8602125863874358,0.8539143378944932
0.21,1.1300000000000001,0.10389797046319431,0.8098835386084375,0.8602125863874358,0.8539143378944932
0.18,1.12,0.10497587045344121,0.7845006891044641,0.8458475415664233,0.8528364379042463
0.21,1.12,0.10497587045344121,0.7845006891044641,0.8458475415664233,0.8528364379042463
0.18,1.11,0.11002921600628546,0.7736625941827489,0.8414668144201984,0.8528364379042463
0.21,1.11,0.11002921600628546,0.7736625941827489,0.8414668144201984,0.8528364379042463
0.18,1.1,0.11694295617339896,0.7594405714262692,0.8361581705017284,0.8510986596997577
0.21,1.1,0.11694295617339896,0.7594405714262692,0.8361581705017284,0.8510986596997577
0.24,1.2000000000000002,0.17034126238897007,0.8221559058047128,0.8466099093594048,0.7874710459687174
0.27,1.2000000000000002,0.17034126238897007,0.8221559058047128,0.8466099093594048,0.7874710459687174
0.24,1.1900000000000002,0.17034126238897007,0.8221559058047128,0.8422146004253808,0.7874710459687174
0.27,1.1900000000000002,0.17034126238897007,0.8221559058047128,0.8422146004253808,0.7874710459687174
0.24,1.1800000000000002,0.17034126238897007,0.8217701949633112,0.829554966590262,0.7874710459687174
0.27,1.1800000000000002,0.17034126238897007,0.8217701949633112,0.829554966590262,0.7874710459687174
0.24,1.1700000000000002,0.17034126238897007,0.8181113265612299,0.8254602329046103,0.7874710459687174
0.27,1.1700000000000002,0.17034126238897007,0.8181113265612299,0.8254602329046103,0.7874710459687174
0.24,1.1600000000000001,0.17075383359433882,0.8043259115092826,0.8208845407612672,0.7870584747633488
0.27,1.1600000000000001,0.17075383359433882,0.8043259115092826,0.8208845407612672,0.7870584747633488
0.24,1.1500000000000001,0.17116769193712514,0.781023217269445,0.8078000914549822,0.7866446164205624
0.27,1.1500000000000001,0.17116769193712514,0.781023217269445,0.8078000914549822,0.7866446164205624
0.24,1.1400000000000001,0.17116769193712525,0.7715489472989513,0.8036831720503713,0.7866446164205623
0.27,1.1400000000000001,0.17116769193712525,0.7715489472989513,0.8036831720503713,0.7866446164205623
0.24,1.1300000000000001,0.17217483016460644,0.7579262343685791,0.7989101281877149,0.785637478193081
