cut_D,leftA_window,leftA_eta_max,leftA_lambda_min,leftA_core_floor_abs,leftA_induced_floor,leftA_exact_floor_abs,leftB_window,leftB_eta_max,leftB_lambda_min,leftB_core_floor_abs,leftB_induced_floor,leftB_exact_floor_abs,overall_induced_floor,overall_over_required_global,overall_over_required_local
5.0,"[4,5]",0.4697391020053478,0.5302608979946521,0.0015632818588345,0.000828947242284331,0.0008289472422843,"[6,11]",0.5202154586941914,0.4797845413058086,0.000134704338969,6.462905948414383e-05,6.70795015735575e-05,6.462905948414383e-05,1.0763970115705148,1.11028105990957
6.0,"[4,6]",0.4697391020053478,0.5302608979946521,0.0001544168509239,8.188121803641355e-05,0.0001488439360011,"[7,11]",0.5202154586941914,0.4797845413058086,0.000134704338969,6.462905948414383e-05,6.70795015735575e-05,6.462905948414383e-05,1.0763970115705148,1.11028105990957
7.0,"[4,7]",0.4697391020053478,0.5302608979946521,0.0001544168509239,8.188121803641355e-05,0.0001488439360011,"[8,11]",0.5202154586941914,0.4797845413058086,0.000134704338969,6.462905948414383e-05,6.70795015735575e-05,6.462905948414383e-05,1.0763970115705148,1.11028105990957
8.0,"[4,8]",0.4744856719705538,0.5255143280294461,0.0001544168509239,8.114826764969646e-05,0.0001488439360011,"[9,11]",0.5202154586941914,0.4797845413058086,0.000134704338969,6.462905948414383e-05,6.70795015735575e-05,6.462905948414383e-05,1.0763970115705148,1.11028105990957
9.0,"[4,9]",0.5202154586941914,0.4797845413058086,0.0001544168509239,7.408681799041078e-05,0.0001488439360011,"[10,11]",0.5073870216082379,0.4926129783917621,0.000134704338969,6.63571056218126e-05,6.70795015735575e-05,6.63571056218126e-05,1.1051776206848867,1.139967657743695
10.0,"[4,10]",0.5202154586941914,0.4797845413058086,0.0001544168509239,7.408681799041078e-05,0.0001488439360011,"[11,11]",0.5020241954568346,0.497975804543165,0.000134704338969,6.707950157354299e-05,6.70795015735575e-05,6.707950157354299e-05,1.1172091255500318,1.1523779039914899
