trace_id,rho,z_rel,phi_exact,phi_barrier,phi_floor,floor_over_exact,barrier_minus_floor,rhs_trace,parent_outside_flux,comparison_residual,comparison_expected,comparison_agreement_abs
1,0.03,-1.2350000000000012,0.07080083256491293,0.07080079716449665,0.0708,0.9999882407468561,7.971644966492386e-07,0.1608130807739067,4.716529277736357,2.3606768347987175e-06,2.3606768348855824e-06,8.686492280682301e-17
2,0.09,-1.2350000000000012,0.07072294261499017,0.07072290725351886,0.07072,0.9999583923564072,2.907253518855124e-06,0.1606461378141627,14.134021796348145,7.074239974138216e-06,7.074239973793736e-06,3.444798293188514e-16
3,0.15,-1.2350000000000012,0.07056725486742721,0.07056721958379977,0.07056000000000001,0.9998971921546215,7.219583799761287e-06,0.16031217271464301,23.504846868848258,1.176444684887016e-05,1.1764446846409905e-05,2.4602546291451616e-15
4,0.21,-1.2350000000000012,0.07033395492345754,0.07033391975648008,0.07033,0.9999437693577471,3.919756480078029e-06,0.1598110469204841,32.79799568795795,1.6415778000128386e-05,1.6415778002555156e-05,2.4267697226743046e-15
5,0.27,-1.2350000000000012,0.07002332431251419,0.07002328930085204,0.07002,0.9999525256398946,3.289300852041266e-06,0.1591426000064109,41.9826157424067,2.1012792119727102e-05,2.101279212047556e-05,7.484586409846339e-16
6,0.32999999999999996,-1.2350000000000012,0.06963574394096053,0.06963570912308856,0.06963000000000001,0.9999175144740984,5.7091230885458755e-06,0.15830670102896752,51.02807721930224,2.5540159218998913e-05,2.5540159213219797e-05,5.779116063735906e-15
7,0.39,-1.2350000000000012,0.06917169822529166,0.06917166363944255,0.06917000000000001,0.9999754491311443,1.663639442539555e-06,0.15730330875997073,59.90404277443265,2.9982695534438067e-05,2.9982695529957944e-05,4.480123276485656e-15
8,0.44999999999999996,-1.2350000000000012,0.06863177958675033,0.06863174527086054,0.06863000000000001,0.9999740705142568,1.7452708605258938e-06,0.15613253546892325,68.58054098541108,3.432540031725327e-05,3.432540031036221e-05,6.8910602593098835e-15
9,0.51,-1.2350000000000012,0.06801669298086335,0.06801665897251687,0.06801,0.9999015979670574,6.6589725168653136e-06,0.1547947092636857,77.02804345196687,3.8553494370828036e-05,3.8553494373674005e-05,2.845969716402247e-15
10,0.57,-1.2350000000000012,0.06732726016198902,0.06732722649835894,0.06732,0.9998921660858983,7.226498358936517e-06,0.15329043087854652,85.21754519185538,4.2652460365694145e-05,4.26524603652192e-05,4.749415379208533e-16
11,0.63,-1.2350000000000012,0.06656442343138172,0.06656439014917001,0.06656000000000001,0.9999335466131353,4.3901491700026885e-06,0.15162062198300655,93.12064772845056,4.6608084348226386e-05,4.660808435631564e-05,8.089252737705083e-15
12,0.69,-1.2350000000000012,0.06572924867792715,0.06572921581330281,0.06572,0.9998592912879247,9.215813302806963e-06,0.14978656333874132,113.67422960823666,5.6888791174353186e-05,5.688879116379014e-05,1.0563042953347368e-14
13,0.75,-1.205,0.0644640583347702,0.06446402610274103,0.06446,0.9999370450003454,4.026102741028215e-06,0.1460865249902401,80.84906447602434,4.0479314697648233e-05,4.0479314681553415e-05,1.609481862022144e-14
14,0.75,-1.1750000000000007,0.06400979059320507,0.06400975858830978,0.064,0.9998470453798657,9.758588309774496e-06,0.14416430875766603,26.640892680870017,1.3374507936333062e-05,1.3374507955118857e-05,1.8785794859803306e-14
15,0.75,-1.1450000000000014,0.06346159905331653,0.063461567322517,0.06346,0.9999748028202823,1.5673225169932081e-06,0.1420281681109181,26.41273579738176,1.3259628470439296e-05,1.3259628460641649e-05,9.797647041549437e-15
16,0.75,-1.1150000000000002,0.0628210987319283,0.06282106732137893,0.06282,0.9999825101446731,1.0673213789308411e-06,0.13968333140673567,26.146159624339113,1.3125461071026667e-05,1.3125461060367294e-05,1.065937262230681e-14
17,0.75,-1.0850000000000009,0.06209004122903122,0.06209001018401061,0.062090000000000006,0.9999993359799672,1.018401060703944e-08,0.1371353504267947,25.841893126708538,1.2972372308295286e-05,1.2972372318697124e-05,1.0401837336891824e-14
18,0.75,-1.0549999999999997,0.06127031077321539,0.061270280138060004,0.061270000000000005,0.9999949278335386,2.8013805999926866e-07,0.13439008946109077,25.5007204697769,1.280075651958571e-05,1.2800756517383285e-05,2.2024245762645306e-15
19,0.75,-1.0250000000000004,0.06036392005975998,0.060363889877799955,0.060360000000000004,0.9999350595561703,3.889877799950758e-06,0.13145371387254198,25.123479287492955,1.261103478589209e-05,1.2611034785411214e-05,4.808758507493169e-16
20,0.75,-0.995000000000001,0.05937300588870773,0.05937297620220479,0.059370000000000006,0.9999493728056592,2.976202204782452e-06,0.12833267814493715,24.711058867641185,1.240365418882227e-05,1.2403654187104537e-05,1.7177336891207803e-15
21,0.75,-0.9649999999999999,0.058299824610509476,0.05829979546059717,0.05829,0.999831481302472,9.795460597171457e-06,0.1250337134126667,24.264398257011585,1.2179086772654927e-05,1.217908677003361e-05,2.6213162499996723e-15
22,0.75,-0.9350000000000023,0.05714674738708064,0.057146718813706955,0.05714,0.9998819287642928,6.7188137069518206e-06,0.12156381446624985,23.784484289830655,1.1937828570003174e-05,1.1937828574358087e-05,4.354913172156631e-15
23,0.75,-0.9050000000000011,0.05591625527637571,0.05591622731824808,0.05591,0.9998881313431167,6.227318248078206e-06,0.11793022622249287,23.272349542831797,1.1680398598566214e-05,1.1680398605288427e-05,6.722212711604211e-15
24,0.75,-0.875,0.054610934148860237,0.05461090684339316,0.054610000000000006,0.9999828944720541,9.068433931558317e-07,0.11414042964215577,22.729070220451163,1.1407337779818318e-05,1.1407337770402947e-05,9.415370908058204e-15
25,0.75,-0.8449999999999989,0.05323346944455552,0.053233442827820804,0.053230000000000006,0.9999348258794379,3.442827820797356e-06,0.1102021270713317,22.15576397375348,1.1119207776744133e-05,1.111920778361375e-05,6.869616773217194e-15
26,0.75,-0.8150000000000013,0.051786640779660185,0.051786614886339795,0.05178000000000001,0.9998717665490521,6.614886339788295e-06,0.10612322697546996,21.55358765682519,1.0816590042631944e-05,1.0816590037638551e-05,4.993393055269767e-15
27,0.75,-0.7850000000000001,0.050273316412126776,0.05027329127546857,0.05027,0.9999340323582477,3.291275468567112e-06,0.10191182802732428,20.923735024522742,1.0500084450642173e-05,1.0500084446907811e-05,3.73436158840508e-15
28,0.75,-0.754999999999999,0.04869644757600486,0.048696423227781074,0.048690000000000004,0.9998675965840261,6.42322778107024e-06,0.09757620250244291,20.267434375630128,1.017030825875564e-05,1.0170308262916803e-05,4.1611628558016825e-15
29,0.75,-0.7250000000000014,0.04705906269487701,0.047059039165345665,0.04705,0.9998074187126129,9.039165345663125e-06,0.09312477892869737,19.58594614569078,9.827894860772731e-06,9.827894864135144e-06,3.3624124806067718e-15
30,0.75,-0.6950000000000003,0.045364261485322896,0.04536423880319215,0.045360000000000004,0.9999060607362853,4.238803192148366e-06,0.08856612393053276,18.880560454016027,9.473492528638827e-06,9.473492522702612e-06,5.936215264463161e-15
31,0.75,-0.6649999999999991,0.04361520896207351,0.04361518715446903,0.04361,0.9998805700534867,5.187154469024624e-06,0.08390892320518341,18.152594609665332,9.10776314609618e-06,9.107763150285344e-06,4.189164070972015e-15
32,0.75,-0.6350000000000016,0.0418151293573778,0.04181510844981312,0.04181000000000001,0.9998773325000634,5.1084498131140355e-06,0.07916196156839782,17.40339058153586,8.731381029071965e-06,8.731381025637777e-06,3.4341883584912067e-15
33,0.75,-0.6050000000000004,0.0399672999681164,0.03996727998446641,0.03996,0.9998173514817809,7.279984466410094e-06,0.07433410201297884,16.63431243811257,8.34503151187863e-06,8.345031506624635e-06,5.253994599953814e-15
34,0.75,-0.5749999999999993,0.03807504494536642,0.03807502590784395,0.03807,0.9998674999498055,5.025907843951571e-06,0.06943426373669886,15.846743762903637,7.949409721342648e-06,7.94940972969911e-06,8.356461139377713e-15
35,0.75,-0.5450000000000017,0.036141729042452254,0.036141710971587734,0.036140000000000005,0.999952159387554,1.7109715877289267e-06,0.06447139911920562,15.042085052137054,7.545219301782754e-06,7.545219300117509e-06,1.6652447514453259e-15
36,0.75,-0.5150000000000006,0.03417075133899246,0.03417073425361679,0.034170000000000006,0.9999780122191345,7.342536167825875e-07,0.0594544696627951,14.22175110191189,7.133170980971877e-06,7.13317097649267e-06,4.479206786836727e-15
37,0.75,-0.48499999999999943,0.032165538960038105,0.03216552287726863,0.03216,0.9998277983140594,5.522877268626658e-06,0.05439242096165396,13.387168392667752,6.7139813500483e-06,6.713981353642159e-06,3.593859151246326e-15
38,0.75,-0.45500000000000185,0.030129540811036002,0.0301295257462656,0.03012,0.9996833403105664,9.52574626559774e-06,0.04929415683008198,12.539772479544803,6.288371548017012e-06,6.288371548066359e-06,4.934644544114103e-17
39,0.75,-0.4250000000000007,0.02806622135095106,0.028066207317840385,0.02806,0.9997783331474065,6.207317840383614e-06,0.044168512802951074,11.681005397911278,5.857065888426973e-06,5.857065890774904e-06,2.347930437042716e-15
40,0.75,-0.3949999999999996,0.025979054427325454,0.02597904143779824,0.025970000000000003,0.9996514720214017,9.041437798236462e-06,0.03902422932017169,10.812313093989786,5.420790637836641e-06,5.4207906325440075e-06,5.292633701908713e-15
41,0.75,-0.365000000000002,0.023871517198186674,0.023871505262428077,0.023870000000000002,0.9999364431605215,1.5052624280746663e-06,0.033869925017748034,9.935142891052518,4.9802726641752955e-06,4.980272666998204e-06,2.8229083973803012e-15
42,0.75,-0.33500000000000085,0.021747084166362233,0.021747073292820152,0.021740000000000002,0.9996742475309316,7.0732928201498735e-06,0.02871407066455927,9.050941001992905,4.536238274478279e-06,4.536238277122481e-06,2.644201386168589e-15
43,0.75,-0.3049999999999997,0.019609221351729315,0.01960921154711864,0.019600000000000003,0.9995297441155918,9.211547118637142e-06,0.02356496439630634,8.161150099141556,4.089411912398809e-06,4.089411910882971e-06,1.515837456912087e-15
44,0.75,-0.27500000000000213,0.017461380626034504,0.01746137189534419,0.01746,0.999920932596106,1.3718953441911597e-06,0.018430708992669298,7.267206951873324,3.64051499305203e-06,3.64051499150942e-06,1.5426100507924274e-15
45,0.75,-0.245000000000001,0.015306994233015552,0.015306986579518437,0.015300000000000001,0.9995430694681738,6.986579518435468e-06,0.013319192004514008,6.370540141785428,3.1902647660483415e-06,3.1902647676319543e-06,1.58361279818664e-15
46,0.75,-0.21499999999999986,0.013149469513557796,0.013149462938823039,0.01314,0.9992798558490872,9.46293882303842e-06,0.008238069547748798,14.632721073571634,7.319449813319536e-06,7.3194498122640765e-06,1.0554598034863243e-15
