D,gamma_mix_micro,gamma_mix_formula_recon,gamma_mix_formula_residual_abs,gamma_ref,chi_eff_micro,Cmax_micro,kappa_env
4.0,0.0780979083476504,0.07809790834760917,4.123090757701675e-14,475.0029831292905,0.0001056117993782,0.3211732607166098,430546.4345656163
5.0,0.1489986159999165,0.14899861599991654,2.7755575615628914e-17,767.6149152622555,9.09404882270364e-05,0.2342547771193519,430546.4345656163
6.0,0.0025158670602084,0.002515867060208453,5.2909066017292616e-17,566.0993661540692,4.365428364656341e-06,0.4911360916697626,430546.4345656163
7.0,0.1244545436582149,0.12445454365821496,5.551115123125783e-17,869.0649886602495,7.061325914819278e-05,0.2465458851764336,430546.4345656163
8.0,0.0360387918993099,0.03603879189930997,6.938893903907228e-17,651.2176638510591,4.280681667808738e-05,0.3867576253927975,430546.4345656163
9.0,0.0160641781235333,0.0160641781235334,1.0061396160665481e-16,505.0602635745723,2.793406060584292e-05,0.4391256092842641,430546.4345656163
10.0,0.0526950013988973,0.0526950013988974,9.71445146547012e-17,735.6179024334008,4.838053263509767e-05,0.3376941359791474,430546.4345656163
11.0,0.0005229948516151,0.0005229948516151048,4.7704895589362195e-18,576.0904607435714,9.033669588268652e-07,0.4975393982597831,430546.4345656163
12.0,0.0540690184569051,0.054069018456905156,5.551115123125783e-17,808.6836951913015,4.350630182111359e-05,0.3253511708266732,430546.4345656163
13.0,0.0093452374533175,0.009345237453317569,6.938893903907228e-17,647.5026136368251,1.322275650000615e-05,0.4580819607851625,430546.4345656163
14.0,0.0470511865166611,0.04705118651666118,8.326672684688674e-17,876.0507428436198,3.587022477991728e-05,0.3339356495641893,430546.4345656163
15.0,0.0182274256429793,0.018227425642979366,6.591949208711867e-17,711.052191628537,2.146048198036545e-05,0.4185868878148756,430546.4345656163
16.0,0.0371294892782891,0.03712948927828918,7.632783294297951e-17,943.9701591301788,2.786798985804335e-05,0.3542541431658971,430546.4345656163
17.0,0.0221836163896344,0.022183616389634397,3.469446951953614e-18,770.7544642697823,2.293085162898144e-05,0.398358318862832,430546.4345656163
18.0,0.0022814989345445,0.002281498934544513,1.3010426069826053e-17,641.1965609138879,3.4665756283113296e-06,0.4871263223852621,430546.4345656163
19.0,0.0213213587101054,0.021321358710105494,9.367506770274758e-17,831.2867223610073,2.0365744757995992e-05,0.3970144079113331,430546.4345656163
20.0,0.0062536348939074,0.006253634893907434,3.469446951953614e-17,694.2806102678599,8.359182560599029e-06,0.4640196036362217,430546.4345656163
