layer,mode,p95_abs_log_g_eff_ratio,max_abs_log_g_eff_ratio,p95_abs_log_gamma_ratio,max_abs_log_gamma_ratio,p95_abs_log_p_kin_ratio,max_abs_log_p_kin_ratio,p95_abs_log_B_ratio,max_abs_log_B_ratio,p95_abs_log_W_ratio,max_abs_log_W_ratio,p95_abs_log_amp_ratio,max_abs_log_amp_ratio,p95_abs_delta_mu,max_abs_delta_mu,p95_abs_delta_log_mu,acceptance_mismatch
1,cell_direct_runtime,0.0,0.0,0.0,7.327471962526006e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,release_tuned,0.0,0.0,0.0,7.327471962526006e-15,0.0,0.0,2.0561114017308384,2.1632664184785617,2.0561114017308384,2.1632664184785617,0.013265128967346725,0.0348984871448245,0.3757889401845347,0.7373905552736808,0.034120030693512556,0.0
1,release_sumanchor,0.0,0.0,0.0,7.327471962526006e-15,0.0,0.0,1.4305082995645135,1.8628655850459264,1.4305082995645138,1.8628655850459264,0.804342580193015,0.9198663174724725,10.920015490430586,12.889272425910134,1.5224059529906413,0.0
1,release_eftsumanchor,0.0,0.0,0.0,7.327471962526006e-15,0.0,0.0,1.481227388676705,1.5719476789299083,1.481227388676705,1.5719476789299083,0.804342580193015,0.9198663174724725,10.920015490430586,12.889272425910134,1.5224059529906413,0.0
1,release_fullsumanchor,0.0,0.0,0.0,7.327471962526006e-15,0.0,0.0,0.6890094294918827,0.7005636537445452,0.6890094294918828,0.7005636537445454,0.804342580193015,0.9198663174724725,10.920015490430586,12.889272425910134,1.5224059529906413,0.0
1,release_fullwidthrefamp,0.0,0.0,0.0,7.327471962526006e-15,0.0,0.0,0.6890094294918827,0.7005636537445452,0.6890094294918828,0.7005636537445454,0.804342580193015,0.9198663174724725,11.785698573975516,49.78386656344884,1.6621194993974624,0.0
1,tailm2_detlin,0.0,0.0,0.0,7.327471962526006e-15,0.0,0.0,1.0136787232296,1.151466205996107,1.0136787232296,1.151466205996107,0.8042275533259303,0.9198663174724725,19.780947741855144,58.7703861176806,1.5221818343375222,0.0
2,cell_direct_runtime,0.0,0.0,0.0,7.327471962526006e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,release_tuned,0.0,0.0,0.0,7.327471962526006e-15,0.0,0.0,2.0857632246689377,2.1997428968033956,2.0857632246689377,2.1997428968033956,0.01125818504848304,0.02421857440767388,0.3107841041832572,1.0145871023443789,0.017639782003260628,0.0
2,release_sumanchor,0.0,0.0,0.0,7.327471962526006e-15,0.0,0.0,1.7794275883788866,1.8757125702351498,1.7794275883788868,1.87571257023515,0.33777512120048986,0.6854208853523371,49.24087962881938,51.78203746770311,1.8879922399153746,0.14285714285714285
2,release_eftsumanchor,0.0,0.0,0.0,7.327471962526006e-15,0.0,0.0,1.8316771228383364,1.9410137247474464,1.8316771228383364,1.9410137247474464,0.33777512120048986,0.6854208853523371,49.24087962881938,51.78203746770311,1.8879922399153746,0.14285714285714285
2,release_fullsumanchor,0.0,0.0,0.0,7.327471962526006e-15,0.0,0.0,0.34064302400938945,0.36227991944258076,0.3406430240093896,0.3622799194425809,0.33777512120048986,0.6854208853523371,49.24087962881938,51.78203746770311,1.8879922399153746,0.14285714285714285
2,release_fullwidthrefamp,0.0,0.0,0.0,7.327471962526006e-15,0.0,0.0,0.34064302400938945,0.36227991944258076,0.3406430240093896,0.3622799194425809,0.33777512120048986,0.6854208853523371,0.9001093324589834,14.072583544233837,0.561399001894532,0.08571428571428572
2,tailm2_detlin,0.0,0.0,0.0,7.327471962526006e-15,0.0,0.0,0.6534407719886691,0.6947288695757264,0.6534407719886691,0.6947288695757264,0.33777512120048986,0.6294337044499053,7.905935701647654,66.14646155556899,1.471704664763902,0.02857142857142857
3,cell_direct_runtime,0.0,0.0,0.0,7.105427357600977e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,release_tuned,0.0,0.0,0.0,7.105427357600977e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.006739739858332868,0.009933520755132397,0.02210877601330772,0.02273497426327431,0.011517099994767828,0.0
3,release_sumanchor,0.0,0.0,0.0,7.105427357600977e-15,0.0,0.0,1.5809995951466285,1.9508446472595444,1.5809995951466285,1.9508446472595444,0.638000327573175,0.9912158931891588,1.8747054968523766,3.607948888206824,1.130937170624731,0.0
3,release_eftsumanchor,0.0,0.0,0.0,7.105427357600977e-15,0.0,0.0,1.8833835054756671,2.1855296447324015,1.8833835054756674,2.1855296447324015,0.638000327573175,0.9912158931891588,1.8747054968523766,3.607948888206824,1.130937170624731,0.0
3,release_fullsumanchor,0.0,0.0,0.0,7.105427357600977e-15,0.0,0.0,0.4694662376058767,0.5551943715870833,0.4694662376058767,0.5551943715870834,0.638000327573175,0.9912158931891588,1.8747054968523766,3.607948888206824,1.130937170624731,0.0
3,release_fullwidthrefamp,0.0,0.0,0.0,7.105427357600977e-15,0.0,0.0,0.4694662376058767,0.5551943715870833,0.4694662376058767,0.5551943715870834,0.638000327573175,0.9912158931891588,15.354637002459716,103.65728691564365,1.9472139395826427,0.0
3,tailm2_detlin,0.0,0.0,0.0,7.105427357600977e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.638000327573175,0.9912158931891588,80.53037870075437,118.04555672147961,1.9338483338445531,0.0
