peak,center_D,sigma_D,D,eta,target_mu,cur_mu,mu_new,delta_mu,beta
0.25,5.84,0.04,5.627118644067797,0.2,57.5547616979981,58.29525916150112,58.29525985747652,0.7404981594784203,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,0.39,57.55746140292994,58.29825936823605,58.29826006424727,0.740798661317335,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,0.5800000000000001,57.56016105602808,58.301259846275244,58.30126054232229,0.7410994862942104,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,0.77,57.562860657245224,58.304259997515594,58.30426069359845,0.7414000363532267,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,0.96,57.56556020661473,58.30726034970606,58.307261045824745,0.7417008392100186,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,1.15,57.56825970407602,58.31026004958234,58.31026074573681,0.7420010416607923,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,1.34,57.57095914964238,58.313259774335215,58.31326047052552,0.7423013208831435,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,1.53,57.573658543291614,58.31625977029414,58.31626046652025,0.7426019232286336,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,1.72,57.57635788499197,58.31926003752456,58.319260733786514,0.742902848794543,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,1.91,57.579057174740214,58.322260576081106,58.322261272378874,0.7432040976386602,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,2.1,57.58175641250567,58.3252600663488,58.325260762682376,0.7435043501767069,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,2.29,57.584455598278616,58.32825863993406,58.32825933630343,0.7438037380248161,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,2.4800000000000004,57.58715473203782,58.33125748446414,58.33125818086932,0.7441034488315026,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,2.6700000000000004,57.589853813768215,58.33425660000641,58.3342572964474,0.7444034826791821,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,2.8600000000000003,57.59255284344607,58.33725598661293,58.33725668308972,0.7447038396436483,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,3.0500000000000003,57.595251821059506,58.34025564434683,58.34025634085942,0.7450045197999131,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,3.24,57.5979507465871,58.343255573259334,58.34325626980774,0.7453055232206367,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,3.43,57.60064962001352,58.34625577341555,58.34625646999979,0.7456068499862667,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,3.62,57.603348441315504,58.34925624487031,58.34925694149038,0.7459085001748775,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,3.81,57.60604721047624,58.3522569876809,58.35225768433677,0.7462104738605291,1.7678760998408613e-07
0.25,5.84,0.04,5.627118644067797,4.0,57.608745927483945,58.35525800191087,58.35525869860259,0.7465127711186454,1.7678760998408613e-07
0.25,5.84,0.04,5.898305084745763,0.2,90.79702562735869,60.251653720638146,60.911207506694474,-29.88581812066422,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,0.39,90.79862216474444,60.25448559082204,60.914070376371086,-29.884551788373358,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,0.5800000000000001,90.80021867571749,60.257317741395916,60.91693352950702,-29.88328514621047,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,0.77,90.80181516046262,60.26014963122751,60.91979641904643,-29.882018741416196,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,0.96,90.80341161896216,60.26298173779924,60.92265952769854,-29.880752091263616,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,1.15,90.80500805110192,60.26581328900283,60.92552207490307,-29.87948597619885,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,1.34,90.8066044569945,60.268644897635,60.92838468016487,-29.87821977682964,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,1.53,90.80820083658355,60.27147678658714,60.93124756881519,-29.876953267768364,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,1.72,90.80979718986694,60.27430895591068,60.93411074090605,-29.87568644896089,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,1.91,90.81139351683984,60.27714140564782,60.936974196480065,-29.874419320359777,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,2.1,90.81298981754493,60.27997294177464,60.93983672844287,-29.87315308910206,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,2.29,90.81458609192988,60.28280368338697,60.94269845719381,-29.87188763473607,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,2.4800000000000004,90.81618234001765,60.28563470510325,60.94556046911493,-29.870621870902717,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,2.6700000000000004,90.81777856178608,60.288466006961094,60.94842276424423,-29.869355797541857,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,2.8600000000000003,90.8193747572609,60.291297589012885,60.951285342634684,-29.86808941462622,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,3.0500000000000003,90.82097092640565,60.29412945129645,60.9541482043245,-29.866822722081153,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,3.24,90.82256706925467,60.29696159386269,60.957011349365196,-29.86555571988948,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,3.43,90.8241631857692,60.29979401674245,60.9598747777878,-29.86428840798139,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,3.62,90.82575927598117,60.30262671999676,60.962738489654164,-29.863020786327006,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,3.81,90.82735533987562,60.30545970366357,60.96560248500259,-29.861752854873032,0.0864116504040415
0.25,5.84,0.04,5.898305084745763,4.0,90.82895137743073,60.30829296778385,60.968466763874545,-29.86048461355618,0.0864116504040415
0.25,5.84,0.04,6.169491525423729,0.2,86.94702113806258,72.06646393780726,72.0664639378073,-14.880557200255282,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,0.39,86.94756859275853,72.06898766877671,72.06898766877671,-14.878580923981815,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,0.5800000000000001,86.94811604148249,72.07151158782115,72.07151158782115,-14.876604453661344,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,0.77,86.94866348396428,72.07403523754775,72.07403523754776,-14.87462824641652,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,0.96,86.9492109206282,72.07655902161699,72.07655902161702,-14.872651899011188,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,1.15,86.94975835121514,72.07908228759027,72.07908228759028,-14.870676063624856,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,1.34,86.95030577588408,72.08160555328314,72.08160555328315,-14.868700222600921,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,1.53,86.95085319449171,72.08412900692889,72.0841290069289,-14.86672418756281,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,1.72,86.95140060719876,72.08665264862424,72.08665264862424,-14.864747958574526,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,1.91,86.95194801392257,72.08917647833813,72.08917647833813,-14.862771535584443,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,2.1,86.952495414569,72.09169948741895,72.09169948741895,-14.86079592715005,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,2.29,86.95304280930395,72.0942217766158,72.0942217766158,-14.858821032688155,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,2.4800000000000004,86.9535901979959,72.09674425360394,72.09674425360392,-14.856845944391978,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,2.6700000000000004,86.95413758073872,72.09926691843275,72.09926691843273,-14.854870662305984,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,2.8600000000000003,86.95468495748898,72.10178977111475,72.10178977111478,-14.852895186374198,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,3.0500000000000003,86.9552323282378,72.10431281166733,72.10431281166733,-14.850919516570471,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,3.24,86.9557796930088,72.10683604012569,72.1068360401257,-14.848943652883094,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,3.43,86.95632705178399,72.10935945649784,72.10935945649784,-14.846967595286145,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,3.62,86.95687440455882,72.11188306081768,72.11188306081768,-14.844991343741142,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,3.81,86.95742175137232,72.11440685309975,72.11440685309975,-14.843014898272571,4.611758383582319e-16
0.25,5.84,0.04,6.169491525423729,4.0,86.95796909219014,72.11693083336483,72.11693083336483,-14.841038258825307,4.611758383582319e-16
0.25,5.84,0.04,6.4406779661016955,0.2,53.17603232822576,58.121276937101605,58.1212769371016,4.945244608875839,2.6874139210405613e-50
0.25,5.84,0.04,6.4406779661016955,0.39,53.1761539878905,58.12143315039051,58.12143315039049,4.945279162499986,2.6874139210405613e-50
0.25,5.84,0.04,6.4406779661016955,0.5800000000000001,53.17627564694484,58.121589364558325,58.121589364558325,4.945313717613487,2.6874139210405613e-50
0.25,5.84,0.04,6.4406779661016955,0.77,53.176397305291836,58.1217455764471,58.12174557644709,4.945348271155254,2.6874139210405613e-50
0.25,5.84,0.04,6.4406779661016955,0.96,53.17651896289371,58.121901788668005,58.12190178866799,4.945382825774281,2.6874139210405613e-50
0.25,5.84,0.04,6.4406779661016955,1.15,53.17664061967282,58.122057996842834,58.12205799684282,4.945417377170003,2.6874139210405613e-50
0.25,5.84,0.04,6.4406779661016955,1.34,53.17676227557025,58.12221420443112,58.122214204431096,4.945451928860848,2.6874139210405613e-50
0.25,5.84,0.04,6.4406779661016955,1.53,53.1768839308222,58.122370412752076,58.122370412752055,4.945486481929855,2.6874139210405613e-50
0.25,5.84,0.04,6.4406779661016955,1.72,53.17700558523319,58.12252662179833,58.12252662179832,4.9455210365651325,2.6874139210405613e-50
