mode,family,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch
release_fullsumanchor,current,4.0,1.9088192713612004,1.9603388064987652,1.0
release_fullsumanchor,current,4.8,7.33875237912222,7.352066063976986,0.0
release_fullsumanchor,current,5.6,49.24087962881936,49.246163058758036,0.0
release_fullsumanchor,current,6.4,51.78178065267283,51.78203746770312,0.0
release_fullsumanchor,current,7.2,1.4009786191128533,1.4009786192511355,1.0
release_fullsumanchor,current,8.0,0.3139007121985153,0.31390071224049976,1.0
release_fullsumanchor,current,8.8,0.36912497796711574,0.3691249782520316,0.0
release_fullsumanchor,current,9.6,2.220446049250313e-15,2.3314683517128287e-15,0.0
release_fullsumanchor,current,10.4,0.14293980312816162,0.14293980391796235,0.0
release_fullsumanchor,current,11.2,0.040912716123357326,0.040912716407713295,0.0
release_fullsumanchor,current,12.0,0.007332369784910139,0.007332371491122869,0.0
release_fullsumanchor,current,12.8,0.001876878465515169,0.0018768847882645644,0.0
release_fullsumanchor,current,13.6,6.051687934364959e-05,6.0517372110270294e-05,0.0
release_fullsumanchor,current,14.4,1.88531829705312e-05,1.885334719730453e-05,0.0
release_fullsumanchor,current,15.2,3.6263123663605744e-06,3.626793467636922e-06,0.0
release_fullsumanchor,current,16.0,3.425144017038793e-07,3.427027325260143e-07,0.0
release_fullsumanchor,current,16.8,1.5878469550931735e-07,1.6250801046818007e-07,0.0
release_fullsumanchor,current,17.6,1.065941446754108e-08,1.065941446754108e-08,0.0
release_fullsumanchor,current,18.4,1.065941446754108e-08,1.065941446754108e-08,0.0
release_fullsumanchor,current,19.200000000000003,1.065941446754108e-08,1.065941446754108e-08,0.0
release_fullsumanchor,current,20.0,1.065941446754108e-08,1.065941446754108e-08,0.0
release_fullsumanchor,partial_anchor,4.0,1.6263050446859704,1.670184807854017,1.0
release_fullsumanchor,partial_anchor,4.8,9.565195495141658,9.58260939087633,0.0
release_fullsumanchor,partial_anchor,5.6,47.13932796607354,47.1443662793762,0.0
release_fullsumanchor,partial_anchor,6.4,54.781296917182814,54.78157741629597,0.0
release_fullsumanchor,partial_anchor,7.2,0.9679428190209245,0.9679428454190857,0.0
release_fullsumanchor,partial_anchor,8.0,0.012333044498070045,0.012333044639988522,0.0
release_fullsumanchor,partial_anchor,8.8,0.1074866112412253,0.10748661142612126,0.0
release_fullsumanchor,partial_anchor,9.6,1.1102230246251565e-16,1.1102230246251565e-16,0.0
release_fullsumanchor,partial_anchor,10.4,0.016818078024626558,0.016818078231732148,0.0
release_fullsumanchor,partial_anchor,11.2,0.0024425100171846905,0.00244251006881005,0.0
release_fullsumanchor,partial_anchor,12.0,1.4863173699233844e-05,1.4863185507120458e-05,0.0
release_fullsumanchor,partial_anchor,12.8,1.098622576359981e-07,1.0986236917117156e-07,0.0
release_fullsumanchor,partial_anchor,13.6,3.2035760555285986e-10,3.203588915413197e-10,0.0
release_fullsumanchor,partial_anchor,14.4,6.43776694428974e-11,6.438332710663377e-11,0.0
release_fullsumanchor,partial_anchor,15.2,1.5143891868668017e-11,1.5152354473877707e-11,0.0
release_fullsumanchor,partial_anchor,16.0,8.322577131734418e-13,8.3271525521467e-13,0.0
release_fullsumanchor,partial_anchor,16.8,1.8906879565336903e-13,1.935019320429189e-13,0.0
release_fullsumanchor,partial_anchor,17.6,2.6160836430875158e-14,2.6160836430875158e-14,0.0
release_fullsumanchor,partial_anchor,18.4,2.6160836430875158e-14,2.6160836430875158e-14,0.0
release_fullsumanchor,partial_anchor,19.200000000000003,2.6160836430875158e-14,2.6160836430875158e-14,0.0
release_fullsumanchor,partial_anchor,20.0,2.6160836430875158e-14,2.6160836430875158e-14,0.0
release_fullsumanchor,width_anchor,4.0,0.5943581320696948,0.610411846281365,0.6
release_fullsumanchor,width_anchor,4.8,1.3211576134798544,1.3236097088184362,0.0
release_fullsumanchor,width_anchor,5.6,11.202097050558203,11.203314845441177,0.0
release_fullsumanchor,width_anchor,6.4,35.2275432966231,35.22773199930738,0.0
release_fullsumanchor,width_anchor,7.2,0.5965482223560217,0.5965483313414324,0.0
