D,level,dr,dz,mode_n,lambda_n,window_E_lo,window_E_hi,Nps_lambda_n,g_raw_n,g_hat_to_g3,grid_index
4.0,fine,0.06,0.03,1,0.7359089334327527,0.7359089334327527,0.7359089334327527,24.91251580344248,1.0,0.10894336771835868,0
4.0,fine,0.06,0.03,2,0.8355420903543915,0.7359089334327527,0.8355420903543915,28.497067706590737,4.5845519031482596,0.49945652380858196,0
4.0,fine,0.06,0.03,3,1.024913561448241,0.7359089334327527,1.024913561448241,35.310179807869716,9.179081030294643,1.0,0
4.0,fine,0.06,0.03,4,1.3016179943485526,0.7359089334327527,1.3016179943485526,45.26531354254066,17.19642381057573,1.8734363226362907,0
4.0,fine,0.06,0.03,5,1.6419653290034055,0.7359089334327527,1.6419653290034055,57.51015977508563,27.057780991167277,2.9477657841635523,0
4.0,fine,0.06,0.03,6,2.066705423812488,0.7359089334327527,2.066705423812488,72.79124653607938,39.364367108782275,4.288486720932531,0
4.0,fine,0.06,0.03,7,2.5669612895002754,0.7359089334327527,2.5669612895002754,90.78920194386176,53.85897679402068,5.8675783138055415,0
4.0,fine,0.06,0.03,8,3.14253180682322,0.7359089334327527,3.14253180682322,111.496790230848,70.53578273902788,7.684405716240171,0
4.0,fine,0.06,0.03,9,3.4200655322609035,0.7359089334327527,3.4200655322609035,121.48175983778223,78.5771537665891,8.56045975705553,0
4.0,fine,0.06,0.03,10,3.5201785410610533,0.7359089334327527,3.5201785410610533,125.08357561188966,81.47786735438072,8.876473264095951,0
4.0,fine,0.06,0.03,11,3.709293955973101,0.7359089334327527,3.709293955973101,131.8874754518878,86.95737156937535,9.473428906704408,0
4.0,fine,0.06,0.03,12,3.7968154935035905,0.7359089334327527,3.7968154935035905,135.03628156839105,89.49325492940805,9.749696580087317,0
4.0,fine,0.06,0.03,13,3.986358232404469,0.7359089334327527,3.986358232404469,141.85555545719737,94.98514059727928,10.348001099869396,0
4.0,fine,0.06,0.03,14,4.326476241790635,0.7359089334327527,4.326476241790635,154.0921511398882,104.83985321757966,11.421606680621531,0
4.0,fine,0.06,0.03,15,4.526814263573883,0.7359089334327527,4.526814263573883,161.29981231859497,110.64452564629488,12.05398724350767,0
4.0,fine,0.06,0.03,16,4.751309458100565,0.7359089334327527,4.751309458100565,169.3765881796787,117.14913747408852,12.762621561728178,0
4.0,fine,0.06,0.03,17,5.251523672971558,0.7359089334327527,5.251523672971558,187.37304509519984,131.64254035222297,14.341581680971098,0
4.0,fine,0.06,0.03,18,5.333953068062403,0.7359089334327527,5.333953068062403,190.33864865708068,134.03088197974074,14.60177566113483,0
4.0,fine,0.06,0.03,19,5.827355206012164,0.7359089334327527,5.827355206012164,208.09002407516823,148.326909069021,16.159232997233907,0
4.0,fine,0.06,0.03,20,6.217454004501938,0.7359089334327527,6.217454004501938,222.12480359783407,159.62978467851687,17.390606331034082,0
4.0,fine,0.06,0.03,21,6.481037218274302,0.7359089334327527,6.481037218274302,231.60786867132933,167.26694810879155,18.2226246349437,0
4.0,fine,0.06,0.03,22,7.178452372392472,0.7359089334327527,7.178452372392472,256.69912237861575,187.4741283556738,20.424062903130945,0
4.0,fine,0.06,0.03,23,7.21140389612424,0.7359089334327527,7.21140389612424,257.88463582367547,188.4288787300031,20.528076624240743,0
4.0,fine,0.06,0.03,24,8.018880164458636,0.7359089334327527,8.018880164458636,286.93561326767616,211.8250128732946,23.076930269401398,0
4.0,fine,0.06,0.03,25,8.215450818363024,0.7359089334327527,8.215450818363024,294.0077339685213,217.52052810728168,23.697418879883163,0
4.0,fine,0.06,0.03,26,8.239246419675288,0.7359089334327527,8.239246419675288,294.86384021473333,218.20999119388165,23.77253131045486,0
4.0,fine,0.06,0.03,27,8.340145232338443,0.7359089334327527,8.340145232338443,298.49392724732195,221.13347297104318,24.091025260722088,0
4.0,fine,0.06,0.03,28,8.529835028340262,0.7359089334327527,8.529835028340262,305.3184918829774,226.62961952904243,24.68979397622419,0
4.0,fine,0.06,0.03,29,8.80526170211473,0.7359089334327527,8.80526170211473,315.2276550386983,234.60994001519128,25.55919696545706,0
4.0,fine,0.06,0.03,30,8.901576627765667,0.7359089334327527,8.901576627765667,318.69282527630486,237.40060645196297,25.863221565257557,0
4.0,fine,0.06,0.03,31,9.146926315906732,0.7359089334327527,9.146926315906732,327.5198936814,244.50946455822486,26.637684507985682,0
4.0,fine,0.06,0.03,32,9.329048425150503,0.7359089334327527,9.329048425150503,334.0721918667178,249.7863419915588,27.212565306610088,0
4.0,fine,0.06,0.03,33,9.571101965541883,0.7359089334327527,9.571101965541883,342.78067311614876,256.7996962199585,27.976623735253742,0
4.0,fine,0.06,0.03,34,9.863511027288665,0.7359089334327527,9.863511027288665,353.30082013514345,265.27207107681124,28.89963278473163,0
4.0,fine,0.06,0.03,35,10.070869112074591,0.7359089334327527,10.070869112074591,360.7610456305293,271.28014556469026,29.554172652943922,0
4.0,fine,0.06,0.03,36,10.520242052860098,0.7359089334327527,10.520242052860098,376.9283606076398,284.30045342422613,30.972648839891573,0
4.0,fine,0.06,0.03,37,10.647917330303963,0.7359089334327527,10.647917330303963,381.5217979018765,287.9997669954104,31.375664518582617,0
4.0,fine,0.06,0.03,38,10.900162727796989,0.7359089334327527,10.900162727796989,390.5969566901817,295.3084240893805,32.17189423589839,0
4.0,fine,0.06,0.03,39,11.30033125411662,0.7359089334327527,11.30033125411662,404.9940198458463,306.90306394301916,33.435053349035286,0
4.0,fine,0.06,0.03,40,11.786530446005823,0.7359089334327527,11.786530446005823,422.4862512720401,320.99039004767803,34.96977409702357,0
4.271186440677966,fine,0.06,0.03,1,0.7334878092578565,0.7334878092578565,0.7334878092578565,25.26181542355827,1.0,0.10312400543995935,1
4.271186440677966,fine,0.06,0.03,2,0.8306653615164734,0.7334878092578565,0.8306653615164734,28.817056172939765,4.555240749381493,0.4697546718195416,1
4.271186440677966,fine,0.06,0.03,3,1.012299444601317,0.7334878092578565,1.012299444601317,35.46213910259876,9.697063217566912,1.0,1
