beta_peak,center_D,sigma_D,D,slice_max_abs_delta_mu,slice_p95_abs_delta_mu,slice_acceptance_mismatch,slice_max_beta_eff
0.1,5.9,0.1,4.813559322033898,1.3307499165754795,1.3279309276456324,0.0,2.3385827438824595e-27
0.1,5.9,0.1,5.627118644067797,8.882369710372593,8.88192633854897,0.0,0.0024156259962632375
0.1,5.9,0.1,5.898305084745763,39.351261053054614,39.35106833415559,0.0,0.09998563734293314
0.1,5.9,0.1,6.169491525423728,31.654577055471606,31.65410789752829,0.0,0.002648215646417352
0.1,5.9,0.1,6.4406779661016955,2.0077058351256625,2.0076989824898193,0.0,4.488248333944978e-08
0.1,5.9,0.1,6.711864406779661,20.69444829769716,20.694422780848395,0.0,4.867525247116083e-16
0.1,5.9,0.1,7.254237288135593,0.13179658489546675,0.1317965778945908,0.0,1.50001047425366e-41
0.1,5.9,0.15,4.813559322033898,1.3307499165745735,1.3279309276447282,0.0,4.059041020802788e-13
0.1,5.9,0.15,5.627118644067797,8.800804050250214,8.800362192797014,0.0,0.01911377771230546
0.1,5.9,0.15,5.898305084745763,39.351059413219474,39.35086669522185,0.0,0.09999361634216623
0.1,5.9,0.15,6.169491525423728,31.128809913073745,31.12834376634515,0.0,0.019910876404762943
0.1,5.9,0.15,6.4406779661016955,2.005658488677895,2.005651635043857,0.0,0.00015090402886907945
0.1,5.9,0.15,6.711864406779661,20.694448300730176,20.694422783881,0.0,4.353150179327766e-08
0.1,5.9,0.15,7.254237288135593,0.13179658489546675,0.1317965778945908,0.0,1.9974979940097734e-19
0.1,5.9,0.2,4.813559322033898,1.3307498290554864,1.32793084030215,0.0,3.910553080141003e-08
0.1,5.9,0.2,5.627118644067797,8.70141186049981,8.700971832009401,0.0,0.039423703843473344
0.1,5.9,0.2,5.898305084745763,39.350988835288994,39.35079611760688,0.0,0.09999640914232404
0.1,5.9,0.2,6.169491525423728,30.500132255980652,30.499669828718446,0.0,0.04034022691402277
0.1,5.9,0.2,6.4406779661016955,1.9725682616122597,1.9725613918522213,0.0,0.002588327458359709
0.1,5.9,0.2,6.711864406779661,20.6944501380371,20.694424620939888,0.0,2.641356694344438e-05
0.1,5.9,0.2,7.254237288135593,0.13179658489846302,0.13179657789758706,0.0,1.1066838516397874e-11
0.1,6.0,0.1,4.813559322033898,1.3307499165754795,1.3279309276456324,0.0,2.7130236913906743e-32
0.1,6.0,0.1,5.627118644067797,8.893691239349891,8.893247656368667,0.0,9.566956137206336e-05
0.1,6.0,0.1,5.898305084745763,40.36117755456741,40.36098053341116,0.0,0.05962514592349766
0.1,6.0,0.1,6.169491525423728,31.010316006064585,31.00985055052341,0.0,0.023778964051677197
0.1,6.0,0.1,6.4406779661016955,2.007624091957773,2.0076172392820752,0.0,6.068260402324136e-06
0.1,6.0,0.1,6.711864406779661,20.694448297697228,20.694422780848463,0.0,9.909307172502952e-13
0.1,6.0,0.1,7.254237288135593,0.13179658489546675,0.1317965778945908,0.0,6.923486742843562e-36
0.1,6.0,0.15,4.813559322033898,1.3307499165754653,1.3279309276456186,0.0,2.5993709470234666e-15
0.1,6.0,0.15,5.627118644067797,8.871945870013242,8.871502692397643,0.0,0.004551155572128833
0.1,6.0,0.15,5.898305084745763,39.86717008779029,39.86697511787264,0.0,0.07946774121753424
0.1,6.0,0.15,6.169491525423728,30.112784419699537,30.11232434797777,0.0,0.05281440767913076
0.1,6.0,0.15,6.4406779661016955,1.9895724171244709,1.9895655556494076,0.0,0.0013359995600637801
0.1,6.0,0.15,6.711864406779661,20.694448387321028,20.694422870460162,0.0,1.2863305193813365e-06
0.1,6.0,0.15,7.254237288135593,0.1317965848954663,0.13179657789459043,0.0,6.57539977114659e-17
0.1,6.0,0.2,4.813559322033898,1.3307499114676844,1.3279309225481413,0.0,2.282250950171656e-09
0.1,6.0,0.2,5.627118644067797,8.808267254393542,8.807825258880476,0.0,0.017587068118291724
0.1,6.0,0.2,5.898305084745763,39.65644421889595,39.65625015504699,0.0,0.08787338649801668
0.1,6.0,0.2,6.169491525423728,29.580096207650662,29.579639454118087,0.0,0.06983099538132756
0.1,6.0,0.2,6.4406779661016955,1.8877881442851532,1.8877812332720196,0.0,0.008826043269982774
0.1,6.0,0.2,6.711864406779661,20.694460659480722,20.694435140963108,0.0,0.00017742336948277804
0.1,6.0,0.2,7.254237288135593,0.13179658497356161,0.13179657797268557,0.0,2.884570888496997e-10
0.1,6.1,0.1,4.813559322033898,1.3307499165754795,1.3279309276456324,0.0,1.1578703950238198e-37
0.1,6.1,0.1,5.627118644067797,8.894151254834789,8.89370766326888,0.0,1.3938735883578517e-06
0.1,6.1,0.1,5.898305084745763,41.50124480456567,41.50104344430178,0.0,0.01308057419829064
0.1,6.1,0.1,6.169491525423728,29.305271091860448,29.304816085688127,0.0,0.07854852453070671
0.1,6.1,0.1,6.4406779661016955,2.003610203786735,2.003603349154095,0.0,0.00030182628468835985
0.1,6.1,0.1,6.711864406779661,20.694448297748867,20.694422780900094,0.0,7.421366634411951e-10
0.1,6.1,0.1,7.254237288135593,0.13179658489546675,0.1317965778945908,0.0,1.175603732693699e-30
0.1,6.1,0.15,4.813559322033898,1.3307499165754795,1.3279309276456324,0.0,1.0673167154157311e-17
0.1,6.1,0.15,5.627118644067797,8.890767563535704,8.890324035106303,0.0,0.0006948276009203421
0.1,6.1,0.15,5.898305084745763,40.83293715891299,40.83273827500304,0.0,0.04049390808370131
0.1,6.1,0.15,6.169491525423728,28.9478365223751,28.947383824643047,0.0,0.08982447358465744
0.1,6.1,0.15,6.4406779661016955,1.9046820968593252,1.9046751940593623,0.0,0.007583890009102401
0.1,6.1,0.15,6.711864406779661,20.694449995756003,20.694424478678,0.0,2.437147014897573e-05
0.1,6.1,0.15,7.254237288135593,0.1317965848954703,0.13179657789459434,0.0,1.3878361727739576e-14
0.1,6.1,0.2,4.813559322033898,1.3307499163433327,1.3279309274139544,0.0,1.0373253409440161e-10
0.1,6.1,0.2,5.627118644067797,8.864334503033213,8.86389146710084,0.0,0.006110205928501418
0.1,6.1,0.2,5.898305084745763,40.34844340685726,40.348246437287635,0.0,0.060139069216516045
0.1,6.1,0.2,6.169491525423728,28.81038234182101,28.809930542558156,0.0,0.09414223572856661
0.1,6.1,0.2,6.4406779661016955,1.6886254996122432,1.688618492045387,0.0,0.023439010007646994
0.1,6.1,0.2,6.711864406779661,20.694512965465226,20.694487439886345,0.0,0.0009281559900833202
0.1,6.1,0.2,7.254237288135593,0.13179658648074177,0.13179657947986598,0.0,5.85551690438263e-09
0.2,5.9,0.1,4.813559322033898,1.3307499165754795,1.3279309276456324,0.0,4.677165487764919e-27
0.2,5.9,0.1,5.627118644067797,8.870578511938973,8.870135359784102,0.0,0.004831251992526475
0.2,5.9,0.1,5.898305084745763,36.76141744970963,36.761237672641556,0.0,0.19997127468586628
0.2,5.9,0.1,6.169491525423728,31.574243374369026,31.573774670621365,0.0,0.005296431292834704
0.2,5.9,0.1,6.4406779661016955,2.0077052260266584,2.0076983733905194,0.0,8.976496667889956e-08
0.2,5.9,0.1,6.711864406779661,20.69444829769716,20.694422780848395,0.0,9.735050494232167e-16
0.2,5.9,0.1,7.254237288135593,0.13179658489546675,0.1317965778945908,0.0,3.00002094850732e-41
0.2,5.9,0.15,4.813559322033898,1.3307499165736694,1.327930927643823,0.0,8.118082041605576e-13
0.2,5.9,0.15,5.627118644067797,8.70727114575606,8.70683100994467,0.0,0.03822755542461092
0.2,5.9,0.15,5.898305084745763,36.76099386761043,36.76081409287865,0.0,0.19998723268433247
0.2,5.9,0.15,6.169491525423728,30.51617462836255,30.51571210458973,0.0,0.039821752809525886
0.2,5.9,0.15,6.4406779661016955,2.0036104511639863,2.003603596531467,0.0,0.0003018080577381589
0.2,5.9,0.15,6.711864406779661,20.694448303763192,20.694422786913606,0.0,8.706300358655532e-08
0.2,5.9,0.15,7.254237288135593,0.13179658489546675,0.1317965778945908,0.0,3.9949959880195468e-19
0.2,5.9,0.2,4.813559322033898,1.3307497415354952,1.327930752958667,0.0,7.821106160282006e-08
0.2,5.9,0.2,5.627118644067797,8.507903037093904,8.507466517964428,0.0,0.07884740768694669
0.2,5.9,0.2,5.898305084745763,36.76084560510551,36.76066583119148,0.0,0.19999281828464807
0.2,5.9,0.2,6.169491525423728,29.23786067491178,29.237406101005412,0.0,0.08068045382804553
0.2,5.9,0.2,6.4406779661016955,1.937405948996485,1.93739906211582,0.0,0.005176654916719418
0.2,5.9,0.2,6.711864406779661,20.69445197837603,20.694426461030368,0.0,5.282713388688876e-05
0.2,5.9,0.2,7.254237288135593,0.1317965849014593,0.13179657790058324,0.0,2.213367703279575e-11
0.2,6.0,0.1,4.813559322033898,1.3307499165754795,1.3279309276456324,0.0,5.426047382781349e-32
0.2,6.0,0.1,5.627118644067797,8.893224418058473,8.892780843788548,0.0,0.00019133912274412672
0.2,6.0,0.1,5.898305084745763,38.86210794738613,38.86191746446502,0.0,0.11925029184699532
