pair,lhs_family,rhs_family,layer,D,eta,chi_eff_lhs,chi_eff_rhs,g_eff_lhs,g_eff_rhs,gamma_lhs,gamma_rhs,p_kin_lhs,p_kin_rhs,W_lhs,W_rhs,P_lhs,P_rhs,generation_ratio_lhs,generation_ratio_rhs,winner_lhs,winner_rhs,log_chi_eff_ratio,log_g_eff_ratio,log_gamma_ratio,log_p_kin_ratio,log_W_ratio,delta_P,delta_generation_ratio,winner_mismatch
uniform_vs_runtime,uniform_profile,runtime_mainline,1,4.0,0.2,0.0005265818146994,0.000526581814699491,49.080091101131785,49.080091101131785,0.00182336782802981,0.00182336782802981,0.06507463132409956,0.06507463132409956,0.17283902795844938,0.17283902795844938,0.07777221434076431,0.07777221434076431,0.9470331256248724,0.9470331256248724,2.0,2.0,-1.7275070263168928e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,2,4.0,0.2,0.0005265818146994,0.000526581814699491,49.20070244586661,49.20070244586661,0.016436598974928104,0.016436598974928104,0.5837769412588872,0.5837769412588872,1.567074381508572,1.567074381508572,0.7051349809483082,0.7051349809483082,0.9470331256248724,0.9470331256248724,2.0,2.0,-1.7275070263168928e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,3,4.0,0.2,0.0005265818146994,0.000526581814699491,11.397664004427238,11.397664004427238,0.03252537814744661,0.03252537814744661,0.26547430907411185,0.26547430907411185,0.36474937099929117,0.36474937099929117,0.1641259303357999,0.1641259303357999,0.9470331256248724,0.9470331256248724,2.0,2.0,-1.7275070263168928e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,1,4.0,0.2,0.00024257621507385683,0.0005265818146994,41.27547150326908,49.080091101131785,0.0018233677781720988,0.00182336782802981,0.0660575001377821,0.06507463132409956,0.14535450155458288,0.17283902795844938,0.07849426228197932,0.07777221434076431,0.9488065422283987,0.9470331256248724,2.0,2.0,-0.77509076307936,-0.1731850628173504,-2.7343748861514033e-08,0.014990791483773082,-0.1731850901362236,0.0007220479412150121,0.0017734166035262566,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,2,4.0,0.2,0.00024257621507385683,0.0005265818146994,41.37690346908014,49.20070244586661,0.016436598522862424,0.016436598974928104,0.592594142979504,0.5837769412588872,1.3178812582026396,1.567074381508572,0.7116815511834511,0.7051349809483082,0.9488065422283987,0.9470331256248724,2.0,2.0,-0.77509076307936,-0.17318506281735027,-2.7503602551741623e-08,0.014990791524460185,-0.17318509009553656,0.0065465702351429345,0.0017734166035262566,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,3,4.0,0.2,0.00024257621507385683,0.0005265818146994,9.179081030294643,11.397664004427238,0.03252537725190769,0.03252537814744661,0.2580652855540095,0.26547430907411185,0.29375001229707787,0.36474937099929117,0.15863072876296824,0.1641259303357999,0.9488065422283987,0.9470331256248724,2.0,2.0,-0.77509076307936,-0.21648132852168794,-2.7533544046294384e-08,-0.028305473989893356,-0.21648135560988988,-0.005495201572831648,0.0017734166035262566,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,1,4.0,0.2,0.00024257621507385683,0.000526581814699491,41.27547150326908,49.080091101131785,0.0018233677781720988,0.00182336782802981,0.0660575001377821,0.06507463132409956,0.14535450155458288,0.17283902795844938,0.07849426228197932,0.07777221434076431,0.9488065422283987,0.9470331256248724,2.0,2.0,-0.7750907630795326,-0.1731850628173504,-2.7343748861514033e-08,0.014990791483773082,-0.1731850901362236,0.0007220479412150121,0.0017734166035262566,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,2,4.0,0.2,0.00024257621507385683,0.000526581814699491,41.37690346908014,49.20070244586661,0.016436598522862424,0.016436598974928104,0.592594142979504,0.5837769412588872,1.3178812582026396,1.567074381508572,0.7116815511834511,0.7051349809483082,0.9488065422283987,0.9470331256248724,2.0,2.0,-0.7750907630795326,-0.17318506281735027,-2.7503602551741623e-08,0.014990791524460185,-0.17318509009553656,0.0065465702351429345,0.0017734166035262566,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,3,4.0,0.2,0.00024257621507385683,0.000526581814699491,9.179081030294643,11.397664004427238,0.03252537725190769,0.03252537814744661,0.2580652855540095,0.26547430907411185,0.29375001229707787,0.36474937099929117,0.15863072876296824,0.1641259303357999,0.9488065422283987,0.9470331256248724,2.0,2.0,-0.7750907630795326,-0.21648132852168794,-2.7533544046294384e-08,-0.028305473989893356,-0.21648135560988988,-0.005495201572831648,0.0017734166035262566,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,1,4.0,0.6,0.0005265818146994,0.000526581814699491,49.080091101131785,49.080091101131785,0.00547010348408943,0.00547010348408943,0.06640263998527512,0.06640263998527512,0.5175730715179406,0.5175730715179406,0.07914359701009059,0.07914359701009059,0.9483926231522801,0.9483926231522801,2.0,2.0,-1.7275070263168928e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
