pair,layer,p95_abs_log_chi_eff_ratio,p95_abs_log_g_eff_ratio,p95_abs_log_gamma_ratio,p95_abs_log_p_kin_ratio,p95_abs_log_W_ratio,p95_abs_delta_P,max_abs_delta_P,p95_abs_delta_generation_ratio,winner_mismatch_fraction,hotspot_p95_abs_log_gamma_ratio,hotspot_p95_abs_log_W_ratio,hotspot_p95_abs_delta_P,hotspot_winner_mismatch_fraction
uniform_vs_runtime,1,4.7806758551883e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,2,4.7806758551883e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,3,4.7806758551883e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_vs_uniform,1,0.7720839597790959,0.2821637158864474,9.699106633661202e-10,0.01465308421278838,0.28216371589172423,0.002614211936203048,0.0037698732102004473,0.001134854234759064,0.0,9.727955168361443e-10,0.26054022688802103,0.0007756163310716199,0.0
hybrid_vs_uniform,2,0.7720839597790959,0.28216371588644706,9.732222088516136e-10,0.014653084206416485,0.2821637158916282,0.003886349215459696,0.0065465702351429345,0.001134854234759064,0.0,9.74383135762904e-10,0.26054022688791095,0.003164926192797524,0.0
hybrid_vs_uniform,3,0.7720839597790959,0.35270464485805997,9.738398148185837e-10,0.05927558228228429,0.35270464486347297,0.005290815401064204,0.0061615682150408385,0.001134854234759064,0.0,9.74677894425114e-10,0.3256752834228753,0.0034661303676418714,0.0
hybrid_vs_runtime,1,0.7720839597791358,0.2821637158864474,9.699106633661202e-10,0.01465308421278838,0.28216371589172423,0.002614211936203048,0.0037698732102004473,0.001134854234759064,0.0,9.727955168361443e-10,0.26054022688802103,0.0007756163310716199,0.0
hybrid_vs_runtime,2,0.7720839597791358,0.28216371588644706,9.732222088516136e-10,0.014653084206416485,0.2821637158916282,0.003886349215459696,0.0065465702351429345,0.001134854234759064,0.0,9.74383135762904e-10,0.26054022688791095,0.003164926192797524,0.0
hybrid_vs_runtime,3,0.7720839597791358,0.35270464485805997,9.738398148185837e-10,0.05927558228228429,0.35270464486347297,0.005290815401064204,0.0061615682150408385,0.001134854234759064,0.0,9.74677894425114e-10,0.3256752834228753,0.0034661303676418714,0.0
