D,level,uniform_rel_E1_vs_uniform_fine,uniform_rel_E2_vs_uniform_fine,uniform_rel_delta_omega12_vs_uniform_fine,prolate_rel_E1_vs_prolate_fine,prolate_rel_E2_vs_prolate_fine,prolate_rel_delta_omega12_vs_prolate_fine,crossmesh_rel_E1_vs_uniform_fine,crossmesh_rel_E2_vs_uniform_fine,crossmesh_rel_delta_omega12_vs_uniform_fine
5.4,coarse,0.8209484197273138,0.9527636082221614,0.2286119060240929,0.021606963455185178,0.025564304635052475,0.011319742021237112,0.0021026278730249533,0.0003380464193924549,0.022349966699574512
5.4,fine,0.0,0.0,0.0,0.0,0.0,0.0,0.02320813402448015,0.025256681553149703,0.011156513533391837
5.4,mid,0.8399911363011555,0.9869627590615725,0.3316074786023354,0.0031579969828928692,0.003741194997081254,0.0016978997354940783,0.02012342825881516,0.021609976726737964,0.012835470627508533
5.627118644067797,coarse,6.1050594172472765,6.358176655883638,1.0,0.021798718776646794,0.02526843806632233,0.0130165940870558,0.2760254654257655,0.3015805779169776,0.14446198776390343
5.627118644067797,fine,0.0,0.0,0.0,0.0,0.0,0.0,0.29147050072541064,0.31879359965449056,0.15955545038297175
5.627118644067797,mid,0.9746699895556125,1.0341747620591706,1.0,0.0031880849471448685,0.003700098604993689,0.0019518369586104523,0.2892116484941652,0.3162730688028593,0.15729218719935606
5.8,coarse,0.8159576680481021,0.9580758249896096,0.8193526183155807,0.021939294468509157,0.02507976660690663,0.014324514411636421,0.0008475206118486486,0.0023536654858304245,0.02241048125951857
5.8,fine,0.0,0.0,0.0,0.0,0.0,0.0,0.022297621007135053,0.026762241326393394,0.037268853906037194
5.8,mid,0.8427880178925182,0.9718548465629521,0.6363698932358198,0.0032101989530830513,0.0036740920796815603,0.0021479915888503814,0.01915900185366535,0.023186476185603662,0.03504080913247055
6.0,coarse,1.0182001764172675,1.0208606322867273,0.9999540783306663,0.022096683142619252,0.02489581989644531,0.01585489184562269,0.583554866339881,0.7193233255161833,0.23964226584662837
6.0,fine,0.0,0.0,0.0,0.0,0.0,0.0,0.5493200324953194,0.6775591159010702,0.22739266003230635
6.0,mid,3.7687721950882693,4.450748075292704,1.0,0.003234967984565239,0.0036489072461869084,0.002377820831566905,0.5543320331982873,0.6836803735149886,0.229229781859903
6.169492525423729,coarse,0.9986221004878817,1.0089936277241511,0.7563113603157369,0.022226225492291796,0.024765689066128048,0.017166471003846207,0.23683875149427835,0.253445453716424,0.1786321273215828
6.169492525423729,fine,0.0,0.0,0.0,0.0,0.0,0.0,0.25343213715907903,0.2714875661343489,0.1992184765261455
6.169492525423729,mid,0.8420962168579478,0.9302667298628773,1.2457706319370583,0.0032553036422072173,0.003631189677676381,0.002575097172989387,0.2510018320760181,0.26884219930443704,0.19613037241744638
6.3,coarse,4.167004797942189,4.616691825131809,1.0,0.022323968258722807,0.024680161893374398,0.018185600364474867,0.3759478237280624,0.4334827506512164,0.19031577895826537
6.3,fine,0.0,0.0,0.0,0.0,0.0,0.0,0.3459019512881526,0.3989562831024936,0.17531844985945377
6.3,mid,0.2807938352198669,0.3285297029682293,0.19756454913182853,0.0032705740769703325,0.003619569822485841,0.0027285119259589973,0.3503038233201794,0.4040199030477883,0.1775686033041306
6.4406779661016955,coarse,6.073053956452262,6.231480059442428,1.0,0.02242777860425431,0.024601281529520316,0.019293274955298756,0.21203768436239678,0.22508693386613424,0.1801791901873208
6.4406779661016955,fine,0.0,0.0,0.0,0.0,0.0,0.0,0.2293222737812608,0.2436930539681944,0.20339665268791488
6.4406779661016955,mid,0.9312483898468003,0.9683418484024727,1.0,0.0032866779371662986,0.003608834552813398,0.002895304787263051,0.22678930430183217,0.24096366732882205,0.19991245259841123
6.6,coarse,0.8224905739910265,0.9298228964598648,1.4539804747772096,0.02254396876176559,0.02452767283093191,0.020559619138611044,0.0008589654482054543,0.001662754561854079,0.02195866052795566
6.6,fine,0.0,0.0,0.0,0.0,0.0,0.0,0.022886971049577924,0.02556341628178544,0.04341078895396688
6.6,mid,0.8480788703515264,0.9471933942869202,1.2447877806653218,0.0033044914918617897,0.0035987252941007335,0.0030860537064332826,0.019658109358823953,0.022056686700461594,0.04019076722138302
6.8,coarse,1.0184630707802684,1.0200862682181873,0.9999296482516444,0.02268888980009566,0.024457668233095097,0.022167888107968443,0.5959843471504062,0.684628094124805,0.319496193293135
6.8,fine,0.0,0.0,0.0,0.0,0.0,0.0,0.5605765967227553,0.6444096680249565,0.30406886986955123
6.8,mid,3.83954709442308,4.258429097908048,1.0,0.003326264794791182,0.003588816930423211,0.003328155814581022,0.5657674877160092,0.6503111532821161,0.3063850371068428
