combo_id,placement,peak,center_D,width_D,case,subset,drift_grid_D,count_points,p95_abs_delta_base,p95_abs_delta_parent,p95_abs_delta_candidate,p95_abs_delta_guard,mean_abs_improvement_vs_candidate,median_abs_improvement_vs_candidate,mean_abs_improvement_vs_parent,acceptance_flip_fraction_vs_base,acceptance_flip_fraction_vs_candidate,best_point_D,best_point_eta,best_point_improvement_vs_candidate,worst_point_D,worst_point_eta,worst_point_improvement_vs_candidate
0,mu_linear_blend,0.3,7.232323,0.005,D100E41_monitor,all_points,7.232323232323233,4100,9.458853450056113,6.644232663624733,6.644232663624733,6.644232663624733,0.000320957461802722,0.0,-0.0007327433419866872,0.1,0.0,7.232323232323233,4.0,0.03209577668079788,4.0,0.2,0.0
0,mu_linear_blend,0.3,7.232323,0.005,D100E41_monitor,drift_strip,7.232323232323233,41,1.3298596264490867,0.934938912855249,1.041924642067773,1.0098289233386621,0.0320957461802722,0.032095746180422324,-0.07489007453612427,0.0,0.0,7.232323232323233,4.0,0.03209577668079788,7.232323232323233,0.2,0.03209571567997482
0,mu_linear_blend,0.3,7.232323,0.005,D100E41_monitor,nonreviewer_complement,7.232323232323233,3895,5.502490593619517,5.502490593403992,5.502490593403992,5.502490593403992,0.00033784995979233896,0.0,-0.0007713087810386182,0.10526315789473684,0.0,7.232323232323233,4.0,0.03209577668079788,4.0,0.2,0.0
0,mu_linear_blend,0.3,7.232323,0.005,D100E41_monitor,reviewer_targets,7.232323232323233,205,35.955648483926254,19.815121680053295,19.815121680053295,19.815121680053295,0.0,0.0,0.0,0.0,0.0,4.808080808080808,0.2,0.0,4.808080808080808,0.2,0.0
0,mu_linear_blend,0.3,7.232323,0.005,D21E21_holdout,all_points,7.2,441,0.9136772062233662,0.9136772062234826,0.8785726023179126,0.8785726023179126,-7.89225877898428e-12,0.0,0.03806379546460711,0.0,0.0,4.0,0.2,0.0,7.2,1.53,-1.6573764582972217e-10
0,mu_linear_blend,0.3,7.232323,0.005,D21E21_holdout,nonreviewer_complement,7.2,378,0.7569946903994907,1.4133075343016466,0.7569946903994907,0.756994690565228,-9.207635242148326e-12,0.0,0.04440776137537496,0.0,0.0,4.8,0.2,0.0,7.2,1.53,-1.6573764582972217e-10
0,mu_linear_blend,0.3,7.232323,0.005,D21E21_holdout,reviewer_targets,7.2,63,2.102216802991498,0.8904550824432713,0.8904550824432713,0.8904550824432713,0.0,0.0,0.0,0.0,0.0,4.0,0.2,0.0,4.0,0.2,0.0
0,mu_linear_blend,0.3,7.232323,0.005,D21E41_canonical,all_points,7.2,861,0.9136772062233662,0.9136772062234826,0.8785726023179126,0.8785726023179126,-7.892258533373301e-12,0.0,0.038063795463204715,0.0,0.0,4.0,0.2,0.0,7.2,1.53,-1.6573764582972217e-10
0,mu_linear_blend,0.3,7.232323,0.005,D21E41_canonical,nonreviewer_complement,7.2,738,0.7569947064696276,1.4133075773935053,0.7569947064696276,0.7569947066353648,-9.207634955602184e-12,0.0,0.04440776137373884,0.0,0.0,4.8,0.2,0.0,7.2,1.53,-1.6573764582972217e-10
0,mu_linear_blend,0.3,7.232323,0.005,D21E41_canonical,reviewer_targets,7.2,123,2.102217055050133,0.8910235355256485,0.8910235355256485,0.8910235355256485,0.0,0.0,0.0,0.0,0.0,4.0,0.2,0.0,4.0,0.2,0.0
0,mu_linear_blend,0.3,7.232323,0.005,D60E21_monitor,all_points,7.254237288135593,1260,9.02385403940191,6.278141668421017,6.278141668421017,6.278141668421017,7.791532308232263e-10,0.0,-3.853094081679883e-05,0.1,0.0,7.254237288135593,4.0,4.674923825831456e-08,4.0,0.2,0.0
0,mu_linear_blend,0.3,7.232323,0.005,D60E21_monitor,drift_strip,7.254237288135593,21,1.294200553412129,1.202815230757238,1.205126924785977,1.2051268780367432,4.674919384939358e-08,4.674919384939358e-08,-0.0023116452968931105,0.0,0.0,7.254237288135593,4.0,4.674923825831456e-08,7.254237288135593,0.2,4.674914944047259e-08
0,mu_linear_blend,0.3,7.232323,0.005,D60E21_monitor,nonreviewer_complement,7.254237288135593,1155,2.920957855314017,2.920965152119379,2.920965152119379,2.920965152119379,8.499853427162469e-10,0.0,-4.2033753618326e-05,0.10909090909090909,0.0,7.254237288135593,4.0,4.674923825831456e-08,4.0,0.2,0.0
0,mu_linear_blend,0.3,7.232323,0.005,D60E21_monitor,reviewer_targets,7.254237288135593,105,31.28593012120719,18.575780513798115,18.575780513798115,18.575780513798115,0.0,0.0,0.0,0.0,0.0,4.813559322033898,0.2,0.0,4.813559322033898,0.2,0.0
0,mu_linear_blend,0.3,7.232323,0.005,D60E41_monitor,all_points,7.254237288135593,2460,9.023854039401614,6.278141668420413,6.278141668420413,6.278141668420413,7.791532272127449e-10,0.0,-3.853094081678838e-05,0.1,0.0,7.254237288135593,4.0,4.674923825831456e-08,4.0,0.2,0.0
0,mu_linear_blend,0.3,7.232323,0.005,D60E41_monitor,drift_strip,7.254237288135593,41,1.294200553412129,1.202815230757238,1.205126924785977,1.2051268780367432,4.6749193632764696e-08,4.674919384939358e-08,-0.0023116452968924635,0.0,0.0,7.254237288135593,4.0,4.674923825831456e-08,7.254237288135593,0.2,4.674914944047259e-08
0,mu_linear_blend,0.3,7.232323,0.005,D60E41_monitor,nonreviewer_complement,7.254237288135593,2255,2.9245748952293935,2.924582190745037,2.924582190745037,2.924582190745037,8.499853387775399e-10,0.0,-4.203375361831459e-05,0.10909090909090909,0.0,7.254237288135593,4.0,4.674923825831456e-08,4.0,0.2,0.0
