family,base_family,feature,polarity,grid,D,eval_role,score,pointamp_leverage,partial_excess,family_score,p95_abs_delta_mu,p95_abs_delta_log_partial,p95_abs_delta_log_width
pointamp_leverage,pointamp_leverage,none,base,D21,4.0,guard,5.014200166186811e-11,5.014200166186811e-11,0.08140935297665011,4.082027912246797e-12,0.9136772062228936,0.2128837962475365,0.1314744432708864
pointamp_leverage,pointamp_leverage,none,base,D21,6.4,guard,0.0,0.0,0.0,0.0,2.102227386943852,0.3658714386977338,0.4016114883062823
pointamp_leverage,pointamp_leverage,none,base,D21,8.0,guard,0.0,0.0,0.1494347545905172,0.0,0.3226590996072032,0.1503607778440054,0.0009260232534882
pointamp_leverage,pointamp_leverage,none,base,D60,4.813559322033898,guard,1.9691423423446928,1.9691423423446928,0.0,1.969142342344693e-09,8.950884564633627,0.0877296449808642,0.4986044330832609
pointamp_leverage,pointamp_leverage,none,base,D60,5.627118644067797,guard,0.031701939439713556,0.031701939439713556,0.0,3.1701939439713555e-11,10.271915904250342,0.2707684875352133,0.4637089045258181
pointamp_leverage,pointamp_leverage,none,base,D60,6.169491525423729,positive,22.896913365010036,22.896913365010036,0.1775021007682871,4.064250223398751,25.887561191707903,0.2354926235407056,0.0579905227724185
pointamp_leverage,pointamp_leverage,none,base,D60,6.4406779661016955,positive,30.3466432812788,30.3466432812788,0.4393747925160929,13.333550095271757,31.28630580743782,0.473979006936732,0.0346042144206391
pointamp_leverage,pointamp_leverage,none,base,D60,6.711864406779661,guard,0.6791512471874412,0.6791512471874412,0.0,6.791512471874413e-10,7.462467784829659,0.0086463299661556,0.2858615078767872
pointamp_leverage__hi__projected_logdet_part_kernel,pointamp_leverage,projected_logdet_part_kernel,high_trigger,D21,4.0,guard,9.432481406499692e-12,5.014200166186811e-11,0.08140935297665011,4.082027912246797e-12,0.9136772062228936,0.2128837962475365,0.1314744432708864
pointamp_leverage__hi__projected_logdet_part_kernel,pointamp_leverage,projected_logdet_part_kernel,high_trigger,D21,6.4,guard,0.0,0.0,0.0,0.0,2.102227386943852,0.3658714386977338,0.4016114883062823
pointamp_leverage__hi__projected_logdet_part_kernel,pointamp_leverage,projected_logdet_part_kernel,high_trigger,D21,8.0,guard,0.0,0.0,0.1494347545905172,0.0,0.3226590996072032,0.1503607778440054,0.0009260232534882
pointamp_leverage__hi__projected_logdet_part_kernel,pointamp_leverage,projected_logdet_part_kernel,high_trigger,D60,4.813559322033898,guard,0.2073923774044187,1.9691423423446928,0.0,1.969142342344693e-09,8.950884564633627,0.0877296449808642,0.4986044330832609
pointamp_leverage__hi__projected_logdet_part_kernel,pointamp_leverage,projected_logdet_part_kernel,high_trigger,D60,5.627118644067797,guard,0.0,0.031701939439713556,0.0,3.1701939439713555e-11,10.271915904250342,0.2707684875352133,0.4637089045258181
pointamp_leverage__hi__projected_logdet_part_kernel,pointamp_leverage,projected_logdet_part_kernel,high_trigger,D60,6.169491525423729,positive,5.075520414505879,22.896913365010036,0.1775021007682871,4.064250223398751,25.887561191707903,0.2354926235407056,0.0579905227724185
pointamp_leverage__hi__projected_logdet_part_kernel,pointamp_leverage,projected_logdet_part_kernel,high_trigger,D60,6.4406779661016955,positive,10.409156919214958,30.3466432812788,0.4393747925160929,13.333550095271757,31.28630580743782,0.473979006936732,0.0346042144206391
pointamp_leverage__hi__projected_logdet_part_kernel,pointamp_leverage,projected_logdet_part_kernel,high_trigger,D60,6.711864406779661,guard,0.3557956816584082,0.6791512471874412,0.0,6.791512471874413e-10,7.462467784829659,0.0086463299661556,0.2858615078767872
pointamp_leverage__lo__projected_logdet_part_kernel,pointamp_leverage,projected_logdet_part_kernel,low_trigger,D21,4.0,guard,4.0709520255368415e-11,5.014200166186811e-11,0.08140935297665011,4.082027912246797e-12,0.9136772062228936,0.2128837962475365,0.1314744432708864
pointamp_leverage__lo__projected_logdet_part_kernel,pointamp_leverage,projected_logdet_part_kernel,low_trigger,D21,6.4,guard,0.0,0.0,0.0,0.0,2.102227386943852,0.3658714386977338,0.4016114883062823
pointamp_leverage__lo__projected_logdet_part_kernel,pointamp_leverage,projected_logdet_part_kernel,low_trigger,D21,8.0,guard,0.0,0.0,0.1494347545905172,0.0,0.3226590996072032,0.1503607778440054,0.0009260232534882
pointamp_leverage__lo__projected_logdet_part_kernel,pointamp_leverage,projected_logdet_part_kernel,low_trigger,D60,4.813559322033898,guard,1.7617499649402741,1.9691423423446928,0.0,1.969142342344693e-09,8.950884564633627,0.0877296449808642,0.4986044330832609
pointamp_leverage__lo__projected_logdet_part_kernel,pointamp_leverage,projected_logdet_part_kernel,low_trigger,D60,5.627118644067797,guard,0.031701939439713556,0.031701939439713556,0.0,3.1701939439713555e-11,10.271915904250342,0.2707684875352133,0.4637089045258181
