observable_mode,layer,D,eta,amp
eft_wilson_uv_rge,2,5.898305084745763,0.2,0.0011680752638961733
eft_wilson_uv_rge,2,5.898305084745763,0.39,0.0011680724685779072
eft_wilson_uv_rge,2,5.898305084745763,0.5800000000000001,0.0011680696731275894
eft_wilson_uv_rge,2,5.898305084745763,0.77,0.0011680668775460685
eft_wilson_uv_rge,2,5.898305084745763,0.96,0.0011680640818330207
eft_wilson_uv_rge,2,5.898305084745763,1.15,0.0011680612859881893
eft_wilson_uv_rge,2,5.898305084745763,1.34,0.0011680584900117907
eft_wilson_uv_rge,2,5.898305084745763,1.53,0.0011680556939037301
eft_wilson_uv_rge,2,5.898305084745763,1.72,0.001168052897664086
eft_wilson_uv_rge,2,5.898305084745763,1.91,0.0011680501012928427
eft_wilson_uv_rge,2,5.898305084745763,2.1,0.0011680473047900861
eft_wilson_uv_rge,2,5.898305084745763,2.29,0.001168044508155686
eft_wilson_uv_rge,2,5.898305084745763,2.4800000000000004,0.0011680417113897593
eft_wilson_uv_rge,2,5.898305084745763,2.6700000000000004,0.0011680389144922492
eft_wilson_uv_rge,2,5.898305084745763,2.8600000000000003,0.0011680361174632393
eft_wilson_uv_rge,2,5.898305084745763,3.0500000000000003,0.0011680333203026745
eft_wilson_uv_rge,2,5.898305084745763,3.24,0.001168030523010624
eft_wilson_uv_rge,2,5.898305084745763,3.43,0.001168027725586967
eft_wilson_uv_rge,2,5.898305084745763,3.62,0.0011680249280318683
eft_wilson_uv_rge,2,5.898305084745763,3.81,0.0011680221303452746
eft_wilson_uv_rge,2,5.898305084745763,4.0,0.0011680193325271616
eft_wilson_uv_rge,2,6.169491525423728,0.2,0.0009228360056444114
eft_wilson_uv_rge,2,6.169491525423728,0.39,0.0009228347823422924
eft_wilson_uv_rge,2,6.169491525423728,0.5800000000000001,0.0009228335590252731
eft_wilson_uv_rge,2,6.169491525423728,0.77,0.0009228323356924321
eft_wilson_uv_rge,2,6.169491525423728,0.96,0.0009228311123452821
eft_wilson_uv_rge,2,6.169491525423728,1.15,0.0009228298889829149
eft_wilson_uv_rge,2,6.169491525423728,1.34,0.0009228286656059451
eft_wilson_uv_rge,2,6.169491525423728,1.53,0.0009228274422139227
eft_wilson_uv_rge,2,6.169491525423728,1.72,0.0009228262188073287
eft_wilson_uv_rge,2,6.169491525423728,1.91,0.0009228249953858305
eft_wilson_uv_rge,2,6.169491525423728,2.1,0.0009228237719492527
eft_wilson_uv_rge,2,6.169491525423728,2.29,0.0009228225484980838
eft_wilson_uv_rge,2,6.169491525423728,2.4800000000000004,0.0009228213250319283
eft_wilson_uv_rge,2,6.169491525423728,2.6700000000000004,0.0009228201015509676
eft_wilson_uv_rge,2,6.169491525423728,2.8600000000000003,0.00092281887805514
eft_wilson_uv_rge,2,6.169491525423728,3.0500000000000003,0.0009228176545444393
eft_wilson_uv_rge,2,6.169491525423728,3.24,0.0009228164310189357
eft_wilson_uv_rge,2,6.169491525423728,3.43,0.0009228152074785507
eft_wilson_uv_rge,2,6.169491525423728,3.62,0.0009228139839234429
eft_wilson_uv_rge,2,6.169491525423728,3.81,0.000922812760353338
eft_wilson_uv_rge,2,6.169491525423728,4.0,0.000922811536768469
eft_wilson_uv_rge,2,6.4406779661016955,0.2,0.0006342329894686429
eft_wilson_uv_rge,2,6.4406779661016955,0.39,0.000634232554442232
eft_wilson_uv_rge,2,6.4406779661016955,0.5800000000000001,0.0006342321194152528
eft_wilson_uv_rge,2,6.4406779661016955,0.77,0.0006342316843872062
eft_wilson_uv_rge,2,6.4406779661016955,0.96,0.0006342312493575157
eft_wilson_uv_rge,2,6.4406779661016955,1.15,0.000634230814326834
eft_wilson_uv_rge,2,6.4406779661016955,1.34,0.0006342303792947654
eft_wilson_uv_rge,2,6.4406779661016955,1.53,0.0006342299442611701
eft_wilson_uv_rge,2,6.4406779661016955,1.72,0.0006342295092263173
eft_wilson_uv_rge,2,6.4406779661016955,1.91,0.0006342290741900606
eft_wilson_uv_rge,2,6.4406779661016955,2.1,0.0006342286391522873
eft_wilson_uv_rge,2,6.4406779661016955,2.29,0.0006342282041135963
eft_wilson_uv_rge,2,6.4406779661016955,2.4800000000000004,0.0006342277690732597
eft_wilson_uv_rge,2,6.4406779661016955,2.6700000000000004,0.0006342273340316107
eft_wilson_uv_rge,2,6.4406779661016955,2.8600000000000003,0.0006342268989886999
eft_wilson_uv_rge,2,6.4406779661016955,3.0500000000000003,0.0006342264639443497
eft_wilson_uv_rge,2,6.4406779661016955,3.24,0.0006342260288987291
eft_wilson_uv_rge,2,6.4406779661016955,3.43,0.0006342255938517014
eft_wilson_uv_rge,2,6.4406779661016955,3.62,0.0006342251588033589
eft_wilson_uv_rge,2,6.4406779661016955,3.81,0.0006342247237535887
eft_wilson_uv_rge,2,6.4406779661016955,4.0,0.0006342242887026257
