D,chi_E1,chi_E2,chi_DeltaE,chi_LR,chi_omega1,Gamma_ref,lambda1,lambda2,lambda3,g1_raw,g2_raw,g3_raw,g1_hat,g2_hat,g3_hat,uniform_E1,uniform_E2,uniform_E3,uniform_omega1,uniform_omega2,uniform_omega3,uniform_delta_omega12,uniform_inv_delta_omega12,uniform_gap_fraction,uniform_mean_omega12,prolate_E1,prolate_E2,prolate_E3,prolate_omega1,prolate_omega2,prolate_omega3,prolate_delta_omega12,prolate_inv_delta_omega12,prolate_gap_fraction,prolate_mean_omega12
4.0,2.066705423812488,2.5669612895002754,0.5002558656877873,0.0005265818146994,1.7512011374518028,475.00298312929175,0.7359089334327527,0.8355420903543915,1.024913561448241,1.0,4.5845519031482596,11.397664004427238,0.0877372766570032,0.4022360986749095,1.0,-0.7530232220658435,-0.6642874818921272,0.005636160305468898,0.49696758237751937,0.5794070400917414,1.0028141205155963,0.08243945771422201,12.130113755315076,0.14228245777125667,0.5381873112346304,-0.5061813520144096,-0.39136808692017977,0.0056366152534346415,0.7027223121444134,0.7801486480663927,1.0028143473512108,0.07742633592197934,12.915502045811337,0.09924561955453155,0.741435480105403
4.271186440677966,2.0202268770047445,2.5045998846372326,0.4843730076324881,0.0005545392792601,1.7378799949952657,436.7346243522315,0.7334878092578565,0.8306653615164734,1.012299444601317,1.0,4.555240749381493,11.20032367904049,0.0892831340107903,0.4067061702784407,1.0,-0.7457559174530242,-0.6759090496919593,0.005638256001685217,0.5042262215979806,0.5692898649265071,1.002815165422664,0.06506364332852654,15.369566609583933,0.11428912990911226,0.5367580432622439,-0.4999884334783677,-0.4063266829065975,0.005638730779240635,0.7071149599051291,0.7705019903241019,1.0028154021450013,0.06338703041897287,15.776097939755862,0.08226718582817666,0.7388084751146156
4.5423728813559325,2.44520717393829,2.9834797562635287,0.5382725823252388,0.0002987362172957,1.8561269282940456,900.9161781550856,0.7311353826524483,0.8260262834151346,1.000327246836748,1.0,4.529229826616209,11.01191840867456,0.0908106982714526,0.4113025231869081,1.0,-0.7368008933294322,-0.6815016848858078,0.005640471455789917,0.5130293428943102,0.5643565496334673,1.0028162700394274,0.05132720673915703,19.48284474317808,0.09094819006263419,0.5386929462638888,-0.49494555348881875,-0.41839862685620244,0.005640961009622276,0.710671827576682,0.7626279388691432,1.002816514128892,0.05195611129246114,19.24701397244679,0.06812773128860693,0.7366498832229126
4.813559322033898,2.3885820441034364,2.9096854600773363,0.5211034159738999,0.0003168070925051,1.8408101597132271,822.4301606590963,0.7288487443206848,0.8216055771147635,0.9889634890746808,1.0,4.506208279616175,10.83233735170105,0.0923161795586956,0.4159959326699279,1.0,-0.7259410327157523,-0.6818621770596824,0.005642806462825686,0.5235064157049536,0.5640370758561156,1.0028174342634983,0.040530660151162023,24.672679800191457,0.07185814884534521,0.5437717457805347,-0.4908537778074947,-0.4281982894795337,0.005643306160028711,0.7135448284393248,0.7561757140509514,1.0028176834101146,0.042630885611626645,23.457171617548376,0.05637695686264021,0.7348602712451381
5.084745762711864,2.3345433628110426,2.839390778162201,0.5048474153511586,0.0003352973412873,1.8260732085026172,752.8353988922023,0.7266252665739621,0.8173858442006567,0.9781758460540542,1.0,4.485886885197274,10.661428881381624,0.093796057838582,0.4207585057413002,1.0,-0.7130728579480781,-0.6776665816618981,0.005645260854031281,0.535655805580339,0.567744148660382,1.0028186580105256,0.03208834308004305,31.16396497960463,0.05651902032941589,0.5516999771203606,-0.48754968988261005,-0.43619934690207274,0.005645764815852661,0.7158563474031574,0.7508666013999605,1.002818909283153,0.03501025399680313,28.563060413423802,0.04662646325129913,0.733361474401559
5.3559322033898304,2.2773664593548246,2.7651024298468845,0.4877359704920598,0.0003562601642523,1.8103498168461325,684.522182708282,0.7243139398842218,0.8128123578467379,0.9668745103631688,1.0,4.458739420020034,10.479873495743451,0.0954209991567325,0.425457370437822,1.0,-0.6981946817021047,-0.6695111928890678,0.00564783449426977,0.5493681081914887,0.5748815592023562,1.0028199412129128,0.02551345101086744,39.195011273623884,0.044380360793390486,0.5621248336969225,-0.4848981667033319,-0.4427688717363501,0.005648337251432063,0.7177059518331084,0.7464791546075817,1.0028201918845832,0.028773202774473372,34.754559922928244,0.038545219376687374,0.732092553220345
5.627118644067797,2.22828163344609,2.7014782710779155,0.4731966376318248,0.0003755509545519,1.7967419495982415,630.0032417656539,0.7222182062398901,0.8089708248736098,0.957190521697896,1.0,4.443211433572337,10.326051200528257,0.0968424405980906,0.4302914393204862,1.0,-0.6813928866324663,-0.6579399932543442,0.005650527277421126,0.564452932818613,0.5848589631232951,1.002821283817521,0.020406030304682132,49.00512177376075,0.03489051479301738,0.5746559479709541,-0.4827869607749684,-0.44819293444814057,0.005651022396485322,0.7191752493134281,0.7428371729739024,1.0028215306805521,0.02366192366047426,42.26199079791794,0.031853445844323085,0.7310062111436653
5.898305084745763,2.1813265481372897,2.640706580246449,0.4593800321091592,0.0003951816269869,1.7836273568594112,581.2264547971614,0.7201786461266175,0.8052864170306315,0.9479898690022448,1.0,4.429630398004509,10.180222753830597,0.0982296776977421,0.435121166316104,1.0,-0.6628270566072265,-0.6434619740224432,0.005653339120922403,0.5806659481946341,0.5971080521794667,1.0028226857829465,0.01644210398483259,60.819466956447535,0.027536228869830672,0.5888870001870504,-0.48112253715552017,-0.4526957648528685,0.005653819835648526,0.7203314951079676,0.7398001318918046,1.0028229254637373,0.019468636783837034,51.36466467083126,0.026316076389513693,0.7300658134998861
6.169491525423728,2.136382725903186,2.5826069874193767,0.4462242615161909,0.0004151101866571,1.770983547609403,537.4768866906845,0.7181934574821178,0.8017475603651436,0.9392452317488408,1.0,4.417780578430168,10.04212282638029,0.0995805386260598,0.4399249695318225,1.0,-0.6427147091925213,-0.6265610165798555,0.0056562699573808745,0.5977334613416575,0.6110965418165484,1.0028241470753387,0.013363080474890876,74.83304481171031,0.02186738029177472,0.604415001579103,-0.4798268254358946,-0.45645411797228364,0.005656729248245713,0.7212303200532444,0.7372556422488175,1.0028243760740192,0.016025322195573066,62.401241472464505,0.021736452428755583,0.7292429811510309
6.4406779661016955,2.0933424471056483,2.527012560849496,0.4336701137438479,0.0004352867950354,1.758790052026008,498.1429699797479,0.7162609750259363,0.7983437559270514,0.9309304990486332,1.0,4.40746144215754,9.911468615992211,0.1008932216550122,0.4446829842195207,1.0,-0.6213162921308314,-0.6077004624907112,0.005659319724190868,0.6153728202229675,0.6263381973896281,1.002825667663224,0.010965377166660684,91.19613350285996,0.017507118697791025,0.6208555088062978,-0.47883462728204707,-0.4596080808884656,0.005659749362245645,0.7219178434683222,0.7351135416461422,1.0028258818769316,0.013195698177819959,75.78227286835447,0.01795055788017561,0.7285156925572323
6.711864406779661,2.0521071488716807,2.4737694599331372,0.4216623110614566,0.0004556548742646,1.747028090464398,462.6992213591115,0.714379650680266,0.7950654698451445,0.923020776390747,1.0,4.3984867032246875,9.787964214925456,0.1021662909714281,0.449377072355611,1.0,-0.5989209795246718,-0.5873240584643498,0.005662488349690683,0.633307998114131,0.6423985846307962,1.0028272475106024,0.009090586516665278,110.00390328685111,0.014151006453244106,0.6378532913724636,-0.4780915088292612,-0.46226924717342455,0.005662879455565451,0.7224323436632242,0.7333012701656635,1.0028274425122028,0.010868926502439313,92.00540640104337,0.014821911463461483,0.7278668069144438
