D,level,uniform_n_total,prolate_n_total,prolate_n_inner,prolate_n_outer_each,prolate_eta_power,prolate_xi_power,uniform_E1,uniform_E2,uniform_omega1,uniform_omega2,uniform_delta_omega12,prolate_E1,prolate_E2,prolate_omega1,prolate_omega2,prolate_delta_omega12
5.4,coarse,401,401,121,140,0.75,2.0,-0.08881549323475185,-0.02150290170231767,0.9545598497555029,0.9891901224222178,0.03463027266671492,-0.494990031186226,-0.45506508677649515,0.7106405341758757,0.7381970693680007,0.027556535192124976
5.4,fine,1201,1201,401,400,0.75,2.0,-0.4960330040063901,-0.4552189719199922,0.7099063290277176,0.738092831614024,0.028186502586306394,-0.4845210035688443,-0.4437216513092568,0.717968659783389,0.7458406992721323,0.027872039488743283
5.4,mid,801,801,241,280,0.75,2.0,-0.07936967732818685,-0.005934799416664208,0.9594948268082601,0.9970281844478298,0.037533357639569664,-0.48605111943626295,-0.4453817005312316,0.7169022810423588,0.7447269966026264,0.027824715560267665
5.627118644067797,coarse,401,401,121,140,0.75,2.0,-4.841336946013311,-4.841238699336354,0.0,0.0,0.0,-0.49331109796193395,-0.45951806985400667,0.7118208356307548,0.7351747616356218,0.023353926004866965
5.627118644067797,fine,1201,1201,401,400,0.75,2.0,-0.6813928866324663,-0.6579399932543442,0.564452932818613,0.5848589631232951,0.020406030304682132,-0.4827869607749684,-0.44819293444814057,0.7191752493134281,0.7428371729739024,0.02366192366047426
5.627118644067797,mid,801,801,241,280,0.75,2.0,-1.345526084329801,-1.3383649292273678,0.0,0.0,0.0,-0.4843261266172929,-0.44985129249966016,0.7181043610664867,0.7417201005098486,0.023615739443361927
5.8,coarse,401,401,121,140,0.75,2.0,-0.09067116807580702,-0.019434534537275425,0.9535873488696214,0.9902350556624041,0.03664770679278273,-0.49224719895225244,-0.4624728367176367,0.7125677518999493,0.7331624399015291,0.02059468800157982
5.8,fine,1201,1201,401,400,0.75,2.0,-0.49266474247623215,-0.46356391109565914,0.7122747065028828,0.7324179741816423,0.020143267678759513,-0.48167949076491934,-0.45115790183671034,0.7199447959636076,0.740838780142677,0.020893984179069403
5.8,mid,801,801,241,280,0.75,2.0,-0.07745280067916055,-0.013047077405665346,0.9604932062856246,0.9934550430665369,0.032961836780912246,-0.48322577776189446,-0.45281549751053435,0.7188701010878846,0.7397192051646798,0.02084910407679519
6.0,coarse,401,401,121,140,0.75,2.0,0.005645672656726713,0.00564783004771629,1.0028188633331179,1.0028199389958878,1.0756627699670673e-06,-0.49121679946132646,-0.46549144849114554,0.7132904040702311,0.7311009174586327,0.01781051338840156
6.0,fine,1201,1201,401,400,0.75,2.0,-0.31019878748924623,-0.27074107678460857,0.830542721665029,0.8539665820249592,0.02342386035993027,-0.48059719551284763,-0.45418416140889173,0.7206960555512653,0.7387935019957257,0.01809744644446043
6.0,mid,801,801,241,280,0.75,2.0,-1.4792673527288123,-1.4757414031863796,0.0,0.0,0.0,-0.48215191205380353,-0.45584143728655996,0.719616625673835,0.7376710396331416,0.018054413959306626
6.169492525423729,coarse,401,401,121,140,0.75,2.0,-0.0008855901466938795,0.005635015044438058,0.9995571068494816,1.0028135494918475,0.0032564426423659087,-0.49049156057561033,-0.46775853179965693,0.7137985986427752,0.7295488113898502,0.015750212747075
6.169492525423729,fine,1201,1201,401,400,0.75,2.0,-0.6427102549244977,-0.6265564038531494,0.5977371872951375,0.611100315943995,0.01336312864885758,-0.4798268214449258,-0.45645413072516766,0.7212303228200228,0.7372556335999286,0.016025310779905877
6.169492525423729,mid,801,801,241,280,0.75,2.0,-0.10148638071677096,-0.04369182696603581,0.9478995829112011,0.9779101047816022,0.030010521870401097,-0.48138880344440416,-0.45811160225298964,0.7201466493399771,0.7361306933873973,0.015984044047420265
6.3,coarse,401,401,121,140,0.75,2.0,-1.840121456063032,-1.838991842429208,0.0,0.0,0.0,-0.4900152432360041,-0.4693444409599071,0.7141321703746414,0.7284610895854994,0.014328919210857993
6.3,fine,1201,1201,401,400,0.75,2.0,-0.35612923308990896,-0.327415478663199,0.8024155824197902,0.8201125052922928,0.017696922872502685,-0.4793150297264618,-0.45803994106089263,0.7215850402229375,0.7361793660101507,0.014594325787213203
6.3,mid,801,801,241,280,0.75,2.0,-0.4561281262831344,-0.43498118861562035,0.7374766936770717,0.7516773319612476,0.014200638284175948,-0.4808826650373874,-0.45969784860904983,0.7204979770704513,0.7350524820657027,0.01455450499525146
6.4406779661016955,coarse,401,401,121,140,0.75,2.0,-4.394603658264226,-4.394573776615519,0.0,0.0,0.0,-0.48957382429077945,-0.4709150286796453,0.7144411632242508,0.7273822731688989,0.012941109944648144
6.4406779661016955,fine,1201,1201,401,400,0.75,2.0,-0.6213162921308314,-0.6077004624907112,0.6153728202229675,0.6263381973896281,0.010965377166660684,-0.47883462728204707,-0.4596080808884656,0.7219178434683222,0.7351135416461422,0.013195698177819959
6.4406779661016955,mid,801,801,241,280,0.75,2.0,-1.1999160887632523,-1.196162251614004,0.0,0.0,0.0,-0.4804084024870862,-0.46126673041152816,0.7208270232954046,0.733984515905119,0.013157492609714438
6.6,coarse,401,401,121,140,0.75,2.0,-0.08690433172392703,-0.03321656767205636,0.9555603948867245,0.983251459357139,0.027691064470414473,-0.4891553415382426,-0.4725378364136264,0.7147339774082084,0.7262659041882482,0.01153192678003978
6.6,fine,1201,1201,401,400,0.75,2.0,-0.4895758702951012,-0.47332485948297065,0.714439731331411,0.7257238734649903,0.011284142133579311,-0.4783709615250853,-0.4612250590634899,0.7222389067856388,0.7340129024319055,0.011773995646266688
6.6,mid,801,801,241,280,0.75,2.0,-0.07437691926386636,-0.024994679228916128,0.9620930728033196,0.9874235771800691,0.025330504376749552,-0.4799517342973987,-0.46288488134981476,0.7211437205596408,0.7328813810230038,0.011737660463362998
6.8,coarse,401,401,121,140,0.75,2.0,0.005653951524188806,0.005656020683974066,1.0028229911226552,1.0028240227896288,1.0316669736276651e-06,-0.48873874988315136,-0.47436842133504453,0.715025349282701,0.725004536996118,0.009979187713416993
6.8,fine,1201,1201,401,400,0.75,2.0,-0.3062302902630488,-0.281586436192902,0.8329283941233792,0.847592805424337,0.014664411300957858,-0.4778958241921302,-0.4630434580603006,0.7225677655471975,0.7327731858765708,0.010205420329373327
6.8,mid,801,801,241,280,0.75,2.0,-1.4820159114668745,-1.4807023096529839,0.0,0.0,0.0,-0.4794854322477182,-0.46470523626210913,0.721466955412569,0.7316384105129329,0.01017145510036388
