g_beta,g_center,g_half_width,worst_score,mean_score,worst_p95,worst_mismatch
0.243,0.049,0.025,5.213513172978601,5.213513172978601,5.213513172978601,0.0
0.243,0.049,0.023,5.221421313797308,5.221421313797308,5.221421313797308,0.0
