peak2,center2_D,sigma2_D,peak3,center3_D,sigma3_D,D60_D6p169_max_abs_delta_mu,D60_D6p441_max_abs_delta_mu,D21_D6p4_max_abs_delta_mu,D60_guard_D5p627_max_abs_delta_mu,D60_guard_D6p712_max_abs_delta_mu,D21_guard_D4p0_max_abs_delta_mu,D21_guard_D8p0_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
0.65,6.63,0.1,0.25,6.31,0.1,23.50214900288698,20.151814510958168,9.612616418367281,10.272608773571754,4.750748419307669,0.9244091557313041,0.32265909973747986,23.50214900288698,10.272608773571754,23.50214900288698
0.55,6.63,0.1,0.25,6.31,0.1,23.50221190180102,21.023164461180365,9.372952789101525,10.272608773571754,7.963844553904771,0.9244091557313041,0.32265909973747986,23.50221190180102,10.272608773571754,23.50221190180102
0.65,6.63,0.08,0.25,6.31,0.1,23.502556796402004,23.82222800506201,8.395013243187655,10.272608773571754,8.296726742196714,0.9244091557313041,0.32265909973747986,23.82222800506201,10.272608773571754,23.82222800506201
0.65,6.63,0.1,0.25,6.24,0.1,20.956244603156847,24.057866653175402,6.229472893759926,10.272608752639222,4.7544399770824874,0.9244091557313041,0.32265909973747986,24.057866653175402,10.272608752639222,24.057866653175402
0.55,6.63,0.08,0.25,6.31,0.1,23.502556957961573,24.156162108340872,8.33967215342961,10.272608773571754,10.44101274346619,0.9244091557313041,0.32265909973747986,24.156162108340872,10.44101274346619,24.156162108340872
0.55,6.63,0.1,0.25,6.24,0.1,20.956305891043996,24.979754945083464,5.973679259298969,10.272608752639222,7.966840022891734,0.9244091557313041,0.32265909973747986,24.979754945083464,10.272608752639222,24.979754945083464
0.65,6.71,0.1,0.25,6.31,0.1,23.502550388690153,25.050643983951908,8.218757800959409,10.272608773571754,7.459493553018103,0.9244091557313041,0.32265909973747986,25.050643983951908,10.272608773571754,25.050643983951908
0.55,6.71,0.1,0.25,6.31,0.1,23.502551536051456,25.199098248352932,8.190411889193165,10.272608773571754,0.05077922028683801,0.9244091557313041,0.32265909973747986,25.199098248352932,10.272608773571754,25.199098248352932
0.65,6.63,0.1,0.25,6.31,0.06,25.473175512122822,24.61247525579669,6.646667394903417,10.272608773798765,4.754621929534839,0.9244091557313041,0.32265909973747986,25.473175512122822,10.272608773798765,25.473175512122822
0.55,6.63,0.1,0.25,6.31,0.06,25.473239658285664,25.54153933492932,6.392862842318998,10.272608773798765,7.966987665963133,0.9244091557313041,0.32265909973747986,25.54153933492932,10.272608773798765,25.54153933492932
0.65,6.63,0.1,0.25,6.24,0.06,22.690524795052724,25.86428937486246,3.9405535599433037,10.272608773798765,4.7546219317923395,0.9244091557313041,0.32265909973747986,25.86428937486246,10.272608773798765,25.86428937486246
0.65,6.71,0.08,0.25,6.31,0.1,23.502557844524702,25.894153730004497,8.04661809453696,10.272608773571754,7.454065447621332,0.9244091557313041,0.32265909973747986,25.894153730004497,10.272608773571754,25.894153730004497
0.55,6.71,0.08,0.25,6.31,0.1,23.502557844834726,25.913664431958146,8.04471260119314,10.272608773571754,0.04734949551141909,0.9244091557313041,0.32265909973747986,25.913664431958146,10.272608773571754,25.913664431958146
0.65,6.63,0.1,0.0,6.24,0.06,25.890191016885623,25.916774686166512,3.6723191170099767,10.272608773798765,4.754621931792823,0.9244091557313041,0.32265909973747986,25.916774686166512,10.272608773798765,25.916774686166512
0.65,6.63,0.1,0.0,6.24,0.1,25.890191016885623,25.916774686166512,3.6723191170099767,10.272608773798765,4.754621931792823,0.9244091557313041,0.32265909973747986,25.916774686166512,10.272608773798765,25.916774686166512
0.65,6.63,0.1,0.0,6.31,0.06,25.890191016885623,25.916774686166512,3.6723191170099767,10.272608773798765,4.754621931792823,0.9244091557313041,0.32265909973747986,25.916774686166512,10.272608773798765,25.916774686166512
0.65,6.63,0.1,0.0,6.31,0.1,25.890191016885623,25.916774686166512,3.6723191170099767,10.272608773798765,4.754621931792823,0.9244091557313041,0.32265909973747986,25.916774686166512,10.272608773798765,25.916774686166512
0.55,6.63,0.1,0.25,6.24,0.06,22.690587180377662,26.809550014453528,3.673856704471845,10.272608773798765,7.966987667794903,0.9244091557313041,0.32265909973747986,26.809550014453528,10.272608773798765,26.809550014453528
0.55,6.63,0.1,0.0,6.24,0.06,25.89025542693234,26.862714405426964,3.40434905720695,10.272608773798765,7.966987667795294,0.9244091557313041,0.32265909973747986,26.862714405426964,10.272608773798765,26.862714405426964
0.55,6.63,0.1,0.0,6.24,0.1,25.89025542693234,26.862714405426964,3.40434905720695,10.272608773798765,7.966987667795294,0.9244091557313041,0.32265909973747986,26.862714405426964,10.272608773798765,26.862714405426964
0.55,6.63,0.1,0.0,6.31,0.06,25.89025542693234,26.862714405426964,3.40434905720695,10.272608773798765,7.966987667795294,0.9244091557313041,0.32265909973747986,26.862714405426964,10.272608773798765,26.862714405426964
0.55,6.63,0.1,0.0,6.31,0.1,25.89025542693234,26.862714405426964,3.40434905720695,10.272608773798765,7.966987667795294,0.9244091557313041,0.32265909973747986,26.862714405426964,10.272608773798765,26.862714405426964
0.65,6.63,0.08,0.25,6.24,0.1,20.95664195187723,27.941164317692788,4.929921758426744,10.272608752639222,8.299650095209161,0.9244091557313041,0.32265909973747986,27.941164317692788,10.272608752639222,27.941164317692788
0.55,6.63,0.08,0.25,6.24,0.1,20.956642109298627,28.294466616043827,4.870856064864526,10.272608752639222,10.44347155592926,0.9244091557313041,0.32265909973747986,28.294466616043827,10.44347155592926,28.294466616043827
0.65,6.63,0.08,0.25,6.31,0.06,25.473591391945575,28.525999703770744,5.357221724534114,10.272608773798765,8.29979418377072,0.9244091557313041,0.32265909973747986,28.525999703770744,10.272608773798765,28.525999703770744
0.55,6.63,0.08,0.25,6.31,0.06,25.473591556708982,28.882052033921845,5.298615332865069,10.272608773798765,10.443592747844615,0.9244091557313041,0.32265909973747986,28.882052033921845,10.443592747844615,28.882052033921845
0.65,6.71,0.1,0.25,6.24,0.1,20.956635708285802,29.240828486196257,4.741803852096062,10.272608752639222,7.4531566946707635,0.9244091557313041,0.32265909973747986,29.240828486196257,10.272608752639222,29.240828486196257
0.55,6.71,0.1,0.25,6.24,0.1,20.95663682625981,29.397893105526684,4.711550184424354,10.272608752639222,0.04604738666952812,0.9244091557313041,0.32265909973747986,29.397893105526684,10.272608752639222,29.397893105526684
0.65,6.71,0.1,0.25,6.31,0.06,25.473584857172767,29.835780188555283,5.170566645528808,10.272608773798765,7.452844358527777,0.9244091557313041,0.32265909973747986,29.835780188555283,10.272608773798765,29.835780188555283
0.65,6.63,0.08,0.25,6.24,0.06,22.69092925880851,29.846039079578098,2.585632032140005,10.272608773798765,8.299794185558442,0.9244091557313041,0.32265909973747986,29.846039079578098,10.272608773798765,29.846039079578098
0.65,6.63,0.08,0.0,6.24,0.06,25.890608607550973,29.901384898511985,2.3109060993111825,10.272608773798765,8.29979418555873,0.9244091557313041,0.32265909973747986,29.901384898511985,10.272608773798765,29.901384898511985
0.65,6.63,0.08,0.0,6.24,0.1,25.890608607550973,29.901384898511985,2.3109060993111825,10.272608773798765,8.29979418555873,0.9244091557313041,0.32265909973747986,29.901384898511985,10.272608773798765,29.901384898511985
0.65,6.63,0.08,0.0,6.31,0.06,25.890608607550973,29.901384898511985,2.3109060993111825,10.272608773798765,8.29979418555873,0.9244091557313041,0.32265909973747986,29.901384898511985,10.272608773798765,29.901384898511985
0.65,6.63,0.08,0.0,6.31,0.1,25.890608607550973,29.901384898511985,2.3109060993111825,10.272608773798765,8.29979418555873,0.9244091557313041,0.32265909973747986,29.901384898511985,10.272608773798765,29.901384898511985
0.55,6.71,0.1,0.25,6.31,0.06,25.473586027285762,29.99406736630055,5.140548233993179,10.272608773798765,0.04581416026931606,0.9244091557313041,0.32265909973747986,29.99406736630055,10.272608773798765,29.99406736630055
0.65,6.71,0.08,0.25,6.24,0.1,20.95664297315443,30.133261840668773,4.5580786816320895,10.272608752639222,7.447729765219378,0.9244091557313041,0.32265909973747986,30.133261840668773,10.272608752639222,30.133261840668773
0.55,6.71,0.08,0.25,6.24,0.1,20.95664297345654,30.153904164333774,4.5560449434745465,10.272608752639222,0.042618404910083285,0.9244091557313041,0.32265909973747986,30.153904164333774,10.272608752639222,30.153904164333774
0.55,6.63,0.08,0.25,6.24,0.06,22.69092941904873,30.208298541423623,2.5240499666550207,10.272608773798765,10.443592749348252,0.9244091557313041,0.32265909973747986,30.208298541423623,10.443592749348252,30.208298541423623
0.55,6.63,0.08,0.0,6.24,0.06,25.89060877299181,30.26390460925125,2.2490287337731942,10.272608773798765,10.443592749348575,0.9244091557313041,0.32265909973747986,30.26390460925125,10.443592749348575,30.26390460925125
0.55,6.63,0.08,0.0,6.24,0.1,25.89060877299181,30.26390460925125,2.2490287337731942,10.272608773798765,10.443592749348575,0.9244091557313041,0.32265909973747986,30.26390460925125,10.443592749348575,30.26390460925125
0.55,6.63,0.08,0.0,6.31,0.06,25.89060877299181,30.26390460925125,2.2490287337731942,10.272608773798765,10.443592749348575,0.9244091557313041,0.32265909973747986,30.26390460925125,10.443592749348575,30.26390460925125
0.55,6.63,0.08,0.0,6.31,0.1,25.89060877299181,30.26390460925125,2.2490287337731942,10.272608773798765,10.443592749348575,0.9244091557313041,0.32265909973747986,30.26390460925125,10.443592749348575,30.26390460925125
0.65,6.71,0.08,0.25,6.31,0.06,25.473592460852302,30.735160059129562,4.988270143951084,10.272608773798765,7.447417487037267,0.9244091557313041,0.32265909973747986,30.735160059129562,10.272608773798765,30.735160059129562
0.55,6.71,0.08,0.25,6.31,0.06,25.473592461168295,30.75596305835989,4.9862522203845785,10.272608773798765,0.04238521513214977,0.9244091557313041,0.32265909973747986,30.75596305835989,10.272608773798765,30.75596305835989
0.65,6.71,0.1,0.25,6.24,0.06,22.6909229034176,31.178653230291552,2.3894997516110124,10.272608773798765,7.452844354652633,0.9244091557313041,0.32265909973747986,31.178653230291552,10.272608773798765,31.178653230291552
0.65,6.71,0.1,0.0,6.24,0.06,25.890602045895236,31.23495640547062,2.113833319752665,10.272608773798765,7.452844354651802,0.9244091557313041,0.32265909973747986,31.23495640547062,10.272608773798765,31.23495640547062
0.65,6.71,0.1,0.0,6.24,0.1,25.890602045895236,31.23495640547062,2.113833319752665,10.272608773798765,7.452844354651802,0.9244091557313041,0.32265909973747986,31.23495640547062,10.272608773798765,31.23495640547062
0.65,6.71,0.1,0.0,6.31,0.06,25.890602045895236,31.23495640547062,2.113833319752665,10.272608773798765,7.452844354651802,0.9244091557313041,0.32265909973747986,31.23495640547062,10.272608773798765,31.23495640547062
0.65,6.71,0.1,0.0,6.31,0.1,25.890602045895236,31.23495640547062,2.113833319752665,10.272608773798765,7.452844354651802,0.9244091557313041,0.32265909973747986,31.23495640547062,10.272608773798765,31.23495640547062
0.55,6.71,0.1,0.25,6.24,0.06,22.690924041410312,31.33969986015834,2.3579571892379434,10.272608773798765,0.04581415737564143,0.9244091557313041,0.32265909973747986,31.33969986015834,10.272608773798765,31.33969986015834
0.55,6.71,0.1,0.0,6.24,0.06,25.89060322082166,31.396118731990306,2.082139503597112,10.272608773798765,0.0458141573750126,0.9244091557313041,0.32265909973747986,31.396118731990306,10.272608773798765,31.396118731990306
