probe_id,label,g_center,g_hw_left,g_hw_right,g_lorentz_beta,g_amp,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu,mismatch,delta_p95_vs_v10,delta_max_vs_v10
P4,strong left-heavy,0.048897,0.027,0.0235,0.243,0.2468174085,6.205798960341745,6.2059719780741744,0.0,1.010677367948574,1.0106814181711385
P2,mild left-heavy,0.048897,0.0265,0.024,0.243,0.2468174085,6.217734795375222,6.217907857155417,0.0,1.0226132029820505,1.0226172972523813
P6,balanced narrow,0.048887,0.0247,0.0247,0.243,0.2468174085,6.231721257782915,6.231894373495642,0.0,1.036599665389744,1.0366038135926061
P0,symmetric baseline,0.048897,0.02526,0.02526,0.243,0.2468174085,6.2471304307912305,6.247303600512524,0.0,1.0520088383980593,1.0520130406094879
P5,balanced wide,0.048907,0.0258,0.0258,0.243,0.2468174085,6.26159573361123,6.261768953951801,0.0,1.066474141218059,1.0664783940487652
P1,mild right-heavy,0.048897,0.024,0.0265,0.243,0.2468174085,6.275213331694971,6.275386603760069,0.0,1.0800917393017997,1.0800960438570328
P3,strong right-heavy,0.048897,0.0235,0.027,0.243,0.2468174085,6.286301642590914,6.286474954869398,0.0,1.0911800501977424,1.091184394966362
