mode,layer,D,eta,g_eff,gamma,p_kin,B,W,amp,mu,chi2,log_g_eff_ratio,log_gamma_ratio,log_p_kin_ratio,log_B_ratio,log_W_ratio,log_amp_ratio,delta_mu,delta_log_mu,acceptance_mismatch
cell_direct_runtime,1,4.0,0.2,49.080091101131785,0.00182336782802981,0.06507463132409956,1.9331165831267465,0.17283902796066752,0.00016328794601711685,0.46191543390077705,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,1,4.0,0.2,49.080091101131785,0.00182336782802981,0.06507463132409956,0.36633155054415156,0.0327535285041957,0.00016326582892060252,0.4558902340047945,,0.0,0.0,0.0,-1.663349990258345,-1.663349990258345,-0.00013545760757084974,-0.006025199895982547,-0.01312976518628286,0.0
release_sumanchor,1,4.0,0.2,49.080091101131785,0.00182336782802981,0.06507463132409956,0.8139680110090749,0.07277649006886733,0.00016328794601215666,0.23154478075590787,,0.0,0.0,0.0,-0.864967722689857,-0.8649677226898571,-3.037703422183521e-11,-0.23037065314486918,-0.6906085386122005,0.0
release_eftsumanchor,1,4.0,0.2,49.080091101131785,0.00182336782802981,0.06507463132409956,1.849592558419523,0.16537118490983133,0.00016328794601215666,0.23154478075590787,,0.0,0.0,0.0,-0.04416813428142194,-0.04416813428142194,-3.037703422183521e-11,-0.23037065314486918,-0.6906085386122005,0.0
release_fullsumanchor,1,4.0,0.2,49.080091101131785,0.00182336782802981,0.06507463132409956,1.9331165831019377,0.17283902795844938,0.00016328794601215666,0.23154478075590787,,0.0,0.0,0.0,-1.2833623053236848e-11,-1.2833623053236848e-11,-3.037703422183521e-11,-0.23037065314486918,-0.6906085386122005,0.0
release_fullwidthrefamp,1,4.0,0.2,49.080091101131785,0.00182336782802981,0.06507463132409956,1.9331165831019377,0.17283902795844938,0.00016328794601215666,0.42778004705328737,,0.0,0.0,0.0,-1.2833623053236848e-11,-1.2833623053236848e-11,-3.037703422183521e-11,-0.03413538684748968,-0.0767726760909877,0.0
tailm2_detlin,1,4.0,0.2,49.080091101131785,0.00182336782802981,0.06507463132409956,1.9331165830777577,0.17283902795628744,0.00016325801596352876,0.41324845058070275,,0.0,0.0,0.0,-2.5341839738112465e-11,-2.534195076041493e-11,-0.00018331296146100463,-0.0486669833200743,-0.11133284347930715,0.0
cell_direct_runtime,2,4.0,0.2,49.20070244586661,0.016436598974928104,0.5837769412588872,1.9537573358119125,1.5670743814987056,0.0014804778760338683,2.408283091800889,6.353967457572252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,2,4.0,0.2,49.20070244586661,0.016436598974928104,0.5837769412588872,0.7673417358612442,0.615471304486846,0.001473744596601158,2.384418287829314,6.056746033829987,0.0,0.0,0.0,-0.9345773856120406,-0.9345773856120405,-0.004558418436263004,-0.0238648039715752,-0.009958893460129674,0.0
release_sumanchor,2,4.0,0.2,49.20070244586661,0.016436598974928104,0.5837769412588872,0.8226591125111486,0.6598403989546378,0.0014804778760172169,0.9249524896501363,1.4104383568100232,0.0,0.0,0.0,-0.8649677226707274,-0.8649677226707274,-1.1247336395633325e-11,-1.4833306021507529,-0.9569269889060238,1.0
