mode,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch
fullwidthrefamp_partial2_pointamp2_widthboost,5.627118644067797,0.7462097762608124,0.7465120734830606,0.0
fullwidthrefamp_partial2_pointamp2_widthboost,5.898305084745763,26.90093337779782,26.90233993566582,0.0
fullwidthrefamp_partial2_pointamp2_widthboost,6.169491525423728,14.878580925632363,14.880557201905717,0.0
fullwidthrefamp_partial2_pointamp2_widthboost,6.4406779661016955,4.945901113623748,4.945935673403689,0.0
fullwidthrefamp_partial2_pointamp2_widthboost,6.711864406779661,2.6031943874718877,2.6032105963583376,0.0
fullwidthrefamp_pointamp2_widthboost,5.627118644067797,0.7462097772046619,0.7465120744269242,0.0
fullwidthrefamp_pointamp2_widthboost,5.898305084745763,30.5441365739224,30.545371906720547,0.0
fullwidthrefamp_pointamp2_widthboost,6.169491525423728,14.878580923982113,14.880557200255495,0.0
fullwidthrefamp_pointamp2_widthboost,6.4406779661016955,4.945901113623762,4.945935673403682,0.0
fullwidthrefamp_pointamp2_widthboost,6.711864406779661,2.603194387471895,2.6032105963583376,0.0
