combo_id,mode,omega,m,phase,center_D,width_D,eta_couple,region,D,slice_p95_abs_delta_base,slice_p95_abs_delta_cf,slice_mean_abs_improvement,slice_improved_fraction,slice_worsened_fraction
1,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.05,0.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543925048,2.054699149447342e-08,1.0,0.0
1,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.05,0.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271912661427102,3.2413228351082408e-06,1.0,0.0
1,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.05,0.0,D60_hotspot,6.169491525423728,25.887561191706766,24.643071650672525,1.2440976481033508,1.0,0.0
1,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.05,0.0,D60_hotspot,6.4406779661016955,31.28630580743782,5.58638703161111,25.699295441948532,1.0,0.0
1,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.05,0.0,D60_hotspot,6.711864406779661,7.462467784829663,9.216767202295191,-1.7545500143297517,0.0,1.0
1,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.05,0.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0,1.0
1,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.05,0.0,D21_guard,6.4,2.1022273869561374,13.198499727419033,-11.096091210271748,0.0,1.0
1,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.05,0.0,D21_guard,8.0,0.3226590996076344,1.587619890661152,-1.264960776776185,0.0,1.0
2,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.05,0.15,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543927442,2.0545568378879795e-08,1.0,0.0
2,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.05,0.15,D60_hotspot,5.627118644067797,10.271915904250342,10.271895822707087,1.1476422952701645e-05,1.0,0.0
