D,slice_max_abs_delta_mu_mumu,slice_p95_abs_delta_mu_mumu,slice_acceptance_mismatch,slice_p95_abs_width_component,slice_p95_abs_uv_component,slice_p95_abs_fin_component,slice_p95_abs_rge_component,slice_p95_abs_uv_g_only,slice_p95_abs_uv_p_only,slice_p95_abs_uv_m2_only,slice_dominant_fraction_width,slice_dominant_fraction_uv,slice_dominant_fraction_finite,slice_dominant_fraction_rge
4.0,0.1306880131021022,0.13017597570670691,0.1951219512195122,0.23154627786954052,0.038882843009947266,0.0,0.00015323353430481135,0.21047043825314304,0.0,0.17158759524319755,1.0,0.0,0.0,0.0
4.8,68.38641028538888,68.36333126796603,0.0,1.8587139330072513,0.1025439041147429,0.0,0.0031171918948010345,0.10125127898075625,0.0,0.0012926251339866468,1.0,0.0,0.0,0.0
6.4,9.985699364051307,9.98543006315829,0.0,0.33872913159017437,0.4654560679850608,0.0,0.002789621809124874,0.30518435089756757,0.0,0.16027171708749322,0.0,1.0,0.0,0.0
7.2,1.0228385687692088,1.0228385226210008,0.0,0.32020193935689034,0.039816933046093794,0.0,0.0008562079516025549,0.2015883167172987,0.0,0.24140524976338895,1.0,0.0,0.0,0.0
