term,coef
const,54.95347428030339
g_beta,-173.2451672654745
g_center,-1004.777895523506
g_half_width,-346.3249470687131
g_beta2,410.0064007117753
g_center2,10251.189268613763
g_half_width2,3194.8523218012892
g_beta:g_center,-460.4876286365061
g_beta:g_half_width,-198.7151172188461
g_center:g_half_width,5004.849079083504
