alpha,taper,boost_peak,boost_center_D,boost_sigma_D,D60_D4p814_max_abs_delta_mu,D60_D5p627_max_abs_delta_mu,D60_D6p712_max_abs_delta_mu,D60_guard_D6p169_max_abs_delta_mu,D60_guard_D6p441_max_abs_delta_mu,D21_guard_D4p0_max_abs_delta_mu,D21_guard_D6p4_max_abs_delta_mu,D21_guard_D8p0_max_abs_delta_mu,hotspot_objective,guard60_objective,guard21_objective,joint_objective
0.76,0.0175,0.0,5.9,0.1,8.888183411152404,5.317083842318489,7.241780536573703,10.276066985588301,17.98852025713368,1.0310140197683886,14.097878914354865,0.32197042897099504,8.888183411152404,17.98852025713368,14.097878914354865,17.98852025713368
0.76,0.0175,0.0,5.9,0.15,8.888183411152404,5.317083842318489,7.241780536573703,10.276066985588301,17.98852025713368,1.0310140197683886,14.097878914354865,0.32197042897099504,8.888183411152404,17.98852025713368,14.097878914354865,17.98852025713368
0.76,0.0175,0.0,5.9,0.2,8.888183411152404,5.317083842318489,7.241780536573703,10.276066985588301,17.98852025713368,1.0310140197683886,14.097878914354865,0.32197042897099504,8.888183411152404,17.98852025713368,14.097878914354865,17.98852025713368
0.76,0.0175,0.15,5.9,0.1,8.888183411152404,5.100018682758957,7.24178053657371,9.81953747880037,17.98852980095476,1.0310140197683886,14.097815871066622,0.32197042897099504,8.888183411152404,17.98852980095476,14.097815871066622,17.98852980095476
0.76,0.0175,0.3,5.9,0.1,8.888183411152404,4.8818565766813435,7.24178053657371,9.359831357620493,17.988539344777244,1.0310140197683886,14.09775282769153,0.32197042897099504,8.888183411152404,17.988539344777244,14.09775282769153,17.988539344777244
0.76,0.0175,0.15,5.9,0.15,8.888183411153086,3.569243515470035,7.241780742717356,6.764755449085158,18.020616420115196,1.0310140197683886,14.032432977617951,0.32197042897099504,8.888183411153086,18.020616420115196,14.032432977617951,18.020616420115196
0.76,0.0175,0.3,5.9,0.15,8.888183411153744,1.7514900684158832,7.24178094886101,3.0655271503457016,18.052728387425923,1.0310140197683886,13.96689348576804,0.32197042897099504,8.888183411153744,18.052728387425923,13.96689348576804,18.052728387425923
0.76,0.015,0.0,5.9,0.1,8.88801917393479,5.465512903811309,7.246533755728038,10.09295773443418,18.340334670574514,1.031014142710836,13.815061396993357,0.3219704297848516,8.88801917393479,18.340334670574514,13.815061396993357,18.340334670574514
0.76,0.015,0.0,5.9,0.15,8.88801917393479,5.465512903811309,7.246533755728038,10.09295773443418,18.340334670574514,1.031014142710836,13.815061396993357,0.3219704297848516,8.88801917393479,18.340334670574514,13.815061396993357,18.340334670574514
0.76,0.015,0.0,5.9,0.2,8.88801917393479,5.465512903811309,7.246533755728038,10.09295773443418,18.340334670574514,1.031014142710836,13.815061396993357,0.3219704297848516,8.88801917393479,18.340334670574514,13.815061396993357,18.340334670574514
0.76,0.015,0.15,5.9,0.1,8.88801917393479,5.249197835802697,7.246533755728041,9.635154120553793,18.340344265907298,1.031014142710836,13.814997964259014,0.3219704297848516,8.88801917393479,18.340344265907298,13.814997964259014,18.340344265907298
0.76,0.015,0.3,5.9,0.1,8.88801917393479,5.031789611890389,7.246533755728041,9.174165026815245,18.340353861241447,1.031014142710836,13.814934531437366,0.3219704297848516,8.88801917393479,18.340353861241447,13.814934531437366,18.340353861241447
0.76,0.015,0.15,5.9,0.15,8.888019173935447,3.7237124235425156,7.246533961905438,6.5718466409123835,18.372604068930023,1.031014142710836,13.74921117198253,0.3219704297848516,8.888019173935447,18.372604068930023,13.74921117198253,18.372604068930023
0.76,0.015,0.3,5.9,0.15,8.88801917393613,1.91207633701908,7.246534168082839,2.862294336950953,18.40488935691679,1.031014142710836,13.683266813927702,0.3219704297848516,8.88801917393613,18.40488935691679,13.683266813927702,18.40488935691679
0.76,0.0175,0.15,5.9,0.2,8.88818347526431,1.6353500206453049,7.241905618423445,2.966600260098744,18.54123292956411,1.0310140197683886,13.348537950572556,0.32197042897099504,8.88818347526431,18.54123292956411,13.348537950572556,18.54123292956411
0.76,0.0125,0.0,5.9,0.1,8.887854938057611,5.613429053028547,7.251287753071416,9.909337452137251,18.69404796213103,1.0310142656532766,13.530496791705133,0.32197043059870767,8.887854938057611,18.69404796213103,13.530496791705133,18.69404796213103
0.76,0.0125,0.0,5.9,0.15,8.887854938057611,5.613429053028547,7.251287753071416,9.909337452137251,18.69404796213103,1.0310142656532766,13.530496791705133,0.32197043059870767,8.887854938057611,18.69404796213103,13.530496791705133,18.69404796213103
0.76,0.0125,0.0,5.9,0.2,8.887854938057611,5.613429053028547,7.251287753071416,9.909337452137251,18.69404796213103,1.0310142656532766,13.530496791705133,0.32197043059870767,8.887854938057611,18.69404796213103,13.530496791705133,18.69404796213103
0.76,0.0125,0.15,5.9,0.1,8.887854938057611,5.397861484550404,7.251287753071416,9.450256175317833,18.694057609253527,1.0310142656532766,13.53043296711897,0.32197043059870767,8.887854938057611,18.694057609253527,13.53043296711897,18.694057609253527
0.76,0.0125,0.3,5.9,0.1,8.887854938057611,5.181204537684067,7.251287753071416,8.987980528431791,18.694067256377416,1.0310142656532766,13.530369142444926,0.32197043059870767,8.887854938057611,18.694067256377416,13.530369142444926,18.694067256377416
0.76,0.0125,0.15,5.9,0.15,8.887854938058275,3.877647548012604,7.251287959282564,6.378399452466127,18.72649153087867,1.0310142656532766,13.464239780954301,0.32197043059870767,8.887854938058275,18.72649153087867,13.464239780954301,18.72649153087867
0.76,0.0125,0.3,5.9,0.15,8.88785493805895,2.0721076961961487,7.2512881654937225,2.658494330493909,18.75895107502003,1.0310142656532766,13.397888055658349,0.32197043059870767,8.88785493805895,18.75895107502003,13.397888055658349,18.75895107502003
0.76,0.015,0.15,5.9,0.2,8.88801923804617,1.796337613769147,7.246658858055962,2.7630913562199737,18.896030546528912,1.031014142710836,13.061091425209675,0.3219704297848516,8.88801923804617,18.896030546528912,13.061091425209675,18.896030546528912
0.76,0.0175,0.3,5.9,0.2,8.888183539376218,2.3648551624023924,7.242030700812066,5.197841457849293,19.098632318425537,1.0310140197683886,12.58693216900437,0.32197042897099504,8.888183539376218,19.098632318425537,12.58693216900437,19.098632318425537
0.76,0.0125,0.15,5.9,0.2,8.887855002168472,1.9567689106809993,7.251412875880881,2.559014488750776,19.25274314310969,1.0310142656532766,12.771869216506104,0.32197043059870767,8.887855002168472,19.25274314310969,12.771869216506104,19.25274314310969
0.77,0.0175,0.0,5.9,0.1,8.899116104404488,4.71535823538639,7.27336774106146,9.12071665537077,19.421649136449894,1.014946767649521,12.956083080562955,0.3220763933622508,8.899116104404488,19.421649136449894,12.956083080562955,19.421649136449894
0.77,0.0175,0.0,5.9,0.15,8.899116104404488,4.71535823538639,7.27336774106146,9.12071665537077,19.421649136449894,1.014946767649521,12.956083080562955,0.3220763933622508,8.899116104404488,19.421649136449894,12.956083080562955,19.421649136449894
0.77,0.0175,0.0,5.9,0.2,8.899116104404488,4.71535823538639,7.27336774106146,9.12071665537077,19.421649136449894,1.014946767649521,12.956083080562955,0.3220763933622508,8.899116104404488,19.421649136449894,12.956083080562955,19.421649136449894
0.77,0.0175,0.15,5.9,0.1,8.899116104404488,4.495252234032144,7.273367741061463,8.656148013253926,19.421658890105725,1.014946767649521,12.95601846499624,0.3220763933622508,8.899116104404488,19.421658890105725,12.95601846499624,19.421658890105725
0.77,0.0175,0.3,5.9,0.1,8.899116104404488,4.274033919157482,7.273367741061463,8.188346818996095,19.421668643762963,1.014946767649521,12.955953849340553,0.3220763933622508,8.899116104404488,19.421668643762963,12.955953849340553,19.421668643762963
0.77,0.0175,0.15,5.9,0.15,8.89911610440517,2.9430326068565336,7.273367947429389,5.547573609175004,19.454450980062724,1.014946767649521,12.88900494412674,0.3220763933622508,8.89911610440517,19.454450980062724,12.88900494412674,19.454450980062724
0.76,0.015,0.3,5.9,0.2,8.888019302157549,2.1898803505282274,7.2467839609228655,5.424235150943517,19.456438434930895,1.031014142710836,12.29478087047793,0.3219704297848516,8.888019302157549,19.456438434930895,12.29478087047793,19.456438434930895
0.77,0.0175,0.3,5.9,0.15,8.899116104405827,1.1004797562256883,7.273368153797321,1.7832047303328835,19.487268975485783,1.014946767649521,12.821830919344407,0.3220763933622508,8.899116104405827,19.487268975485783,12.821830919344407,19.487268975485783
0.77,0.015,0.0,5.9,0.1,8.898951777958253,4.865866623172941,7.27812613161975,8.934382990398689,19.78119869933871,1.014946891509727,12.666212189228837,0.3220763941760638,8.898951777958253,19.78119869933871,12.666212189228837,19.78119869933871
0.77,0.015,0.0,5.9,0.15,8.898951777958253,4.865866623172941,7.27812613161975,8.934382990398689,19.78119869933871,1.014946891509727,12.666212189228837,0.3220763941760638,8.898951777958253,19.78119869933871,12.666212189228837,19.78119869933871
0.77,0.015,0.0,5.9,0.2,8.898951777958253,4.865866623172941,7.27812613161975,8.934382990398689,19.78119869933871,1.014946891509727,12.666212189228837,0.3220763941760638,8.898951777958253,19.78119869933871,12.666212189228837,19.78119869933871
0.77,0.015,0.15,5.9,0.1,8.898951777958253,4.646521221319155,7.27812613161975,8.468517805138305,19.78120850563878,1.014946891509727,12.666147174503415,0.3220763941760638,8.898951777958253,19.78120850563878,12.666147174503415,19.78120850563878
0.77,0.015,0.3,5.9,0.1,8.898951777958253,4.426067349661615,7.278126131619757,7.999411046156567,19.781218311940258,1.014946891509727,12.666082159688457,0.3220763941760638,8.898951777958253,19.781218311940258,12.666082159688457,19.781218311940258
0.77,0.015,0.15,5.9,0.15,8.898951777958914,3.0996654527650307,7.278126338021462,5.3512678244826475,19.814177587156102,1.014946891509727,12.598719681704836,0.3220763941760638,8.898951777958914,19.814177587156102,12.598719681704836,19.814177587156102
0.76,0.0125,0.3,5.9,0.2,8.887855066279329,2.0155101825696704,7.251537999229409,5.651260871017982,19.816175769084957,1.0310142656532766,12.000824825162162,0.32197043059870767,8.887855066279329,19.816175769084957,12.000824825162162,19.816175769084957
0.77,0.015,0.3,5.9,0.15,8.898951777959578,1.2633156054556878,7.278126544423181,1.5763931425854025,19.847172713961307,1.014946891509727,12.531130693490312,0.3220763941760638,8.898951777959578,19.847172713961307,12.531130693490312,19.847172713961307
0.77,0.0175,0.15,5.9,0.2,8.899116168551227,0.9827127548946635,7.273492958997657,1.6825358132365693,19.986513997533514,1.014946767649521,12.188053804614377,0.3220763933622508,8.899116168551227,19.986513997533514,12.188053804614377,19.986513997533514
0.77,0.0125,0.0,5.9,0.1,8.898787452853156,5.015854913352669,7.282885301213732,8.7475292954163,20.142688889928912,1.0149470153699265,12.374550638181432,0.32207639498987684,8.898787452853156,20.142688889928912,12.374550638181432,20.142688889928912
0.77,0.0125,0.0,5.9,0.15,8.898787452853156,5.015854913352669,7.282885301213732,8.7475292954163,20.142688889928912,1.0149470153699265,12.374550638181432,0.32207639498987684,8.898787452853156,20.142688889928912,12.374550638181432,20.142688889928912
0.77,0.0125,0.0,5.9,0.2,8.898787452853156,5.015854913352669,7.282885301213732,8.7475292954163,20.142688889928912,1.0149470153699265,12.374550638181432,0.32207639498987684,8.898787452853156,20.142688889928912,12.374550638181432,20.142688889928912
0.77,0.0125,0.15,5.9,0.1,8.898787452853156,4.797267482667522,7.282885301213735,8.280363948550047,20.142698749157354,1.0149470153699265,12.374485221831513,0.32207639498987684,8.898787452853156,20.142698749157354,12.374485221831513,20.142698749157354
0.77,0.0125,0.3,5.9,0.1,8.898787452853156,4.577575412612937,7.282885301213735,7.80994798120426,20.14270860838723,1.0149470153699265,12.374419805391511,0.32207639498987684,8.898787452853156,20.14270860838723,12.374419805391511,20.14270860838723
0.77,0.0125,0.15,5.9,0.15,8.898787452853835,3.255757037355714,7.282885507649237,5.154414179052154,20.175845777526753,1.0149470153699265,12.306641199817584,0.32207639498987684,8.898787452853835,20.175845777526753,12.306641199817584,20.175845777526753
0.77,0.0125,0.3,5.9,0.15,8.898787452854496,1.4255887717835876,7.282885714084745,1.3690043739398021,20.20901899176051,1.0149470153699265,12.238634684759667,0.32207639498987684,8.898787452854496,20.20901899176051,12.238634684759667,20.20901899176051
0.77,0.015,0.15,5.9,0.2,8.898951842104466,1.1459555506195684,7.278251370056413,1.4754432732628402,20.34911235399658,1.014946891509727,11.893438459372788,0.3220763941760638,8.898951842104466,20.34911235399658,11.893438459372788,20.34911235399658
0.77,0.0175,0.3,5.9,0.2,8.899116232697963,3.07419620258613,7.2736181774733275,6.626303540252849,20.556168619297033,1.014946767649521,11.40745383044029,0.3220763933622508,8.899116232697963,20.556168619297033,11.40745383044029,20.556168619297033
0.77,0.0125,0.15,5.9,0.2,8.898787516998844,1.308634257229663,7.283010560154217,1.2677727682944493,20.71366779367616,1.0149470153699265,11.597003145843907,0.32207639498987684,8.898787516998844,20.71366779367616,11.597003145843907,20.71366779367616
