D,eta,mu_ee_full,mu_mumu_full,mu_tautau_full,chi2_mumu_full,mu_ee_rt,mu_mumu_rt,mu_tautau_rt,chi2_mumu_rt,surface,abs_delta_mu_mumu,rel_delta_mu_mumu,acceptance_full,acceptance_rt,acceptance_flip,boundary_proximity,grad_log_mu_rt,curv_log_mu_rt,risk_score,high_anchor_candidate,scenario_label,point_kind,B1_full,B2_full,B3_full,B1_cmp,B2_cmp,B3_cmp,yraw1_full,yraw2_full,yraw3_full,yraw1_cmp,yraw2_cmp,yraw3_cmp,m2_1_full,m2_2_full,m2_3_full,m2_1_cmp,m2_2_cmp,m2_3_cmp,width_ratio_full,width_ratio_cmp
5.6,0.2,13.310527686370456,57.971396100373646,14.70319397938534,20002.017854658567,13.901468044229643,58.334949649587166,14.68758642483726,20259.928072506413,D21E41,0.36355354921352045,0.006271257441929663,False,False,0,0.0,0.8944381313997015,2.148259878716649,0.8888990030637048,True,,,,,,,,,,,,,,,,,,,,,,
5.6,0.295,13.311577963116358,57.97289469902871,14.70316015085796,20003.077591421184,13.90256451814005,58.33645583610865,14.687552176451462,20261.000019857187,D21E41,0.363561137079941,0.006271226216448222,False,False,0,0.0,0.8941788195147703,2.1462021145670835,0.8886933425131466,True,,,,,,,,,,,,,,,,,,,,,,
5.6,0.39,13.312628296976436,57.97439328206518,14.703126322023037,20004.137345211137,13.903661051627564,58.337962006800446,14.68751792775562,20262.07198429907,D21E41,0.36356872473526636,0.006271194990629408,False,False,0,0.0,0.8939195927254705,2.144147908587259,0.8884880080994216,True,,,,,,,,,,,,,,,,,,,,,,
5.6,0.485,13.3136786879205,57.97589184950139,14.703092492880849,20005.197116040483,13.904757644660664,58.339468161681054,14.687483678750016,20263.143965844316,D21E41,0.3635763121796671,0.006271163764474182,False,False,0,0.0,0.8936604510446159,2.1420973283216482,0.8882830057999277,True,,,,,,,,,,,,,,,,,,,,,,
5.6,0.5800000000000001,13.31472913592588,57.977390401291416,14.703058663432303,20006.25690387589,13.905854297215637,58.34097430070425,14.687449429435572,20264.215964459137,D21E41,0.36358389941283065,0.006271132537982117,False,False,0,0.0,0.8934013944784069,2.1400504405045404,0.888078341518715,True,,,,,,,,,,,,,,,,,,,,,,
5.6,0.675,13.315779641015189,57.978888937425296,14.703024833677247,20007.31670870941,13.906951009316115,58.34248042386006,14.687415179812136,20265.287980135538,D21E41,0.363591486434764,0.006271101311154416,False,False,0,0.0,0.8931424230385006,2.138007311168228,0.8878740210989875,True,,,,,,,,,,,,,,,,,,,,,,
5.6,0.77,13.316830203175442,57.98038745793673,14.702991003615434,20008.376530564023,13.908047780948538,58.3439865311823,14.687380929879447,20266.360012896697,D21E41,0.36359907324557383,0.006271070083989272,False,False,0,0.0,0.8928835367373966,2.1359680056557764,0.8876700503232495,True,,,,,,,,,,,,,,,,,,,,,,
5.6,0.865,13.317880822425304,57.981885962803645,14.702957173246896,20009.436369423223,13.909144612132392,58.345492622648905,14.687346679637546,20267.43206272601,D21E41,0.3636066598452601,0.006271038856489075,False,False,0,0.0,0.8926247355828263,2.133932588493778,0.8874664349009512,True,,,,,,,,,,,,,,,,,,,,,,
5.6,0.96,13.318931498756063,57.983384452015066,14.70292334257192,20010.496225278373,13.910241502858568,58.34699869824866,14.687312429086724,20268.50412961459,D21E41,0.3636142462335954,0.006271007628651088,False,False,0,0.0,0.8923660195900182,2.1319011234577485,0.8872631804757689,True,,,,,,,,,,,,,,,,,,,,,,
5.6,1.055,13.31998223216594,57.984882925584216,14.702889511590376,20011.55609813795,13.9113384531252,58.348504757995045,14.687278178226846,20269.576213571152,D21E41,0.36362183241082846,0.006270976400478174,False,False,0,0.0,0.8921073887673058,2.129873673598501,0.887060292627074,True,,,,,,,,,,,,,,,,,,,,,,
