mode,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch
base_mode,5.627118644067797,10.271915904250342,10.272608773798765,0.0
base_mode,5.898305084745763,1.3699978524761036,1.3721439395038004,0.0
base_mode,6.169491525423728,25.887561191706766,25.89060277919198,0.0
base_mode,6.4406779661016955,31.28630580743782,31.28639526077564,0.0
base_mode,6.711864406779661,7.462467784829659,7.462495924022775,0.0
refamp2_mode,5.627118644067797,10.13343230004832,10.134118047485487,0.0
refamp2_mode,5.898305084745763,13.529110728604508,13.530685355617592,0.0
refamp2_mode,6.169491525423728,15.905245276909724,15.90793748665655,0.0
refamp2_mode,6.4406779661016955,30.774150013291198,30.774238086396657,0.0
refamp2_mode,6.711864406779661,7.46053561250833,7.460563748475845,0.0
