combo_id,mode,omega,m,phase,center_D,width_D,eta_couple,D60_p95_base,D60_p95_cf,D21_p95_base,D21_p95_cf,D60_mean_abs_improvement,D21_mean_abs_improvement,D60_improved_fraction,D21_improved_fraction,D21_acceptance_flip_fraction,beats_mainline_both,joint_objective
1681,pointamp_notch,1.3,14.0,0.5853981633974483,5.9,0.05,0.0,31.28593012120719,26.444262168265613,2.102217055050133,2.2064434446439045,0.414702666636716,-0.3988329341573538,0.8,0.0,0.0,0.0,27.278073285015786
817,partial_notch,1.3,14.0,0.5853981633974483,5.9,0.05,0.0,31.28593012120719,26.44426216826562,2.102217055050133,2.2064434446439116,0.41470266663671546,-0.39883293415735327,0.8,0.0,0.0,0.0,27.27807328501585
1683,pointamp_notch,1.3,14.0,0.5853981633974483,5.9,0.07,0.0,31.28593012120719,26.483002229979437,2.102217055050133,2.215754952816506,1.002886609171538,-0.40193682868508285,0.8,0.0,0.0,0.0,27.391305412110423
819,partial_notch,1.3,14.0,0.5853981633974483,5.9,0.07,0.0,31.28593012120719,26.48300222997944,2.102217055050133,2.215754952816531,1.002886609171534,-0.4019368286850853,0.8,0.0,0.0,0.0,27.391305412110626
1685,pointamp_notch,1.3,14.0,0.5853981633974483,5.9,0.1,0.0,31.28593012120719,26.512080171529036,2.102217055050133,2.2230398553239707,2.322270908382349,-0.40436503160478626,0.8,0.0,0.0,0.0,27.47866257371974
821,partial_notch,1.3,14.0,0.5853981633974483,5.9,0.1,0.0,31.28593012120719,26.512080171529032,2.102217055050133,2.2230398553239716,2.3222709083823476,-0.404365031604786,0.8,0.0,0.0,0.0,27.478662573719742
1465,pointamp_notch,1.2,14.0,0.5853981633974483,5.9,0.05,0.0,31.28593012120719,26.805850739796597,2.102217055050133,2.2011088303898987,0.5001225870234205,-0.37808786537326006,0.8,0.0,0.0,0.0,27.596984942514723
601,partial_notch,1.2,14.0,0.5853981633974483,5.9,0.05,0.0,31.28593012120719,26.805850739796597,2.102217055050133,2.201108830389918,0.5001225870234219,-0.37808786537326083,0.8,0.0,0.0,0.0,27.596984942514876
1467,pointamp_notch,1.2,14.0,0.5853981633974483,5.9,0.07,0.0,31.28593012120719,26.841785665509136,2.102217055050133,2.20970491715116,1.0472181441791595,-0.3809532815868725,0.8,0.0,0.0,0.0,27.70168856231735
603,partial_notch,1.2,14.0,0.5853981633974483,5.9,0.07,0.0,31.28593012120719,26.841785665509153,2.102217055050133,2.20970491715116,1.047218144179159,-0.3809532815868735,0.8,0.0,0.0,0.0,27.70168856231737
1469,pointamp_notch,1.2,14.0,0.5853981633974483,5.9,0.1,0.0,31.28593012120719,26.868757142290505,2.102217055050133,2.216430180778134,2.27874285784156,-0.383194937442096,0.8,0.0,0.0,0.0,27.782462148114515
605,partial_notch,1.2,14.0,0.5853981633974483,5.9,0.1,0.0,31.28593012120719,26.868757142290516,2.102217055050133,2.216430180778134,2.278742857841559,-0.3831949374420975,0.8,0.0,0.0,0.0,27.782462148114526
385,partial_notch,1.1,14.0,0.5853981633974483,5.9,0.05,0.0,31.28593012120719,27.169214851374573,2.102217055050133,2.195773722681306,0.5991357345858889,-0.3561565981896953,0.8,0.0,0.0,0.0,27.917668192423957
1249,pointamp_notch,1.1,14.0,0.5853981633974483,5.9,0.05,0.0,31.28593012120719,27.169214851374555,2.102217055050133,2.195773722681312,0.5991357345858885,-0.35615659818969686,0.8,0.0,0.0,0.0,27.91766819242399
1251,pointamp_notch,1.1,14.0,0.5853981633974483,5.9,0.07,0.0,31.28593012120719,27.20231628015778,2.102217055050133,2.2036542467000304,1.104693305495698,-0.3587834889798798,0.8,0.0,0.0,0.0,28.01381381335696
387,partial_notch,1.1,14.0,0.5853981633974483,5.9,0.07,0.0,31.28593012120719,27.202316280157792,2.102217055050133,2.2036542467000304,1.104693305495697,-0.35878348897988005,0.8,0.0,0.0,0.0,28.013813813356972
1253,pointamp_notch,1.1,14.0,0.5853981633974483,5.9,0.1,0.0,31.28593012120719,27.227160155338854,2.102217055050133,2.2098197484816233,2.2466675300287426,-0.3608385576899557,0.8,0.0,0.0,0.0,28.087981702790778
389,partial_notch,1.1,14.0,0.5853981633974483,5.9,0.1,0.0,31.28593012120719,27.22716015533887,2.102217055050133,2.2098197484816318,2.2466675300287386,-0.3608385576899585,0.8,0.0,0.0,0.0,28.08798170279086
1033,pointamp_notch,1.0,14.0,0.5853981633974483,5.9,0.05,0.0,31.28593012120719,27.534363221589388,2.102217055050133,2.190438121472417,0.7128720399527387,-0.332964967514158,0.8,0.0,0.0,0.0,28.24013175296766
169,partial_notch,1.0,14.0,0.5853981633974483,5.9,0.05,0.0,31.28593012120719,27.53436322158941,2.102217055050133,2.1904381214724324,0.7128720399527361,-0.33296496751415877,0.8,0.0,0.0,0.0,28.240131752967805
1609,pointamp_notch,1.3,12.0,0.5853981633974483,5.9,0.05,0.0,31.28593012120719,26.530115910705657,2.102217055050133,2.3260242392858457,-0.029175977754355792,-0.268397055510184,0.8,0.0,0.0,0.0,28.32057338459136
745,partial_notch,1.3,12.0,0.5853981633974483,5.9,0.05,0.0,31.28593012120719,26.530115910705668,2.102217055050133,2.3260242392858523,-0.029175977754356333,-0.26839705551018317,0.8,0.0,0.0,0.0,28.320573384591423
1035,pointamp_notch,1.0,14.0,0.5853981633974483,5.9,0.07,0.0,31.28593012120719,27.564602582219145,2.102217055050133,2.1976029413965383,1.17639333429421,-0.3353532857648469,0.8,0.0,0.0,0.0,28.327689672990388
171,partial_notch,1.0,14.0,0.5853981633974483,5.9,0.07,0.0,31.28593012120719,27.564602582219152,2.102217055050133,2.197602941396558,1.1763933342942112,-0.3353532857648493,0.8,0.0,0.0,0.0,28.32768967299055
1037,pointamp_notch,1.0,14.0,0.5853981633974483,5.9,0.1,0.0,31.28593012120719,27.587297563391566,2.102217055050133,2.2032085583475913,2.227006583799336,-0.33722172734515365,0.8,0.0,0.0,0.0,28.395229589771233
173,partial_notch,1.0,14.0,0.5853981633974483,5.9,0.1,0.0,31.28593012120719,27.587297563391587,2.102217055050133,2.203208558347611,2.227006583799335,-0.337221727345154,0.8,0.0,0.0,0.0,28.39522958977141
1393,pointamp_notch,1.2,12.0,0.5853981633974483,5.9,0.05,0.0,31.28593012120719,26.88548592481553,2.102217055050133,2.311510123116623,0.05698284660888369,-0.250900534835303,0.8,0.0,0.0,0.0,28.55983046934745
529,partial_notch,1.2,12.0,0.5853981633974483,5.9,0.05,0.0,31.28593012120719,26.885485924815544,2.102217055050133,2.3115101231166215,0.056982846608886445,-0.2509005348353019,0.8,0.0,0.0,0.0,28.559830469347453
747,partial_notch,1.3,12.0,0.5853981633974483,5.9,0.07,0.0,31.28593012120719,26.56819124992851,2.102217055050133,2.3513529106145477,0.48988262099224644,-0.2768401056363351,0.8,0.0,0.0,0.0,28.56127809444383
1611,pointamp_notch,1.3,12.0,0.5853981633974483,5.9,0.07,0.0,31.28593012120719,26.568191249928525,2.102217055050133,2.351352910614552,0.48988262099224467,-0.2768401056363329,0.8,0.0,0.0,0.0,28.561278094443878
