case,case_label,n_points,acceptance_mismatch,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu
D21E21_holdout,D21 x E21 holdout,105,0.0,0.05599503839627431,0.07841235838014882
D60E21_release,D60 x E21 release,105,0.0,0.10968293130260312,0.18319271132124193
