pair,D,slice_p95_abs_delta_log_partial,slice_p95_abs_delta_log_width,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch
hybrid_vs_runtime,4.0,0.03219896913441262,0.00906563335873217,0.08499849314702539,0.08665193285150297,0.0
hybrid_vs_runtime,4.271186440677966,0.027976177161411257,0.008603201211502336,0.19314507908811934,0.19608723560806318,0.0
hybrid_vs_runtime,4.5423728813559325,0.0243008824770058,0.00830128221153653,0.23466540094774935,0.23730696262528728,0.0
hybrid_vs_runtime,4.813559322033898,0.021121036958318944,0.00798434143460743,0.3505384269108447,0.3509619974482092,0.0
hybrid_vs_runtime,5.084745762711864,0.018446065583467616,0.007545524540218754,0.3702885222816203,0.37070618911770836,0.0
hybrid_vs_runtime,5.3559322033898304,0.01721067521219513,0.0064517885049626515,0.503577469404766,0.504057976336437,0.0
hybrid_vs_runtime,5.627118644067797,0.01626409682487027,0.0,0.955145740790131,0.9551833187635239,0.0
hybrid_vs_runtime,5.898305084745763,0.01299669544395134,0.0,0.7270446606261913,0.7270918018804409,0.0
hybrid_vs_runtime,6.169491525423728,0.010712212929826166,0.0,0.6893878939556088,0.6894277264333368,0.0
hybrid_vs_runtime,6.4406779661016955,0.005060934896871799,0.0052534240340784055,0.4827618377605873,0.4827630831031158,0.0
hybrid_vs_runtime,6.711864406779661,0.0013728360826047376,0.004067531601812915,0.09547160547533551,0.0954717853162137,0.0
hybrid_vs_runtime,6.983050847457627,0.006699706555013998,0.003329920660588571,0.028547061721577192,0.028547105624133096,0.0
hybrid_vs_runtime,7.254237288135593,0.005822486549625064,0.00264409001791536,0.023370037974592427,0.02337003952674177,0.0
hybrid_vs_runtime,7.525423728813559,0.004892635635407256,0.00203053448522911,0.017116975723591922,0.017116976014032836,0.0
hybrid_vs_runtime,7.796610169491526,0.004046303912273191,0.0014236696244520246,0.012038598292204838,0.012038598295992298,1.0
hybrid_vs_runtime,8.067796610169491,0.003273580971627171,0.0010079652724963415,0.008187577135306868,0.008187577365669885,0.0
hybrid_vs_runtime,8.338983050847457,0.0025666158126638303,0.0007148454518211605,0.005389056711535866,0.005389056969097306,0.0
hybrid_vs_runtime,8.610169491525424,0.0019192376767341946,0.00039574824946429413,0.003297171752198613,0.0032971718093681712,0.0
hybrid_vs_runtime,8.881355932203391,0.0013266366244670995,0.00023354357967890875,0.0018491469551177087,0.0018491470476755811,0.0
hybrid_vs_runtime,9.152542372881356,0.0007850853026168132,0.00011542369590544743,0.0008210905387302069,0.0008210906133232498,0.0
hybrid_vs_runtime,9.423728813559322,0.00029171377800526403,3.513832978220586e-05,0.0003896298313815105,0.00038962988562563083,0.0
hybrid_vs_runtime,9.694915254237287,0.0001556801503902724,1.4819356232226526e-05,0.00015036284270650846,0.00015036329651119118,0.0
hybrid_vs_runtime,9.966101694915254,0.0005587917318756023,4.188128163881577e-05,0.00037969267029307473,0.00037969506717672186,0.0
hybrid_vs_runtime,10.23728813559322,0.000918878780949182,5.2955128501683256e-05,0.00043377358084319975,0.00043377358748097894,0.0
hybrid_vs_runtime,10.508474576271189,0.0012370011070003879,5.38138123445938e-05,0.0003995040025852492,0.00039950400443877765,0.0
hybrid_vs_runtime,10.779661016949152,0.0015139533951637986,4.8891010432550565e-05,0.00032883462522870774,0.00032883462672517183,0.0
hybrid_vs_runtime,11.050847457627118,0.0017504091482340813,4.132010186674677e-05,0.00025265732417412146,0.0002526573360558393,0.0
hybrid_vs_runtime,11.322033898305085,0.0019469564545625598,3.312396214734484e-05,0.00018417673947581926,0.00018417674016352192,0.0
hybrid_vs_runtime,11.593220338983052,0.002104138479987066,2.5468142699444262e-05,0.0001285718861704338,0.00012857188729176877,0.0
hybrid_vs_runtime,11.864406779661016,0.0022224816436032836,1.8913167241041498e-05,8.664149406902438e-05,8.664149568089752e-05,0.0
hybrid_vs_runtime,12.135593220338984,0.002152675866875601,1.4099836966725052e-05,5.327905327402599e-05,5.3279055626104244e-05,0.0
hybrid_vs_runtime,12.40677966101695,0.002202368812837159,7.735186706886925e-07,2.047560308283264e-06,2.04756032618728e-06,0.0
hybrid_vs_runtime,12.677966101694915,0.0022148870275504307,5.499998764048581e-07,1.3196177217111469e-06,1.3196182221055126e-06,0.0
hybrid_vs_runtime,12.94915254237288,0.0021908762238664406,3.822706832284873e-07,8.243590588561354e-07,8.243628959245372e-07,0.0
hybrid_vs_runtime,13.220338983050848,0.0021310149636309646,2.6004538587480106e-07,4.990890344459418e-07,4.990987218975694e-07,0.0
hybrid_vs_runtime,13.491525423728811,0.0020358844950551114,1.7331287617536664e-07,2.925042737636594e-07,2.925048906559117e-07,0.0
hybrid_vs_runtime,13.76271186440678,0.0019064255328466494,1.1327705420463007e-07,1.6564409413097228e-07,1.6564496439104017e-07,0.0
hybrid_vs_runtime,14.033898305084746,0.001743627468153511,7.266503707859621e-08,9.035827684863014e-08,9.036890543243423e-08,0.0
hybrid_vs_runtime,14.305084745762713,0.0015483961948245853,4.581505350063706e-08,4.7124114529342694e-08,4.712464615785452e-08,0.0
hybrid_vs_runtime,14.576271186440678,0.0013208153118581787,2.837186849622077e-08,4.116658978468526e-08,4.116903738039481e-08,0.0
hybrid_vs_runtime,14.847457627118644,0.0010656911382552405,1.727072843145936e-08,1.9014789306323702e-08,1.9029298474692008e-08,0.0
hybrid_vs_runtime,15.11864406779661,0.0007741584892850691,1.0318560574927813e-08,7.774173489475998e-09,7.777110978252253e-09,0.0
hybrid_vs_runtime,15.389830508474576,0.00046029080668562767,6.080137042009451e-09,2.565257135800486e-09,2.567582592715665e-09,0.0
hybrid_vs_runtime,15.66101694915254,0.0001222666054911217,2.4747678542455867e-09,3.726724221902749e-10,3.7929124894465384e-10,0.0
hybrid_vs_runtime,15.932203389830509,0.0002941146879994539,2.4747994289883287e-09,4.86541213979352e-10,4.937406927835765e-10,0.0
hybrid_vs_runtime,16.203389830508474,0.0006589441311450712,2.4748032037466033e-09,5.840183007969713e-10,5.848686325380521e-10,0.0
