mode,p95_abs_delta_log_mu,p95_abs_width_component,p95_abs_uv_component,p95_abs_fin_component,p95_abs_rge_component,p95_abs_uv_g_only,p95_abs_uv_p_only,p95_abs_uv_m2_only,max_abs_identity_residual,dominant_fraction_width,dominant_fraction_uv,dominant_fraction_finite,dominant_fraction_rge,max_abs_mu_delta
bandcombo,0.5053755166969744,0.3203380722387568,0.184485210072868,0.0,0.000798996608265691,0.22555601071692877,0.0,0.38607352679055396,3.885780586188048e-15,0.5,0.5,0.0,0.0,1.4009786272559777
release,0.5053755151478935,0.3203380706892721,0.184485210073273,0.0,0.000798996608265691,0.22555601071681153,0.0,0.38607352679054685,3.1086244689504383e-15,0.5,0.5,0.0,0.0,1.4009786239557904
