mode,D,slice_p95_abs_delta_log_mu,slice_p95_abs_width_component,slice_p95_abs_uv_component,slice_p95_abs_finite_component,slice_p95_abs_rge_component,slice_dominant_fraction_width,slice_dominant_fraction_uv,slice_acceptance_mismatch,slice_max_abs_mu_delta,worst_eta,worst_mu_full,worst_mu_mode,worst_width_component,worst_uv_component,worst_uv_m2_only,worst_dominant_component
bandcombo,4.0,0.9569119731852056,0.744028176959822,0.2130971885532471,0.0,0.00021339232786343754,1.0,0.0,0.3902439024390244,1.2113442977541795,4.0,2.4343797555642395,1.22303545781006,0.7437220806873173,0.21309718855324533,0.0026267503222605626,width
bandcombo,4.8,0.30487580147826954,0.4043025136986911,0.10254390411522252,0.0,0.0031171918948010345,1.0,0.0,0.0,7.311200734232331,4.0,11.70548508333282,19.01668581756515,0.40674492083407277,0.10254390411522074,0.0012926251339742123,width
bandcombo,5.6,0.34121089550401074,0.5557123033431446,0.21320291342997955,0.0,0.0012984944091548808,1.0,0.0,0.0,28.631853286652387,4.0,53.00788547030098,81.63973875695336,0.5558345461620138,0.21320291342997955,0.0006119865782476808,width
bandcombo,6.4,0.12401508821080842,0.33872913009516403,0.46545606798475525,0.0,0.002789621809124874,0.0,1.0,0.0,9.98569946539893,0.2,57.79750829366997,67.7832077590689,0.33864703696664855,0.46545606798475525,0.16027171708749677,uv
bandm2,4.0,0.7827372895331576,0.7437012130113967,0.03888284298745681,0.0,0.00015323353430481135,1.0,0.0,0.3902439024390244,0.9786627403749091,4.0,2.4343797555642395,1.4557170151893304,0.743407075960417,0.03888284298745681,0.1715875952431798,width
bandm2,4.8,0.30487580154261185,0.4043025137623122,0.10254390411450309,0.0,0.0031171918948010345,1.0,0.0,0.0,7.311200734232331,4.0,11.70548508333282,19.01668581756515,0.40674492089763614,0.10254390411450132,0.0012926251339688832,width
bandm2,5.6,0.34121089554641326,0.555712303385087,0.21320291342951947,0.0,0.0012984944091553232,1.0,0.0,0.0,28.631853286652387,4.0,53.00788547030098,81.63973875695336,0.5558345462039522,0.21320291342952125,0.0006119865782725498,width
bandm2,6.4,0.12401508820641993,0.3387291300998425,0.465456067985043,0.0,0.002789621809124874,0.0,1.0,0.0,9.98569946539893,0.2,57.79750829366997,67.7832077590689,0.33864703697132703,0.465456067985043,0.16027171708749144,uv
release,4.0,0.9569119731862422,0.7440281769611046,0.2130971885530002,0.0,0.00021339232786343754,1.0,0.0,0.3902439024390244,1.2113442977544018,4.0,2.4343797555642395,1.2230354578098377,0.7437220806885989,0.2130971885530002,0.00262675032225701,width
release,4.8,0.441309685672004,0.34188297345188623,0.10254390411491876,0.0,0.0031171918948010345,1.0,0.0,0.0,2.709745234069489,4.0,11.70548508333282,8.99573984926333,0.34182075868008166,0.10254390411491698,0.0012926251339742123,width
release,5.6,1.8879900658464064,1.673488658007607,0.21320291342964381,0.0,0.0012984944091548808,1.0,0.0,0.0,44.222720748152256,4.0,53.00788547030098,8.78516472214872,1.6734171199891352,0.21320291342964381,0.0006119865782494571,width
release,6.4,2.0007311633975564,2.463397609573274,0.46545606798484407,0.0,0.002789621809124874,1.0,0.0,0.0,49.70231928806595,4.0,57.800486186791545,8.098166898725596,2.4633746920936077,0.46545606798484407,0.16027171708750032,width
