mode,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_p95_abs_delta_log_width,slice_p95_abs_delta_log_partial,slice_acceptance_mismatch
release_fullsumanchor,4.0,1.9088192713612009,1.960338806498766,0.7440368401364676,0.2128837962475409,1.0
release_fullsumanchor,4.8,7.3387523791222184,7.352066063976986,0.5220172048147521,0.09942671221994316,0.0
release_fullsumanchor,5.6,49.24087962881938,49.246163058758064,1.6734908320771351,0.21450140783824,0.0
release_fullsumanchor,6.4,51.78178065267282,51.78203746770311,2.4633983026630615,0.4626664461759334,0.0
release_fullsumanchor,7.2,1.4009786191128535,1.400978619251136,0.3203381602759484,0.1850374444585904,1.0
release_fullsumanchor,8.0,0.3139007121985153,0.31390071224049976,0.005291552522931736,0.15036077784400592,1.0
release_fullsumanchor,8.8,0.36912497796711585,0.3691249782520316,0.07028402861733679,0.1950874297206595,0.0
release_fullsumanchor,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,2.2204460492503128e-16,2.131628207280298e-15,0.0
release_fullsumanchor,10.4,0.14293980312816162,0.14293980391796235,0.03456260633238486,0.30614786881529993,0.0
release_fullsumanchor,11.2,0.04091271612335729,0.04091271640771327,0.0162007389592721,0.29738801208156107,0.0
release_fullsumanchor,12.0,0.007332369784910131,0.007332371491122855,0.0003894116309773554,0.21376052818361227,0.0
release_fullsumanchor,12.8,0.0018768784655154578,0.00187688478826482,4.6521616446379034e-05,1.5837255669297206,0.0
release_fullsumanchor,13.600000000000001,6.0516879343651634e-05,6.051737211028241e-05,1.800750153809059e-06,0.41571372746401364,0.0
release_fullsumanchor,14.4,1.88531829705312e-05,1.885334719730453e-05,1.4670777484427116e-06,0.5613987451559262,0.0
release_fullsumanchor,15.200000000000001,3.626312366360575e-06,3.626793467636922e-06,1.2533359620663656e-06,0.3553257383814869,0.0
release_fullsumanchor,16.0,3.4251440170387924e-07,3.427027325260143e-07,4.7053009063595035e-07,0.21523169078478546,0.0
release_fullsumanchor,16.8,1.5878469550931735e-07,1.6250801046818007e-07,4.705745294232284e-07,0.5028511018130546,0.0
release_fullsumanchor,17.6,1.065941446754108e-08,1.065941446754108e-08,4.7060278325364156e-07,0.21288379622504594,0.0
release_fullsumanchor,18.4,1.065941446754108e-08,1.065941446754108e-08,4.7060278325364156e-07,0.21288379622504594,0.0
release_fullsumanchor,19.200000000000003,1.065941446754108e-08,1.065941446754108e-08,4.7060278325364156e-07,0.21288379622504594,0.0
release_fullsumanchor,20.0,1.065941446754108e-08,1.065941446754108e-08,4.7060278325364156e-07,0.21288379622504594,0.0
release_fullwidthrefamp,4.0,0.9001093324589837,0.9244091557313059,0.13020621844786529,0.2128837962475409,0.8
release_fullwidthrefamp,4.8,0.11552225327666114,0.11577149735856906,0.09106617848406902,0.09942671221994316,0.0
release_fullwidthrefamp,5.6,14.071111328581804,14.072583544233837,0.27612598729272747,0.21450140783824,0.0
release_fullwidthrefamp,6.4,0.4214180396175095,0.42144862473762856,0.4557286859926665,0.4626664461759334,0.0
release_fullwidthrefamp,7.2,0.7570348879764389,0.7570349676046035,0.05623519399026777,0.1850374444585904,0.0
release_fullwidthrefamp,8.0,0.32265909959466804,0.3226590997374812,0.000926023317134267,0.15036077784400592,1.0
release_fullwidthrefamp,8.8,0.29661737775081487,0.29661737791159326,0.012299705008219652,0.1950874297206595,0.0
release_fullwidthrefamp,9.600000000000001,3.4638958368304883e-15,3.552713678800501e-15,0.0,2.131628207280298e-15,0.0
release_fullwidthrefamp,10.4,0.13275502322503271,0.1327550239484636,0.006048456108167336,0.30614786881529993,0.0
release_fullwidthrefamp,11.2,0.03941813638739661,0.0394181367505667,0.0028351293178725426,0.29738801208156107,0.0
release_fullwidthrefamp,12.0,0.007342272294038761,0.007342274008792796,6.814703542099734e-05,0.21376052818361227,0.0
release_fullwidthrefamp,12.8,0.0018768970650022351,0.0018769033877704866,8.1412828780898e-06,1.5837255669297206,0.0
release_fullwidthrefamp,13.600000000000001,6.051670494395329e-05,6.0517197709499966e-05,3.1513127684654025e-07,0.41571372746401364,0.0
release_fullwidthrefamp,14.4,1.8853152692313943e-05,1.885331691999689e-05,2.567386060133282e-07,0.5613987451559262,0.0
release_fullwidthrefamp,15.200000000000001,3.6263036337133757e-06,3.626784736285214e-06,2.1933379332122109e-07,0.3553257383814869,0.0
release_fullwidthrefamp,16.0,3.425138480506672e-07,3.427021785684258e-07,8.234276579078855e-08,0.21523169078478546,0.0
release_fullwidthrefamp,16.8,1.587846011709557e-07,1.6250791391784675e-07,8.235054268039105e-08,0.5028511018130546,0.0
release_fullwidthrefamp,17.6,1.0659397023331404e-08,1.0659397023331404e-08,8.235548703601956e-08,0.21288379622504594,0.0
release_fullwidthrefamp,18.4,1.0659397023331404e-08,1.0659397023331404e-08,8.235548703601956e-08,0.21288379622504594,0.0
release_fullwidthrefamp,19.200000000000003,1.0659397023331404e-08,1.0659397023331404e-08,8.235548703601956e-08,0.21288379622504594,0.0
release_fullwidthrefamp,20.0,1.0659397023331404e-08,1.0659397023331404e-08,8.235548703601956e-08,0.21288379622504594,0.0
