family,beta,D,eta,base_mu,cur_mu,mu_cf,delta_mu_cf,delta_log_mu_cf,cur_delta_log_partial,cur_delta_log_width,acceptance_mismatch_cf,partial_ratio_cf,amp_cf,amp_ref_cf
point_amp_blend,0.0,4.8,0.2,13.739247292265361,13.624865549132435,13.62486554913243,-0.11438174313293104,-0.008360030524249164,-0.09942671221994287,-0.09106668169569405,0.0,1168.698093564811,0.0016663291148217283,4.874270363819415e-05
point_amp_blend,0.25,4.8,0.2,13.739247292265361,13.624865549132435,13.243835535185077,-0.4954117570802836,-0.03672430152552573,-0.09942671221994287,-0.09106668169569405,0.0,1136.014537952066,0.0016428637969879754,4.874270363819415e-05
point_amp_blend,0.5,4.8,0.2,13.739247292265361,13.624865549132435,12.873461323381624,-0.8657859688837366,-0.06508857252680189,-0.09942671221994287,-0.09106668169569405,0.0,1104.2450035167094,0.0016197289187631458,4.874270363819415e-05
point_amp_blend,0.75,4.8,0.2,13.739247292265361,13.624865549132435,12.513444915886792,-1.225802376378569,-0.09345284352807812,-0.09942671221994287,-0.09106668169569405,0.0,1073.3639289421383,0.0015969198268825395,4.874270363819415e-05
point_amp_blend,1.0,4.8,0.2,13.739247292265361,13.624865549132435,12.163496648607701,-1.5757506436576598,-0.12181711452935277,-0.09942671221994287,-0.09106668169569405,0.0,1043.346467753949,0.0015744319336089307,4.874270363819415e-05
ref_amp_blend,0.0,4.8,0.2,13.739247292265361,13.624865549132435,13.624865549132455,-0.11438174313290617,-0.008360030524247374,-0.09942671221994287,-0.09106668169569405,0.0,1168.698093564813,0.0016663291148217285,4.874270363819411e-05
ref_amp_blend,0.25,4.8,0.2,13.739247292265361,13.624865549132435,14.369636752723874,0.6303894604585132,0.044860918532013204,-0.09942671221994287,-0.09106668169569405,0.0,1232.5822238441526,0.0016663291148217285,4.7462742875544534e-05
ref_amp_blend,0.5,4.8,0.2,13.739247292265361,13.624865549132435,15.155119121038263,1.415871828772902,0.09808186758827386,-0.09942671221994287,-0.09106668169569405,0.0,1299.958429727979,0.0016663291148217285,4.621639328814045e-05
ref_amp_blend,0.75,4.8,0.2,13.739247292265361,13.624865549132435,15.983538034064951,2.24429074179959,0.15130281664453485,-0.09942671221994287,-0.09106668169569405,0.0,1371.017597309194,0.0016663291148217285,4.50027722621281e-05
ref_amp_blend,1.0,4.8,0.2,13.739247292265361,13.624865549132435,16.857240516952043,3.117993224686682,0.20452376570079556,-0.09942671221994287,-0.09106668169569405,0.0,1445.9610470196392,0.0016663291148217285,4.382102036068366e-05
