case,case_label,target_D,eval_D,eta,abs_delta_mu_mumu,acceptance_mismatch
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,3.81,5.218377421059905,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,4.0,5.218208325272144,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.2,0.2863830322161016,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.39,0.28638201911662575,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.5800000000000001,0.2863810059744609,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.77,0.2863799929092328,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.96,0.28637897981199956,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.15,0.2863779667569224,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.34,0.28637695367547034,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.53,0.2863759405769639,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.72,0.28637492752465477,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.91,0.2863739144430677,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.1,0.28637290137407945,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.29,0.2863718882961792,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.4800000000000004,0.2863708752057499,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.6700000000000004,0.2863698621475459,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.8600000000000003,0.28636884906552496,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.0500000000000003,0.2863678360098292,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.24,0.2863668229330272,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.43,0.28636580986905447,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.62,0.2863647968072507,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.81,0.28636378374553617,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,4.0,0.28636277067568816,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.2,0.23054724983391273,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.39,0.23054727204355752,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.5800000000000001,0.2305472940809432,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.77,0.2305473160079714,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.96,0.23054733777511016,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.15,0.23054735965857276,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.34,0.23054738159347554,0.0
