width_peak,refamp_peak,center_D,sigma_D,D,eta,target_mu,cur_mu,mu_new,delta_mu,extra_width_beta,extra_refamp_beta
0.0,0.0,5.9,0.1,5.898305084745763,0.2,90.79702562735869,60.251653720638146,60.251653720638146,-30.545371906720547,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,0.39,90.79862216474444,60.25448559082204,60.25448559082204,-30.5441365739224,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,0.5800000000000001,90.80021867571749,60.257317741395916,60.257317741395916,-30.542900934321572,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,0.77,90.80181516046262,60.26014963122751,60.26014963122751,-30.54166552923511,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,0.96,90.80341161896216,60.26298173779924,60.26298173779924,-30.540429881162922,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,1.15,90.80500805110192,60.26581328900283,60.26581328900283,-30.539194762099093,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,1.34,90.8066044569945,60.268644897635,60.268644897635,-30.537959559359507,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,1.53,90.80820083658355,60.27147678658714,60.27147678658714,-30.536724049996415,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,1.72,90.80979718986694,60.27430895591068,60.27430895591068,-30.535488233956258,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,1.91,90.81139351683984,60.27714140564782,60.27714140564782,-30.534252111192025,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,2.1,90.81298981754493,60.27997294177464,60.27997294177464,-30.533016875770294,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,2.29,90.81458609192988,60.28280368338697,60.28280368338697,-30.53178240854291,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,2.4800000000000004,90.81618234001765,60.28563470510325,60.28563470510325,-30.5305476349144,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,2.6700000000000004,90.81777856178608,60.288466006961094,60.288466006961094,-30.52931255482499,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,2.8600000000000003,90.8193747572609,60.291297589012885,60.291297589012885,-30.528077168248018,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,3.0500000000000003,90.82097092640565,60.29412945129645,60.29412945129645,-30.5268414751092,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,3.24,90.82256706925467,60.29696159386269,60.29696159386269,-30.525605475391984,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,3.43,90.8241631857692,60.29979401674245,60.29979401674245,-30.52436916902674,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,3.62,90.82575927598117,60.30262671999676,60.30262671999676,-30.52313255598441,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,3.81,90.82735533987562,60.30545970366357,60.30545970366357,-30.52189563621205,0.0,0.0
0.0,0.0,5.9,0.1,5.898305084745763,4.0,90.82895137743073,60.30829296778385,60.30829296778385,-30.520658409646877,0.0,0.0
0.0,0.0,5.9,0.1,6.169491525423729,0.2,86.94702113806258,72.06646393780726,72.06646393780726,-14.880557200255325,0.0,0.0
0.0,0.0,5.9,0.1,6.169491525423729,0.39,86.94756859275853,72.06898766877671,72.06898766877671,-14.878580923981815,0.0,0.0
0.0,0.0,5.9,0.1,6.169491525423729,0.5800000000000001,86.94811604148249,72.07151158782115,72.07151158782115,-14.876604453661344,0.0,0.0
