beta_peak,center_D,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,acceptance_mismatch,hotspot_max_abs_delta_mu,guard_max_abs_delta_mu,max_beta_eff,D4p814_max_abs_delta_mu,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,D7p254_max_abs_delta_mu
0.1,5.9,0.1,39.34962290697342,39.351261053054614,0.0,39.351261053054614,20.69444829769716,0.09998563734293314,1.3307499165754795,8.882369710372593,39.351261053054614,31.654577055471606,2.0077058351256625,20.69444829769716,0.13179658489546675
0.1,5.9,0.15,39.34942127480103,39.351059413219474,0.0,39.351059413219474,20.694448300730176,0.09999361634216623,1.3307499165745735,8.800804050250214,39.351059413219474,31.128809913073745,2.005658488677895,20.694448300730176,0.13179658489546675
0.1,5.9,0.2,39.34935069955268,39.350988835288994,0.0,39.350988835288994,20.6944501380371,0.09999640914232404,1.3307498290554864,8.70141186049981,39.350988835288994,30.500132255980652,1.9725682616122597,20.6944501380371,0.13179658489846302
0.1,6.0,0.1,40.35950283472957,40.36117755456741,0.0,40.36117755456741,20.694448297697228,0.05962514592349766,1.3307499165754795,8.893691239349891,40.36117755456741,31.010316006064585,2.007624091957773,20.694448297697228,0.13179658489546675
0.1,6.0,0.15,39.86551280574655,39.86717008779029,0.0,39.86717008779029,20.694448387321028,0.07946774121753424,1.3307499165754653,8.871945870013242,39.86717008779029,30.112784419699537,1.9895724171244709,20.694448387321028,0.1317965848954663
0.1,6.0,0.2,39.654794639384974,39.65644421889595,0.0,39.65644421889595,20.694460659480722,0.08787338649801668,1.3307499114676844,8.808267254393542,39.65644421889595,29.580096207650662,1.8877881442851532,20.694460659480722,0.13179658497356161
0.1,6.1,0.1,41.49953319686162,41.50124480456567,0.0,41.50124480456567,20.694448297748867,0.07854852453070671,1.3307499165754795,8.894151254834789,41.50124480456567,29.305271091860448,2.003610203786735,20.694448297748867,0.13179658489546675
0.1,6.1,0.15,40.83124660345045,40.83293715891299,0.0,40.83293715891299,20.694449995756003,0.08982447358465744,1.3307499165754795,8.890767563535704,40.83293715891299,28.9478365223751,1.9046820968593252,20.694449995756003,0.1317965848954703
0.1,6.1,0.2,40.34676912556495,40.34844340685726,0.0,40.34844340685726,20.694512965465226,0.09414223572856661,1.3307499163433327,8.864334503033213,40.34844340685726,28.81038234182101,1.6886254996122432,20.694512965465226,0.13179658648074177
0.2,5.9,0.1,36.759889319789735,36.76141744970963,0.0,36.76141744970963,20.69444829769716,0.19997127468586628,1.3307499165754795,8.870578511938973,36.76141744970963,31.574243374369026,2.0077052260266584,20.69444829769716,0.13179658489546675
0.2,5.9,0.15,36.75946575755059,36.76099386761043,0.0,36.76099386761043,20.694448303763192,0.19998723268433247,1.3307499165736694,8.70727114575606,36.76099386761043,30.51617462836255,2.0036104511639863,20.694448303763192,0.13179658489546675
0.2,5.9,0.2,36.75931750199724,36.76084560510551,0.0,36.76084560510551,20.69445197837603,0.19999281828464807,1.3307497415354952,8.507903037093904,36.76084560510551,29.23786067491178,1.937405948996485,20.69445197837603,0.1317965849014593
0.2,6.0,0.1,38.86048880924287,38.86210794738613,0.0,38.86210794738613,20.6944482976973,0.11925029184699532,1.3307499165754795,8.893224418058473,38.86210794738613,30.276331437847787,2.0075417395583415,20.6944482976973,0.13179658489546675
0.2,6.0,0.15,37.838167699388585,37.8397444277924,0.0,37.8397444277924,20.694448476944896,0.15893548243506847,1.3307499165754653,8.849723555861246,37.8397444277924,28.44312368786354,1.9714319633348723,20.694448476944896,0.13179658489546675
0.2,6.0,0.2,37.39905144300577,37.40060885508105,0.0,37.40060885508105,20.694473021218375,0.17574677299603336,1.330749906359907,8.722225014822925,37.40060885508105,27.341309543145925,1.7675888033225178,20.694473021218375,0.13179658505165603
0.2,6.1,0.1,41.18177511398412,41.18347691474049,0.0,41.18347691474049,20.694448297800577,0.15709704906141342,1.3307499165754795,8.894144453500644,41.18347691474049,26.768840831693097,1.9995136354274905,20.694448297800577,0.13179658489546675
0.2,6.1,0.15,39.82747098538991,39.829126888510444,0.0,39.829126888510444,20.69445169381398,0.17964894716931487,1.3307499165754795,8.887376834928126,39.829126888510444,26.02020108320515,1.8014503161655497,20.69445169381398,0.1317965848954743
0.2,6.1,0.2,38.83426126952145,38.835879364842306,0.0,38.835879364842306,20.69457763197687,0.18828447145713323,1.33074991611117,8.834492691623907,38.835879364842306,25.731073922021935,1.3675547957600358,20.69457763197687,0.1317965880660168
0.3,5.9,0.1,34.03980949657108,34.04119790686242,0.0,34.04119790686242,20.69444829769716,0.29995691202879937,1.3307499165754795,8.858784460176778,34.04119790686242,31.493792977494046,2.007704616927647,20.69444829769716,0.13179658489546675
0.3,5.9,0.15,34.0391421738605,34.04053054693331,0.0,34.04053054693331,20.69444830679621,0.2999808490264987,1.330749916572751,8.613558999853907,34.04053054693331,29.896815337563844,2.0015623316796507,20.69444830679621,0.13179658489546675
