sample_id,g_beta,g_center,g_half_width,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu,mismatch,score
16,0.24371892948821186,0.049282424042001366,0.0247454799041152,5.220206949119586,5.220375998619822,0.0,5.220206949119586
1,0.2435602432694286,0.04863440667465329,0.021202162556350233,5.221298356445693,5.221467470369134,0.0,5.221298356445693
11,0.24223536754213273,0.048329765716567635,0.025723264306783677,5.225732226729228,5.225901294099252,0.0,5.225732226729228
13,0.24724916825257243,0.047872923864051696,0.022500179409980774,5.235581137585164,5.235750295817191,0.0,5.235581137585164
7,0.23858534800074993,0.04817755221575498,0.026042678318917753,5.240162567162301,5.240331670334051,0.0,5.240162567162301
9,0.2451010011434555,0.047380782509222626,0.026933705650269986,5.242309903050483,5.242479009153868,0.0,5.242309903050483
6,0.24238917646184563,0.04972776885703206,0.020203871726989748,5.24991223104977,5.250081428410809,0.0,5.24991223104977
10,0.2387342799194157,0.049761971039697525,0.023531186990439892,5.251416817422324,5.251585988815528,0.0,5.251416817422324
8,0.24463956684060395,0.050652686927467584,0.023383064083755015,5.257896489959336,5.258065633709606,0.0,5.257896489959336
3,0.24143542374670504,0.046982193592935796,0.022397954940795897,5.274403671134515,5.274572916652048,0.0,5.274403671134515
5,0.24641214798390865,0.0461265487447381,0.025362495154142378,5.277239720649675,5.277408969484355,0.0,5.277239720649675
15,0.24008536252379417,0.04652512362413108,0.021836598329246046,5.287394544026085,5.287563798642033,0.0,5.287394544026085
12,0.24594583668000997,0.051837066112086175,0.02081975281238556,5.294184837456839,5.294354088395373,0.0,5.294184837456839
4,0.24741274100914598,0.050207328282296654,0.027051222532987595,5.296768215004526,5.296937511164401,0.0,5.296768215004526
2,0.23961417868919668,0.051485626764595505,0.024356390438973904,5.307080405315922,5.307249631120484,0.0,5.307080405315922
14,0.2409593533743173,0.05100411241687834,0.02791002330183983,5.391434429504834,5.391604061260608,0.0,5.391434429504834
