combo_id,mode,kappa,center_D,width_D,power,improved_fraction_D21_guard,improved_fraction_D60_hotspot,mean_abs_improvement_D21_guard,mean_abs_improvement_D60_hotspot,p95_abs_delta_base_D21_guard,p95_abs_delta_base_D60_hotspot,p95_abs_delta_cf_D21_guard,p95_abs_delta_cf_D60_hotspot,joint_objective
30,gamma_ref_enhance,0.15,6.25,0.3,0.5,0.0,1.0,-4.282007242339567,8.340483919397835,2.102217055050133,31.28593012120719,14.25754508239347,13.995486967581726,14.25754508239347
13,gamma_ref_enhance,0.1,6.1,0.12,0.5,0.0,1.0,-4.1793448686375445,7.721801990952615,2.102217055050133,31.28593012120719,14.14722217457264,14.55533744841334,14.55533744841334
45,gamma_ref_enhance,0.2,6.4,0.3,0.5,0.0,1.0,-4.592049495467352,8.208005239831586,2.102217055050133,31.28593012120719,15.016496709233545,12.658408541471152,15.016496709233545
44,gamma_ref_enhance,0.2,6.4,0.2,0.5,0.0,1.0,-4.592922302901685,7.1761341793822195,2.102217055050133,31.28593012120719,15.016496709233545,14.435682277768375,15.016496709233545
29,gamma_ref_enhance,0.15,6.25,0.2,0.5,0.0,1.0,-4.606225033126334,8.01263169675366,2.102217055050133,31.28593012120719,15.229001717998642,12.430975013576168,15.229001717998642
27,gamma_ref_enhance,0.15,6.1,0.3,0.5,0.0,1.0,-4.89624599630467,9.739279989850653,2.102217055050133,31.28593012120719,16.099445796201724,11.640188169889145,16.099445796201724
14,gamma_ref_enhance,0.1,6.1,0.2,0.5,0.0,1.0,-3.7627782912244747,7.309305901304236,2.102217055050133,31.28593012120719,12.897519780202767,16.12270072977618,16.12270072977618
48,gamma_ref_enhance,0.2,6.55,0.3,0.5,0.0,1.0,-3.635483416651896,6.650186484281869,2.102217055050133,31.28593012120719,12.148844656914036,16.544947611343442,16.544947611343442
33,gamma_ref_enhance,0.15,6.4,0.3,0.5,0.0,1.0,-3.5582624258897884,6.909702220891754,2.102217055050133,31.28593012120719,12.087447708617193,16.8533021447009,16.8533021447009
28,gamma_ref_enhance,0.15,6.25,0.12,0.5,0.0,1.0,-5.150231608022634,7.8204328023301874,2.102217055050133,31.28593012120719,16.86097227209951,13.823193425247926,16.86097227209951
32,gamma_ref_enhance,0.15,6.4,0.2,0.5,0.0,1.0,-3.559026060909905,6.172926539830951,2.102217055050133,31.28593012120719,12.087447708617193,17.168885850450046,17.168885850450046
26,gamma_ref_enhance,0.15,6.1,0.2,0.5,0.0,1.0,-5.367706950682003,9.838244259421128,2.102217055050133,31.28593012120719,17.51343565188657,9.67796068965723,17.51343565188657
15,gamma_ref_enhance,0.1,6.1,0.3,0.5,0.0,1.0,-3.4161148086219315,7.051816235225857,2.102217055050133,31.28593012120719,11.857884988428202,17.570845288578333,17.570845288578333
16,gamma_ref_enhance,0.1,6.25,0.12,0.5,0.0,1.0,-3.602409092700715,5.9490034751706515,2.102217055050133,31.28593012120719,12.416382223670114,17.67284619217111,17.67284619217111
42,gamma_ref_enhance,0.2,6.25,0.3,0.5,0.0,1.0,-5.4909497465529675,9.943408764290336,2.102217055050133,31.28593012120719,17.711861435251546,9.12431066657154,17.711861435251546
17,gamma_ref_enhance,0.1,6.25,0.2,0.5,0.0,1.0,-3.204754782443797,5.901545180666239,2.102217055050133,31.28593012120719,11.223458975722675,18.149887280512022,18.149887280512022
41,gamma_ref_enhance,0.2,6.25,0.2,0.5,0.0,1.0,-5.8890370041717714,9.50885679104475,2.102217055050133,31.28593012120719,18.904795198446717,9.100265784079735,18.904795198446717
25,gamma_ref_enhance,0.15,6.1,0.12,0.5,0.0,1.0,-5.927401759408764,10.253238751017689,2.102217055050133,31.28593012120719,19.19252667694926,9.873328120427153,19.19252667694926
