mode,layer,D,eta,B,W,amp,amp_ref,partial_ratio,width_ratio,mu,chi2,log_B_ratio,log_B_sum_ratio,share_l1,delta_log_partial,delta_log_width,delta_log_mu,delta_mu,acceptance_mismatch
release_fullsumanchor,1,4.0,0.2,1.9331165831019377,0.17283902795844938,0.00016328794601215666,1.0744940970675008e-05,230.94054389946788,997.3904103799387,0.23154478075590787,,-1.2833623053236848e-11,0.0,1.015335038268006e-11,0.05343465404628226,0.7440431926584826,-0.6906085386122005,-0.23037065314486918,0.0
release_fullsumanchor,2,4.0,0.2,1.9537573358242133,1.567074381508572,0.0014804778760172169,4.874270363819415e-05,922.5387432340955,997.3904103799387,0.9249524896501363,1.4104383568100232,6.296074772629443e-12,0.0,1.015335038268006e-11,-0.21288379624754092,0.7440431926584826,-0.9569269889060238,-1.4833306021507529,1.0
release_fullsumanchor,3,4.0,0.2,1.0000000000125084,0.36474937099929117,0.00034459332653744403,2.740266641607103e-06,15813.502709630548,997.3904103799387,15.85487743320759,,1.2508438729163559e-11,0.0,1.015335038268006e-11,0.7454093313582134,0.7440431926584826,0.0013661386997306894,0.021645173120232286,0.0
release_fullwidthrefamp,1,4.0,0.2,1.9331165831019377,0.17283902795844938,0.00016328794601215666,1.0744940970675026e-05,230.94054389946712,539.8581478735952,0.42778004705328737,,-1.2833623053236848e-11,0.0,1.015335038268006e-11,0.053434654046278895,0.1302073301372665,-0.0767726760909877,-0.03413538684748968,0.0
release_fullwidthrefamp,2,4.0,0.2,1.9537573358242133,1.567074381508572,0.0014804778760172169,4.8742703638194025e-05,922.5387432341,539.8581478735952,1.7088539774157627,0.5961923710346033,6.296074772629443e-12,0.0,1.015335038268006e-11,-0.21288379624753598,0.1302073301372665,-0.3430911263848026,-0.6994291143851263,1.0
release_fullwidthrefamp,3,4.0,0.2,1.0000000000125084,0.36474937099929117,0.00034459332653744403,2.7402666416071107e-06,15813.502709630462,539.8581478735952,29.291958956101755,,1.2508438729163559e-11,0.0,1.015335038268006e-11,0.745409331358208,0.1302073301372665,0.6152020012209415,13.458726696014397,0.0
release_fullwidthrefamp_pointamp,1,4.0,0.2,1.9331165831019377,0.17283902795844938,0.00016328794601215666,1.0744940970675026e-05,230.94054389946712,539.8581478735952,0.42778004705328737,,-1.2833623053236848e-11,0.0,1.015335038268006e-11,0.053434654046278895,0.1302073301372665,-0.0767726760909877,-0.03413538684748968,0.0
release_fullwidthrefamp_pointamp,2,4.0,0.2,1.9537573358242133,1.567074381508572,0.0014804778760172169,4.8742703638194025e-05,922.5387432341,539.8581478735952,1.7088539774157627,0.5961923710346033,6.296074772629443e-12,0.0,1.015335038268006e-11,-0.21288379624753598,0.1302073301372665,-0.3430911263848026,-0.6994291143851263,1.0
release_fullwidthrefamp_pointamp,3,4.0,0.2,1.0000000000125084,0.36474937099929117,0.00034459332653744403,2.7402666416071107e-06,15813.502709630462,539.8581478735952,29.291958956101755,,1.2508438729163559e-11,0.0,1.015335038268006e-11,0.745409331358208,0.1302073301372665,0.6152020012209415,13.458726696014397,0.0
release_fullwidthrefamp_pointamp_widthboost,1,4.0,0.2,1.9331165831019377,0.17283902795844938,0.00016328794601215666,1.0744940970675026e-05,230.94054389946712,539.8581478735952,0.42778004705328737,,-1.2833623053236848e-11,0.0,1.015335038268006e-11,0.053434654046278895,0.1302073301372665,-0.0767726760909877,-0.03413538684748968,0.0
release_fullwidthrefamp_pointamp_widthboost,2,4.0,0.2,1.9537573358242133,1.567074381508572,0.0014804778760172169,4.8742703638194025e-05,922.5387432341,539.8581478735952,1.7088539774157627,0.5961923710346033,6.296074772629443e-12,0.0,1.015335038268006e-11,-0.21288379624753598,0.1302073301372665,-0.3430911263848026,-0.6994291143851263,1.0
release_fullwidthrefamp_pointamp_widthboost,3,4.0,0.2,1.0000000000125084,0.36474937099929117,0.00034459332653744403,2.7402666416071107e-06,15813.502709630462,539.8581478735952,29.291958956101755,,1.2508438729163559e-11,0.0,1.015335038268006e-11,0.745409331358208,0.1302073301372665,0.6152020012209415,13.458726696014397,0.0
release_fullsumanchor,1,4.0,0.6,1.9331165831019377,0.5175730715179406,0.00016662024005912124,1.0744940970675008e-05,240.46254749785018,977.3756838546628,0.24602878040662132,,-1.2833623053236848e-11,0.0,1.015335038268006e-11,0.05343465404628205,0.7440114300484079,-0.6905767760021257,-0.24476561752488588,0.0
release_fullsumanchor,2,4.0,0.6,1.9537573358242133,4.624999076556912,0.0014889075549256333,4.874270363819415e-05,933.0743214643671,977.3756838546628,0.9546731485936135,1.239475028647036,6.296074772629443e-12,0.0,1.015335038268006e-11,-0.21288379624754036,0.7440114300484079,-0.9568952262959483,-1.530914168253215,1.0
release_fullsumanchor,3,4.0,0.6,1.0000000000125084,1.0596034101992902,0.00034111391084756137,2.740266641607103e-06,15495.771846136951,977.3756838546628,15.854468350412935,,1.2508438729163559e-11,0.0,1.015335038268006e-11,0.7454093313582136,0.7440114300484079,0.0013979013098056397,0.02214749845817643,0.0
release_fullwidthrefamp,1,4.0,0.6,1.9331165831019377,0.5175730715179406,0.00016662024005912124,1.0744940970675026e-05,240.46254749784936,529.0386268281587,0.45452739233718736,,-1.2833623053236848e-11,0.0,1.015335038268006e-11,0.05343465404627869,0.13020177169026043,-0.07676711764398185,-0.036267005594319834,0.0
release_fullwidthrefamp,2,4.0,0.6,1.9537573358242133,4.624999076556912,0.0014889075549256333,4.8742703638194025e-05,933.0743214643717,529.0386268281587,1.7637168141362407,0.8268120055338546,6.296074772629443e-12,0.0,1.015335038268006e-11,-0.21288379624753556,0.13020177169026043,-0.343085567937796,-0.7218705027105878,1.0
release_fullwidthrefamp,3,4.0,0.6,1.0000000000125084,1.0596034101992902,0.00034111391084756137,2.7402666416071107e-06,15495.771846136866,529.0386268281587,29.29043563234972,,1.2508438729163559e-11,0.0,1.015335038268006e-11,0.7454093313582082,0.13020177169026043,0.6152075596679477,13.458114780394961,0.0
release_fullwidthrefamp_pointamp,1,4.0,0.6,1.9331165831019377,0.5175730715179406,0.00016662024005912124,1.0744940970675026e-05,240.46254749784936,529.0386268281587,0.45452739233718736,,-1.2833623053236848e-11,0.0,1.015335038268006e-11,0.05343465404627869,0.13020177169026043,-0.07676711764398185,-0.036267005594319834,0.0
