summary_type,target,metric,uniform_p95_rel_err,prolate_p95_rel_err,uniform_max_rel_err,prolate_max_rel_err,prolate_over_uniform_p95_ratio,better_method_by_p95,witness,uniform_anchor_l1,prolate_anchor_l1,uniform_anchor_linf,prolate_anchor_linf,uniform_affine_l1,prolate_affine_l1,uniform_affine_linf,prolate_affine_linf,better_method_anchor,better_method_affine
exact_target,omega_exact_fine,E1,0.5253611841330202,0.7898119813109156,0.543187005191066,0.7961879198896861,1.5033695011448296,uniform_aux,,,,,,,,,,,
exact_target,omega_exact_fine,E2,0.5300210578565854,0.8611533236457086,0.5442156760304732,0.8753186588908753,1.6247530374136983,uniform_aux,,,,,,,,,,,
exact_target,omega_exact_fine,omega1,0.2778056270529179,0.4778432117758125,0.291214843343146,0.4835583294575049,1.7200631133536772,uniform_aux,,,,,,,,,,,
exact_target,omega_exact_fine,omega2,0.2779384522084593,0.47047204791397107,0.2913592878807741,0.47535472183681465,1.6927202557820527,uniform_aux,,,,,,,,,,,
exact_target,omega_exact_fine,delta_omega12,5.156054769785943,0.9045281950179244,5.65122368006027,0.9197010410676701,0.17543029223009524,prolate_aux,,,,,,,,,,,
witness_shape,,,,,,,,,localized_fine_omega1,0.42465203164863385,0.2849113876927545,0.4164410597895064,0.20578747634447647,5.488038094234497,2.9192760788517003,2.7440190471172388,1.4596380394258608,prolate_aux,prolate_aux
witness_shape,,,,,,,,,localized_fine_delta_proxy,1.3837326277377344,1.3841997484690831,0.783860465129657,0.7832955248726089,1.3005300251857355,1.2971317163103229,0.6502650125928681,0.6485658581551618,uniform_aux,prolate_aux
witness_shape,,,,,,,,,chi_fp2d_fine_omega1,0.39141340732399654,0.3648942679931325,0.3680412793361262,0.23737057619147428,3.3603786857160407,5.231319921372894,1.6801893428580277,2.615659960686439,prolate_aux,uniform_aux
witness_shape,,,,,,,,,chi_fp2d_fine_omega2,0.38952466445093104,0.3387982217089345,0.35606537783335923,0.22654610935679687,3.206074956606395,5.033423616291968,1.6030374783031953,2.516711808145986,prolate_aux,uniform_aux
witness_shape,,,,,,,,,chi_fp2d_fine_delta_proxy,0.5981506267671187,0.5986177474984673,0.3903972865195243,0.3898323462624762,0.5780472932491086,0.5746489843736962,0.2890236466245544,0.2873244921868481,uniform_aux,prolate_aux
