mode,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch
base_mode,5.627118644067797,10.271915904250342,10.272608773798765,0.0
base_mode,5.898305084745763,1.3699978524761036,1.3721439395038004,0.0
base_mode,6.169491525423728,25.887561191706766,25.89060277919198,0.0
base_mode,6.4406779661016955,31.28630580743782,31.28639526077564,0.0
base_mode,6.711864406779661,7.462467784829659,7.462495924022775,0.0
partial2_mode,5.627118644067797,10.271915903288757,10.272608772837145,0.0
partial2_mode,5.898305084745763,13.70432193062139,13.705888322971532,0.0
partial2_mode,6.169491525423728,25.887561184495652,25.890602771980696,0.0
partial2_mode,6.4406779661016955,31.28630580743782,31.286395260775656,0.0
partial2_mode,6.711864406779661,7.462467784829659,7.462495924022772,0.0
