center_D,sigma_D,D,slice_max_abs_delta_mu,slice_p95_abs_delta_mu,slice_acceptance_mismatch
5.8,0.1,4.813559322033898,1.3301457494723916,1.3287561778791837,0.0
5.8,0.1,5.3559322033898304,14.190494888355527,14.183470516018975,0.0
5.8,0.1,5.627118644067797,12.20597549582957,12.205596693393936,0.0
5.8,0.1,5.898305084745763,40.50385104628437,40.503314620970315,0.0
5.8,0.1,6.169491525423728,31.63925706828165,31.638138933956597,0.0
5.8,0.1,6.4406779661016955,22.083369386143715,22.08328817061404,0.0
5.8,0.1,6.711864406779661,20.815181678336028,20.815169334682572,0.0
5.8,0.1,7.254237288135593,0.13179658489549384,0.13179656828091924,0.0
5.8,0.1,8.067796610169491,0.06264099433679249,0.06264099401283607,0.0
5.8,0.15,4.813559322033898,1.3301457500317664,1.3287561784380753,0.0
5.8,0.15,5.3559322033898304,14.163893945022583,14.156856211167117,0.0
5.8,0.15,5.627118644067797,10.978914252185227,10.978598148065863,0.0
5.8,0.15,5.898305084745763,39.61871192976996,39.618137965192666,0.0
5.8,0.15,6.169491525423728,31.39973567636764,31.39861032887447,0.0
5.8,0.15,6.4406779661016955,22.08412493222447,22.084043714658293,0.0
5.8,0.15,6.711864406779661,20.81518167555285,20.8151693318994,0.0
5.8,0.15,7.254237288135593,0.13179658489549384,0.13179656828091924,0.0
5.8,0.15,8.067796610169491,0.06264099433679249,0.06264099401283607,0.0
5.8,0.2,4.813559322033898,1.330152932011531,1.3287633541595483,0.0
5.8,0.2,5.3559322033898304,14.0083070551375,14.001191170776394,0.0
5.8,0.2,5.627118644067797,10.229569076980667,10.22929126164356,0.0
5.8,0.2,5.898305084745763,39.24374024842032,39.24315038107657,0.0
5.8,0.2,6.169491525423728,30.715083477241585,30.713937511500596,0.0
5.8,0.2,6.4406779661016955,22.12424879827344,22.124167472557517,0.0
5.8,0.2,6.711864406779661,20.815172654814667,20.815160311180087,0.0
5.8,0.2,7.254237288135593,0.13179658489448265,0.1317965682799085,0.0
5.8,0.2,8.067796610169491,0.06264099433679249,0.06264099401283607,0.0
6.0,0.1,4.813559322033898,1.3301457494723916,1.3287561778791837,0.0
6.0,0.1,5.3559322033898304,14.190606455255555,14.183582138958489,0.0
6.0,0.1,5.627118644067797,13.128296518498786,13.127870588851295,0.0
6.0,0.1,5.898305084745763,40.598736894716865,40.59820449356666,0.0
6.0,0.1,6.169491525423728,30.423529795499576,30.422375049642085,0.0
6.0,0.1,6.4406779661016955,22.083788898468597,22.083707681808164,0.0
6.0,0.1,6.711864406779661,20.81518167833311,20.815169334679656,0.0
