D,level,rho_max,z_max,dr,dz,Nr,Nz,E1,E2,DeltaE,M_LR,chi_LR,omega1,Gamma_ref,M_sym,norm1,norm2,overlap12,build_s,solve_s,grid_index
4.0,fine,3.0,8.0,0.06,0.03,50,533,2.066705423812488,2.5669612895002754,0.5002558656877873,0.2501279328438937,0.00052658181469949,1.7512011374518028,475.00298312929175,-2.387347284530196e-06,0.9999999999999996,1.0,1.9290667153948338e-16,0.007436037063598633,0.10762500762939453,0
4.271186440677966,fine,3.0,8.135593220338983,0.06,0.03,50,542,2.0202268770047445,2.5045998846372326,0.48437300763248814,0.24218650381624407,0.000554539279260162,1.7378799949952657,436.7346243522315,-5.486796488129107e-06,1.0,0.9999999999999999,3.458604930228759e-17,0.003152132034301758,0.09272599220275879,1
4.5423728813559325,fine,3.0,8.271186440677965,0.06,0.03,50,551,2.44520717393829,2.9834797562635287,0.5382725823252388,0.2691362911626194,0.0002987362172957779,1.8561269282940458,900.9161781550855,1.792521543117047e-05,1.0,0.9999999999999998,3.469446951953614e-18,0.004021883010864258,0.08522200584411621,2
4.813559322033898,fine,3.0,8.406779661016948,0.06,0.03,50,560,2.3885820441034364,2.9096854600773363,0.5211034159738999,0.26055170798694993,0.00031680709250514786,1.8408101597132271,822.4301606590963,1.8974561614601817e-05,1.0,0.9999999999999999,2.544622498823479e-16,0.0031290054321289062,0.08853316307067871,3
5.084745762711864,fine,3.0,8.542372881355933,0.06,0.03,50,569,2.3345433628110426,2.839390778162201,0.5048474153511586,0.2524237076755793,0.0003352973412873796,1.8260732085026172,752.8353988922023,1.8876713289401286e-05,0.9999999999999999,1.0000000000000002,-2.979387569990166e-16,0.00544428825378418,0.1382768154144287,4
5.3559322033898304,fine,3.0,8.677966101694915,0.06,0.03,50,579,2.2773664593548246,2.7651024298468845,0.48773597049205986,0.24386798524602993,0.00035626016425235034,1.8103498168461323,684.522182708282,-1.5705687589206186e-05,1.0000000000000002,1.0000000000000004,-1.3270634591222574e-16,0.006783008575439453,0.11009621620178223,5
5.627118644067797,fine,3.0,8.813559322033898,0.06,0.03,50,588,2.2282816334460906,2.7014782710779155,0.47319663763182485,0.23659831881591242,0.0003755509545519471,1.7967419495982417,630.0032417656539,1.1579349307367465e-05,1.0000000000000002,1.0,1.2576745200831851e-16,0.004658222198486328,0.11581277847290039,6
5.898305084745763,fine,3.0,8.949152542372882,0.06,0.03,50,597,2.1813265481372897,2.640706580246449,0.45938003210915923,0.22969001605457962,0.0003951816269869163,1.7836273568594112,581.2264547971614,7.658282754397245e-06,1.0,0.9999999999999999,1.0202342443088597e-16,0.005242824554443359,0.10843491554260254,7
6.169491525423728,fine,3.0,9.084745762711865,0.06,0.03,50,606,2.136382725903186,2.5826069874193767,0.4462242615161909,0.22311213075809544,0.00041511018665719003,1.7709835476094027,537.4768866906845,-4.2086732806193646e-06,1.0,0.9999999999999998,1.5048726154098802e-16,0.003226757049560547,0.10001111030578613,8
6.4406779661016955,fine,3.0,9.220338983050848,0.06,0.03,50,615,2.0933424471056483,2.527012560849496,0.4336701137438479,0.21683505687192395,0.00043528679503544823,1.758790052026008,498.1429699797479,-1.4036684666758196e-06,1.0,0.9999999999999998,-1.032702569292443e-16,0.006002902984619141,0.09871101379394531,9
6.711864406779661,fine,3.0,9.35593220338983,0.06,0.03,50,624,2.0521071488716807,2.4737694599331372,0.4216623110614566,0.2108311555307283,0.00045565487426463025,1.747028090464398,462.69922135911156,6.630787500744355e-07,0.9999999999999999,1.0000000000000004,-3.903127820947816e-18,0.003354310989379883,0.10806083679199219,10
6.983050847457627,fine,3.0,9.491525423728813,0.06,0.03,50,633,2.422736418941603,2.885238732634532,0.4625023136929287,0.23125115684646436,0.00026609082899812207,1.8500638959078153,869.0684970886253,1.0020616223969642e-05,1.0,1.0,8.239936510889834e-18,0.003347158432006836,0.10733175277709961,11
7.254237288135593,fine,3.0,9.627118644067796,0.06,0.03,50,642,2.3737840776263006,2.8234518083521434,0.44966773072584276,0.22483386536292138,0.00028003780408858956,1.836786345121909,802.8696914499284,7.819179246526904e-06,0.9999999999999999,1.0,-2.168404344971009e-17,0.0057680606842041016,0.10225200653076172,12
7.525423728813559,fine,3.0,9.762711864406779,0.06,0.03,50,651,2.326794189058015,2.764221945509284,0.43742775645126875,0.21871387822563437,0.00029426167538217443,1.8239501607933302,743.2632127224117,-5.610278458419026e-06,1.0000000000000002,0.9999999999999999,3.209238430557093e-17,0.0034449100494384766,0.11269783973693848,13
7.796610169491526,fine,3.0,9.898305084745763,0.06,0.03,50,660,2.2816587416718943,2.7074042944222483,0.425745552750354,0.212872776375177,0.00030874954848086807,1.8115349131805034,689.46749047106,3.589680970665021e-06,1.0,1.0,9.238080135934301e-17,0.003454923629760742,0.10974907875061035,14
8.067796610169491,fine,3.0,10.033898305084746,0.06,0.03,50,669,2.2382790335769496,2.6528626093978,0.4145835758208505,0.20729178791042524,0.000323484609859588,1.7995218902744556,640.8088100401516,1.9043341769017606e-06,0.9999999999999999,0.9999999999999999,-1.1605029003741718e-16,0.003449678421020508,0.18420028686523438,15
8.338983050847457,fine,3.0,10.169491525423728,0.06,0.03,50,678,2.196564734588693,2.6004691645363827,0.4039044299476897,0.20195221497384486,0.0003384459717582209,1.7878939382940737,596.7044427348526,6.639797370996843e-07,0.9999999999999999,1.0000000000000002,5.1201447595627947e-17,0.0053560733795166016,0.11804795265197754,16
8.610169491525424,fine,3.0,10.305084745762713,0.06,0.03,50,687,2.156432966621202,2.5501046180726177,0.3936716514514158,0.1968358257257079,0.00035360875405870815,1.7766352936439156,556.6486221464644,7.377106219824866e-08,1.0,1.0,-3.5610620355286393e-16,0.0035300254821777344,0.13568735122680664,17
8.881355932203391,fine,3.0,10.440677966101696,0.06,0.03,50,696,2.1178074271371936,2.501657807864831,0.3838503807276372,0.1919251903638186,0.0003689443806368159,1.7657314142125902,520.2008769791978,3.0021023543070214e-07,1.0,1.0,3.8411927718445815e-16,0.0036280155181884766,0.11458778381347656,18
9.152542372881356,fine,3.0,10.576271186440678,0.06,0.03,50,705,2.4550254726185345,2.871969570427855,0.4169440978093206,0.2084720489046603,0.00022780640990313205,1.8587698815664446,915.1281080866289,-3.406323223083975e-06,0.9999999999999997,1.0000000000000002,-5.957690937807847e-17,0.0036821365356445312,0.11412477493286133,19
9.423728813559322,fine,3.0,10.711864406779661,0.06,0.03,50,714,2.41011190264216,2.8166281582994346,0.4065162556572748,0.2032581278286374,0.0002386824312014784,1.846648830352474,851.5839511332177,-4.7556935823292085e-06,0.9999999999999998,1.0,1.3633842319005218e-17,0.0036878585815429688,0.11459898948669434,20
