alpha_center,taper,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.8,0.0,4.0,0.2,1.6773608721313715,2.408283091800889,-0.7309222196695175,-0.3616924347792377,1.0
0.8,0.01,4.0,0.2,1.6773612555391568,2.408283091800889,-0.7309218362617322,-0.3616922062012687,1.0
0.8,0.02,4.0,0.2,1.6773616389470296,2.408283091800889,-0.7309214528538595,-0.3616919776232998,1.0
0.8,0.03,4.0,0.2,1.6773620223549888,2.408283091800889,-0.7309210694459003,-0.3616917490453317,1.0
0.8,0.04,4.0,0.2,1.677362405763037,2.408283091800889,-0.7309206860378521,-0.3616915204673625,1.0
0.8125,0.0,4.0,0.2,1.6930340051858053,2.408283091800889,-0.7152490866150838,-0.3523918948710061,1.0
0.8125,0.01,4.0,0.2,1.6930343921761224,2.408283091800889,-0.7152486996247667,-0.352391666293038,1.0
0.8125,0.02,4.0,0.2,1.6930347791665292,2.408283091800889,-0.7152483126343598,-0.35239143771506903,1.0
0.8125,0.03,4.0,0.2,1.6930351661570249,2.408283091800889,-0.7152479256438642,-0.3523912091371001,1.0
0.8125,0.04,4.0,0.2,1.693035553147609,2.408283091800889,-0.7152475386532802,-0.35239098055913093,1.0
0.825,0.0,4.0,0.2,1.7088535868094308,2.408283091800889,-0.6994295049914583,-0.3430913549627745,1.0
0.825,0.01,4.0,0.2,1.7088539774157543,2.408283091800889,-0.6994291143851348,-0.34309112638480743,1.0
0.825,0.02,4.0,0.2,1.708854368022172,2.408283091800889,-0.6994287237787171,-0.34309089780683755,1.0
0.825,0.03,4.0,0.2,1.708854758628676,2.408283091800889,-0.6994283331722131,-0.3430906692288694,1.0
0.825,0.04,4.0,0.2,1.7088551492352706,2.408283091800889,-0.6994279425656185,-0.34309044065090044,1.0
0.8,0.0,4.0,0.6,1.731213995949705,2.4855873168468285,-0.7543733208971235,-0.36168608225722193,1.0
0.8,0.01,4.0,0.6,1.7312143916502358,2.4855873168468285,-0.7543729251965927,-0.3616858536890111,1.0
0.8,0.02,4.0,0.6,1.731214787350858,2.4855873168468285,-0.7543725294959704,-0.3616856251207998,1.0
0.8,0.03,4.0,0.6,1.7312151830515694,2.4855873168468285,-0.7543721337952591,-0.36168539655258924,1.0
0.8,0.04,4.0,0.6,1.7312155787523726,2.4855873168468285,-0.7543717380944559,-0.3616851679843777,1.0
0.8125,0.0,4.0,0.6,1.7473896347469131,2.4855873168468285,-0.7381976820999154,-0.35238593938161666,1.0
0.8125,0.01,4.0,0.6,1.747390034144681,2.4855873168468285,-0.7381972827021475,-0.35238571081340586,1.0
0.8125,0.02,4.0,0.6,1.7473904335425414,2.4855873168468285,-0.7381968833042871,-0.3523854822451946,1.0
0.8125,0.03,4.0,0.6,1.7473908329404915,2.4855873168468285,-0.7381964839063371,-0.3523852536769841,1.0
0.8125,0.04,4.0,0.6,1.7473912323385348,2.4855873168468285,-0.7381960845082938,-0.35238502510877245,1.0
0.825,0.0,4.0,0.6,1.763716411006682,2.4855873168468285,-0.7218709058401465,-0.34308579650601145,1.0
0.825,0.01,4.0,0.6,1.7637168141362323,2.4855873168468285,-0.7218705027105963,-0.3430855679378008,1.0
0.825,0.02,4.0,0.6,1.7637172172658744,2.4855873168468285,-0.7218700995809542,-0.34308533936959035,1.0
0.825,0.03,4.0,0.6,1.7637176203956104,2.4855873168468285,-0.7218696964512181,-0.34308511080137877,1.0
0.825,0.04,4.0,0.6,1.7637180235254384,2.4855873168468285,-0.7218692933213902,-0.34308488223316735,1.0
0.8,0.0,4.0,1.0,1.785857098965561,2.564024495423726,-0.7781673964581648,-0.3616796251343924,1.0
0.8,0.01,4.0,1.0,1.7858575071380585,2.564024495423726,-0.7781669882856674,-0.3616793965760991,1.0
0.8,0.02,4.0,1.0,1.7858579153106469,2.564024495423726,-0.778166580113079,-0.36167916801780686,1.0
0.8,0.03,4.0,1.0,1.7858583234833305,2.564024495423726,-0.7781661719403954,-0.3616789394595138,1.0
0.8,0.04,4.0,1.0,1.7858587316561059,2.564024495423726,-0.77816576376762,-0.3616787109012215,1.0
0.8125,0.0,4.0,1.0,1.80254256943184,2.564024495423726,-0.7614819259918859,-0.35237988582896346,1.0
0.8125,0.01,4.0,1.0,1.8025429814179383,2.564024495423726,-0.7614815140057876,-0.3523796572706713,1.0
0.8125,0.02,4.0,1.0,1.8025433934041326,2.564024495423726,-0.7614811020195933,-0.352379428712378,1.0
0.8125,0.03,4.0,1.0,1.8025438053904195,2.564024495423726,-0.7614806900333064,-0.35237920015408575,1.0
0.8125,0.04,4.0,1.0,1.802544217376799,2.564024495423726,-0.761480278046927,-0.3523789715957943,1.0
0.825,0.0,4.0,1.0,1.8193839341882265,2.564024495423726,-0.7446405612354994,-0.34308014652353563,1.0
0.825,0.01,4.0,1.0,1.819384350023561,2.564024495423726,-0.744640145400165,-0.34307991796524234,1.0
0.825,0.02,4.0,1.0,1.8193847658589886,2.564024495423726,-0.7446397295647373,-0.3430796894069501,1.0
0.825,0.03,4.0,1.0,1.8193851816945112,2.564024495423726,-0.7446393137292147,-0.3430794608486577,1.0
0.825,0.04,4.0,1.0,1.8193855975301303,2.564024495423726,-0.7446388978935956,-0.34307923229036463,1.0
