taper_peak,center_D,sigma_D,D,eta,delta_mu,acceptance_mismatch,refamp_beta_new
-1.0,5.7,0.08,6.711864406779661,0.39,-0.21504736030247074,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,0.5800000000000001,-0.21502782975811385,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,0.77,-0.2150082997991163,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,0.96,-0.21498876991786986,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,1.15,-0.21496924125160888,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,1.34,-0.2149497127326221,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,1.53,-0.21493018403095832,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,1.72,-0.2149106550837736,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,1.91,-0.2148911258333115,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,2.1,-0.21487159856048876,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,2.29,-0.2148520730258774,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,2.4800000000000004,-0.21483254719030143,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,2.6700000000000004,-0.2148130211527608,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,2.8600000000000003,-0.21479349485131038,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,3.0500000000000003,-0.2147739683180312,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,3.24,-0.21475444151986167,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,3.43,-0.2147349144493056,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,3.62,-0.21471538712178173,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,3.81,-0.21469585958978854,0.0,1.944616747494886e-07
-1.0,5.7,0.08,6.711864406779661,4.0,-0.21467633176576584,0.0,1.944616747494886e-07
-1.0,5.7,0.12,5.627118644067797,0.2,14.00897388488547,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,0.39,14.009836835868796,0.0,0.15815834894790604
