width_power_base,turnoff_lo,turnoff_hi,tail_reboost_max,objective_width_focus,width_focus_p95_abs_delta_mu,width_focus_acceptance_mismatch,d4p0_max_abs_delta_mu,d4p0_acceptance_mismatch,d4p8_max_abs_delta_mu,d4p8_p95_abs_delta_mu,d6p4_max_abs_delta_mu,d7p2_max_abs_delta_mu,d7p2_p95_abs_delta_mu
0.8,40.0,80.0,0.15,25.129893634164752,25.000252533446428,0.06504065040650407,0.1306880131025432,0.1951219512195122,25.129893634164752,25.087416465116682,23.051202627246127,1.022838568768722,1.0228385226205137
0.8,40.0,80.0,0.1,25.129893634164752,25.000252533446428,0.13008130081300814,0.39715632113809374,0.3902439024390244,25.129893634164752,25.087416465116682,23.051202627246127,1.022838568768722,1.0228385226205137
0.8,40.0,80.0,0.05,25.129893634164752,25.000252533446428,0.13008130081300814,0.7122486736370541,0.3902439024390244,25.129893634164752,25.087416465116682,23.051202627246127,1.022838568768722,1.0228385226205137
0.8,40.0,80.0,0.0,25.129893634164752,25.000252533446428,0.13008130081300814,0.9786627326303692,0.3902439024390244,25.129893634164752,25.087416465116682,23.051202627246127,1.022838568768722,1.0228385226205137
0.75,40.0,80.0,0.05,32.28331016471443,32.07785261712403,0.13008130081300814,0.7122486736370541,0.3902439024390244,32.28331016471443,32.215942043544146,13.999274743361546,1.022838568768722,1.0228385226205137
0.75,40.0,80.0,0.1,32.28331016471443,32.07785261712403,0.13008130081300814,0.39715632113809374,0.3902439024390244,32.28331016471443,32.215942043544146,13.999274743361546,1.022838568768722,1.0228385226205137
0.75,40.0,80.0,0.0,32.28331016471443,32.07785261712403,0.13008130081300814,0.9786627326303692,0.3902439024390244,32.28331016471443,32.215942043544146,13.999274743361546,1.022838568768722,1.0228385226205137
0.75,40.0,80.0,0.15,32.28331016471443,32.07785261712403,0.06504065040650407,0.1306880131025432,0.1951219512195122,32.28331016471443,32.215942043544146,13.999274743361546,1.022838568768722,1.0228385226205137
0.8,50.0,100.0,0.15,38.99539469763636,38.85612013224492,0.06504065040650407,0.1306880131025432,0.1951219512195122,38.99539469763636,38.949796574326825,6.615337374710364,1.022838568768722,1.0228385226205137
0.8,50.0,100.0,0.1,38.99539469763636,38.85612013224492,0.13008130081300814,0.39715632113809374,0.3902439024390244,38.99539469763636,38.949796574326825,6.615337374710364,1.022838568768722,1.0228385226205137
0.8,50.0,100.0,0.05,38.99539469763636,38.85612013224492,0.13008130081300814,0.7122486736370541,0.3902439024390244,38.99539469763636,38.949796574326825,6.615337374710364,1.022838568768722,1.0228385226205137
0.8,50.0,100.0,0.0,38.99539469763636,38.85612013224492,0.13008130081300814,0.9786627326303692,0.3902439024390244,38.99539469763636,38.949796574326825,6.615337374710364,1.022838568768722,1.0228385226205137
0.7,40.0,80.0,0.15,40.7658291265652,40.46261307565353,0.06504065040650407,0.1306880131025432,0.1951219512195122,40.7658291265652,40.66635271522263,2.9405302992342186,1.022838568768722,1.0228385226205137
0.7,40.0,80.0,0.1,40.7658291265652,40.46261307565353,0.13008130081300814,0.39715632113809374,0.3902439024390244,40.7658291265652,40.66635271522263,2.9405302992342186,1.022838568768722,1.0228385226205137
0.7,40.0,80.0,0.05,40.7658291265652,40.46261307565353,0.13008130081300814,0.7122486736370541,0.3902439024390244,40.7658291265652,40.66635271522263,2.9405302992342186,1.022838568768722,1.0228385226205137
0.7,40.0,80.0,0.0,40.7658291265652,40.46261307565353,0.13008130081300814,0.9786627326303692,0.3902439024390244,40.7658291265652,40.66635271522263,2.9405302992342186,1.022838568768722,1.0228385226205137
