mode,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch
base_mode,5.627118644067797,10.271915904250342,10.272608773798765,0.0
base_mode,5.898305084745763,1.3699978524761036,1.3721439395038004,0.0
base_mode,6.169491525423728,25.887561191706766,25.89060277919198,0.0
base_mode,6.4406779661016955,31.28630580743782,31.28639526077564,0.0
base_mode,6.711864406779661,7.462467784829659,7.462495924022775,0.0
pointamp3_mode,5.627118644067797,10.271532554854417,10.272225409110696,0.0
pointamp3_mode,5.898305084745763,1.375105943955262,1.3772517909103215,0.0
pointamp3_mode,6.169491525423728,10.46318487249043,10.465686611932242,0.0
pointamp3_mode,6.4406779661016955,0.9396625261589975,0.9396701969215542,0.0
pointamp3_mode,6.711864406779661,9.92171075195872,9.921742395338722,0.0
