candidate,label,complexity,case,case_label,target_D,acceptance_mismatch,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu
v3_case_specific,v3 case-specific,6,D21E21_holdout,D21 x E21 holdout,4.0,0.0,1.31625515880312,1.3414196903804836
v3_case_specific,v3 case-specific,6,D21E21_holdout,D21 x E21 holdout,4.8,0.0,1.7221990709067132,1.7278372466307577
v3_case_specific,v3 case-specific,6,D21E21_holdout,D21 x E21 holdout,6.4,0.0,0.584503983963188,0.5847296668955835
v3_case_specific,v3 case-specific,6,D21E21_holdout,D21 x E21 holdout,7.2,0.0,0.0013228962170495073,0.0013240551344191331
v3_case_specific,v3 case-specific,6,D21E21_holdout,D21 x E21 holdout,8.0,0.0,0.020225035942566194,0.02022508487722874
v3_case_specific,v3 case-specific,6,D60E21_release,D60 x E21 release,4.0,0.0,0.07080901190221578,0.07523344917187558
v3_case_specific,v3 case-specific,6,D60E21_release,D60 x E21 release,4.8,0.0,2.8939043041095758,2.907318402349574
v3_case_specific,v3 case-specific,6,D60E21_release,D60 x E21 release,6.4,0.0,5.390764571662515,5.390934293700056
v3_case_specific,v3 case-specific,6,D60E21_release,D60 x E21 release,7.2,0.0,0.28706979832161394,0.28707081192518746
v3_case_specific,v3 case-specific,6,D60E21_release,D60 x E21 release,8.0,0.0,0.23056999754572605,0.23057001943564126
shared_geom_casebeta,shared geom + case beta,4,D21E21_holdout,D21 x E21 holdout,4.0,0.0,1.3213070820932087,1.346537023436949
shared_geom_casebeta,shared geom + case beta,4,D21E21_holdout,D21 x E21 holdout,4.8,0.0,1.7526148728577393,1.758283666120315
shared_geom_casebeta,shared geom + case beta,4,D21E21_holdout,D21 x E21 holdout,6.4,0.0,3.2177563528535984,3.217976228968041
shared_geom_casebeta,shared geom + case beta,4,D21E21_holdout,D21 x E21 holdout,7.2,0.0,0.02100443251833406,0.021005575100377705
shared_geom_casebeta,shared geom + case beta,4,D21E21_holdout,D21 x E21 holdout,8.0,0.0,0.01857948139680854,0.018579529957207352
shared_geom_casebeta,shared geom + case beta,4,D60E21_release,D60 x E21 release,4.0,0.0,0.07047018557763951,0.07490364953546469
shared_geom_casebeta,shared geom + case beta,4,D60E21_release,D60 x E21 release,4.8,0.0,2.915336631847806,2.928747333169186
shared_geom_casebeta,shared geom + case beta,4,D60E21_release,D60 x E21 release,6.4,0.0,6.25419381848765,6.254366856865651
shared_geom_casebeta,shared geom + case beta,4,D60E21_release,D60 x E21 release,7.2,0.0,0.30958736507732265,0.30958838867166216
shared_geom_casebeta,shared geom + case beta,4,D60E21_release,D60 x E21 release,8.0,0.0,0.23762040438968723,0.2376204265805386
shared_center_casebeta,shared center + case beta/width,5,D21E21_holdout,D21 x E21 holdout,4.0,0.0,1.3261678125137326,1.351466226682767
shared_center_casebeta,shared center + case beta/width,5,D21E21_holdout,D21 x E21 holdout,4.8,0.0,1.7740438480848457,1.779735606890803
shared_center_casebeta,shared center + case beta/width,5,D21E21_holdout,D21 x E21 holdout,6.4,0.0,2.769751429012672,2.769972392508187
shared_center_casebeta,shared center + case beta/width,5,D21E21_holdout,D21 x E21 holdout,7.2,0.0,0.02640607193442035,0.026407208990529174
shared_center_casebeta,shared center + case beta/width,5,D21E21_holdout,D21 x E21 holdout,8.0,0.0,0.019622759109403365,0.019622807571117562
shared_center_casebeta,shared center + case beta/width,5,D60E21_release,D60 x E21 release,4.0,0.0,0.06826243652117592,0.07273558594784935
shared_center_casebeta,shared center + case beta/width,5,D60E21_release,D60 x E21 release,4.8,0.0,2.9231700217992937,2.9365756145065554
shared_center_casebeta,shared center + case beta/width,5,D60E21_release,D60 x E21 release,6.4,0.0,5.916310822676152,5.916482487934651
shared_center_casebeta,shared center + case beta/width,5,D60E21_release,D60 x E21 release,7.2,0.0,0.3138631979686419,0.31386422164672556
shared_center_casebeta,shared center + case beta/width,5,D60E21_release,D60 x E21 release,8.0,0.0,0.2407235454437182,0.2407235676709445
shared_width_casebeta,shared width + case beta/center,5,D21E21_holdout,D21 x E21 holdout,4.0,0.0,1.3221487619922812,1.3474011399942603
shared_width_casebeta,shared width + case beta/center,5,D21E21_holdout,D21 x E21 holdout,4.8,0.0,1.7413760148152804,1.747036408110839
shared_width_casebeta,shared width + case beta/center,5,D21E21_holdout,D21 x E21 holdout,6.4,0.0,0.8801072779526535,0.8803323391128473
