combo_id,mode,omega,m,phase,center_D,width_D,boost,boost_center,boost_width,region,p95_abs_delta_base,p95_abs_delta_cf,max_abs_delta_base,max_abs_delta_cf,mean_abs_improvement,improved_fraction,worsened_fraction,p95_abs_cf_shift_vs_base,acceptance_flip_fraction
1,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.82,0.05,D60_hotspot,31.28593012120719,23.98289484080099,31.28639526077564,23.998363808774414,6.773680769805656,1.0,0.0,29.067672623000117,0.0
1,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.82,0.05,D21_guard,2.102217055050133,12.3286299857918,2.102232425909044,12.328699490034651,-3.4089778278216203,0.0,1.0,10.226482975262279,0.0
2,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.82,0.08,D60_hotspot,31.28593012120719,25.12100353697671,31.28639526077564,25.13667963657707,6.2129274730749104,1.0,0.0,27.401480493491352,0.0
2,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.82,0.08,D21_guard,2.102217055050133,11.412291180444479,2.102232425909044,11.412353069328603,-3.103537343727358,0.0,1.0,9.31014416991496,0.0
3,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.82,0.1,D60_hotspot,31.28593012120719,26.509122471717838,31.28639526077564,26.52505120389563,5.808437435826861,0.8,0.2,26.76015101634439,0.0
3,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.82,0.1,D21_guard,2.102217055050133,11.162603785486677,2.102232425909044,11.162663599309631,-3.020309788217212,0.0,1.0,9.060456774957158,0.0
4,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.82,0.12,D60_hotspot,31.28593012120719,27.870724892139563,31.28639526077564,27.886901430986043,5.460702867624865,0.8,0.2,26.35194443997605,0.0
4,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.82,0.12,D21_guard,2.102217055050133,11.02012480357574,2.102232425909044,11.020183433307665,-2.972817693640209,0.0,1.0,8.91797779304622,0.0
5,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.86,0.05,D60_hotspot,31.28593012120719,23.94349858136059,31.28639526077564,23.958960379358643,6.338260184758337,1.0,0.0,26.851151311621663,0.0
5,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.86,0.05,D21_guard,2.102217055050133,10.709021650456878,2.102232425909044,10.709077694723575,-2.8691186064277447,0.0,1.0,8.606874639927359,0.0
6,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.86,0.08,D60_hotspot,31.28593012120719,24.309751131045253,31.28639526077564,24.325279585670003,6.083717708666472,1.0,0.0,25.942364178063446,0.0
6,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.86,0.08,D21_guard,2.102217055050133,10.689656427370194,2.102232425909044,10.68971231069957,-2.8626636543077706,0.0,1.0,8.587509416840675,0.0
7,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.86,0.1,D60_hotspot,31.28593012120719,25.15556976670532,31.28639526077564,25.17125215723327,5.870443404485657,1.0,0.0,25.69929768704904,0.0
7,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.86,0.1,D21_guard,2.102217055050133,10.68517555543397,2.102232425909044,10.685231401524447,-2.8611700586143693,0.0,1.0,8.583028544904451,0.0
8,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.86,0.12,D60_hotspot,31.28593012120719,26.26980133611024,31.28639526077564,26.285686512715245,5.6332008942836165,0.8,0.2,25.561374776995343,0.0
8,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.86,0.12,D21_guard,2.102217055050133,10.6827396154279,2.102232425909044,10.682795441274166,-2.860358093989126,0.0,1.0,8.580592604898381,0.0
9,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.9,0.05,D60_hotspot,31.28593012120719,23.94142423284578,31.28639526077564,23.956885653319986,6.01665840586555,1.0,0.0,25.24104214780712,0.0
9,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.9,0.05,D21_guard,2.102217055050133,11.69822523040493,2.102232425909044,11.698289495583012,-3.1988468887660524,0.0,1.0,9.59607821987541,0.0
10,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.9,0.08,D60_hotspot,31.28593012120719,24.031198172599964,31.28639526077564,24.046675931603403,6.000016569653154,1.0,0.0,25.235291386364153,0.0
10,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.9,0.08,D21_guard,2.102217055050133,11.107456808444754,2.102232425909044,11.107516163961222,-3.0019278106498253,0.0,1.0,9.005309797915235,0.0
11,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.9,0.1,D60_hotspot,31.28593012120719,24.43213639878888,31.28639526077564,24.447687127085473,5.931725889601108,1.0,0.0,25.233963315840317,0.0
