D,chi_LR,uniform_best_proxy_for_chi_LR,prolate_best_proxy_for_chi_LR,uniform_chi_LR_proxy_value,prolate_chi_LR_proxy_value,Gamma_ref,uniform_best_proxy_for_Gamma_ref,prolate_best_proxy_for_Gamma_ref,uniform_Gamma_ref_proxy_value,prolate_Gamma_ref_proxy_value,g2_raw,uniform_best_proxy_for_g2_raw,prolate_best_proxy_for_g2_raw,uniform_g2_raw_proxy_value,prolate_g2_raw_proxy_value,g3_raw,uniform_best_proxy_for_g3_raw,prolate_best_proxy_for_g3_raw,uniform_g3_raw_proxy_value,prolate_g3_raw_proxy_value
5.627118644067797,0.0003755509545519,delta_omega12,gap_fraction,0.020406030304682132,0.031853445844323085,630.0032417656539,omega1,omega1,0.564452932818613,0.7191752493134281,4.443211433572337,omega3,omega2,1.002821283817521,0.7428371729739024,10.326051200528257,omega3,omega2,1.002821283817521,0.7428371729739024
6.169492525423729,0.0004151101866571,delta_omega12,gap_fraction,0.013363080474890876,0.021736452428755583,537.4768866906845,omega1,omega1,0.5977334613416575,0.7212303200532444,4.417780578430168,omega3,omega2,1.0028241470753387,0.7372556422488175,10.04212282638029,omega3,omega2,1.0028241470753387,0.7372556422488175
6.4406779661016955,0.0004352867950354,delta_omega12,gap_fraction,0.010965377166660684,0.01795055788017561,498.1429699797479,omega1,omega1,0.6153728202229675,0.7219178434683222,4.40746144215754,omega3,omega2,1.002825667663224,0.7351135416461422,9.911468615992211,omega3,omega2,1.002825667663224,0.7351135416461422
6.711864406779661,0.0004556548742646,delta_omega12,gap_fraction,0.009090586516665278,0.014821911463461483,462.6992213591115,omega1,omega1,0.633307998114131,0.7224323436632242,4.3984867032246875,omega3,omega2,1.0028272475106024,0.7333012701656635,9.787964214925456,omega3,omega2,1.0028272475106024,0.7333012701656635
