ref_D,refamp2_peak,center_D,sigma_D,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
9.694915254237287,0.0,5.9,0.1,14.018475615194689,13.038186183828174,0.7906554960652699,12.384155271750046,0.12189913270606212,14.018475615194689,12.384155271750046,14.018475615194689
9.694915254237287,0.0,5.9,0.15,14.018475615194689,13.038186183828174,0.7906554960652699,12.384155271750046,0.12189913270606212,14.018475615194689,12.384155271750046,14.018475615194689
9.694915254237287,0.0,5.9,0.2,14.018475615194689,13.038186183828174,0.7906554960652699,12.384155271750046,0.12189913270606212,14.018475615194689,12.384155271750046,14.018475615194689
9.694915254237287,0.0,6.03,0.1,14.018475615194689,13.038186183828174,0.7906554960652699,12.384155271750046,0.12189913270606212,14.018475615194689,12.384155271750046,14.018475615194689
9.694915254237287,0.0,6.03,0.15,14.018475615194689,13.038186183828174,0.7906554960652699,12.384155271750046,0.12189913270606212,14.018475615194689,12.384155271750046,14.018475615194689
9.694915254237287,0.0,6.03,0.2,14.018475615194689,13.038186183828174,0.7906554960652699,12.384155271750046,0.12189913270606212,14.018475615194689,12.384155271750046,14.018475615194689
9.694915254237287,0.0,6.17,0.1,14.018475615194689,13.038186183828174,0.7906554960652699,12.384155271750046,0.12189913270606212,14.018475615194689,12.384155271750046,14.018475615194689
9.694915254237287,0.0,6.17,0.15,14.018475615194689,13.038186183828174,0.7906554960652699,12.384155271750046,0.12189913270606212,14.018475615194689,12.384155271750046,14.018475615194689
9.694915254237287,0.0,6.17,0.2,14.018475615194689,13.038186183828174,0.7906554960652699,12.384155271750046,0.12189913270606212,14.018475615194689,12.384155271750046,14.018475615194689
9.694915254237287,0.5,6.17,0.1,14.018476682764181,12.969104834805101,2.6391738615515976,12.45266218250785,0.12189954679104886,14.018476682764181,12.45266218250785,14.018476682764181
9.694915254237287,1.0,6.17,0.1,14.018477750333503,12.899944280772488,6.0620824710075,12.521249837269238,0.12189996087613864,14.018477750333503,12.521249837269238,14.018477750333503
9.694915254237287,0.5,6.03,0.1,14.01927651060928,11.864265740429822,0.5126596757768596,12.384736192505628,0.1218991327849821,14.01927651060928,12.384736192505628,14.01927651060928
9.694915254237287,1.0,6.03,0.1,14.020077417015933,10.667473074904528,1.7976877958014086,12.385317119067174,0.1218991328637351,14.020077417015933,12.385317119067174,14.020077417015933
9.694915254237287,0.5,6.17,0.15,14.022311244070032,12.499209972204923,2.6391987672521537,12.91054348356871,0.123341986865114,14.022311244070032,12.91054348356871,14.022311244070032
9.694915254237287,1.0,6.17,0.15,14.026147125057193,11.955412393220463,6.0620824710075,13.441698790523532,0.12478493821515357,14.026147125057193,13.441698790523532,14.026147125057193
9.694915254237287,0.5,5.9,0.1,14.067546860044892,10.20679525588146,0.7029485581038415,12.384156469920654,0.12189913270606212,14.067546860044892,12.384156469920654,14.067546860044892
9.694915254237287,1.0,5.9,0.1,14.067546860044892,9.206454345434054,0.6151348783024417,12.38415766809127,0.12189913270606212,14.067546860044892,12.38415766809127,14.067546860044892
9.694915254237287,0.5,5.9,0.15,14.067546860044892,10.206564078620794,0.12860042459276144,12.388183903990061,0.12189956096466048,14.067546860044892,12.388183903990061,14.067546860044892
9.694915254237287,1.0,5.9,0.15,14.067546860044892,9.206454345434054,0.580871450096808,12.392212815456858,0.12189998922326595,14.067546860044892,12.392212815456858,14.067546860044892
9.694915254237287,0.5,6.03,0.15,14.067546860044892,11.126260569679737,1.4315776111413356,12.447102397080243,0.12193117924679342,14.067546860044892,12.447102397080243,14.067546860044892
