mode,D,slice_p95_abs_g_norm_component,slice_p95_abs_g_shape2_component,slice_p95_abs_m2_component,slice_dominant_fraction_g_norm,slice_dominant_fraction_g_shape2,slice_dominant_fraction_m2_2,slice_max_abs_mu_delta,worst_eta,worst_mu_full,worst_mu_mode,worst_abs_g_norm_component,worst_abs_g_shape2_component,worst_abs_m2_component,worst_dominant_component
bandm2,6.4,0.4510386804207114,0.29844650497200176,0.08013585854375033,1.0,0.0,0.0,7.906050653897374,0.2,59.87715710517649,67.78320775907386,0.4510386804207114,0.29844650497200176,0.08013585854375033,g_norm
bandm2,7.2,0.03913637823043903,0.13993053658893073,0.12070262488169037,0.0,1.0,0.0,1.069779359076683,0.2,3.531394482587155,2.4616151235104717,0.03913637823043903,0.13993053658893073,0.12070262488169037,g_shape2
tailm2,6.4,0.4510386804207478,0.2984465049719597,0.08013585854374378,1.0,0.0,0.0,7.906050653896266,0.2,59.87715710517649,67.78320775907275,0.4510386804207478,0.2984465049719597,0.08013585854374378,g_norm
tailm2,7.2,0.03913637832112471,0.13993053667978805,0.12070262488169303,0.0,1.0,0.0,1.0697793578166093,0.2,3.531394482587155,2.4616151247705456,0.03913637832112471,0.13993053667978805,0.12070262488169303,g_shape2
