combo_id,mode,omega,m,phase,center_D,width_D,boost,boost_center,boost_width,region,p95_abs_delta_base,p95_abs_delta_cf,max_abs_delta_base,max_abs_delta_cf,mean_abs_improvement,improved_fraction,worsened_fraction,p95_abs_cf_shift_vs_base,acceptance_flip_fraction
1,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.03,D60_hotspot,31.28593012120719,23.941366503831922,31.28639526077564,23.956827913799657,7.02820241940048,1.0,0.0,30.298775433732445,0.0
1,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.03,D21_guard,2.102217055050133,15.359439312329409,2.102232425909044,15.359534004526871,-4.419228471462284,0.0,1.0,13.25729230179989,0.0
2,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.05,D60_hotspot,31.28593012120719,23.941366503831922,31.28639526077564,23.956827913799657,7.028463639065925,1.0,0.0,30.298775433732445,0.0
2,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.05,D21_guard,2.102217055050133,15.359439312329409,2.102232425909044,15.359534004526871,-4.419228471462284,0.0,1.0,13.25729230179989,0.0
3,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.07,D60_hotspot,31.28593012120719,23.941366503831922,31.28639526077564,23.956827913799657,7.040608571658526,1.0,0.0,30.298775420293204,0.0
3,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.07,D21_guard,2.102217055050133,15.3594393119702,2.102232425909044,15.359534004167664,-4.41922847134255,0.0,1.0,13.257292301440682,0.0
4,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.03,D60_hotspot,31.28593012120719,23.941366503831922,31.28639526077564,23.956827913799657,7.028202419184601,1.0,0.0,30.298775433732445,0.0
4,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.03,D21_guard,2.102217055050133,15.359439312329409,2.102232425909044,15.359534004526871,-4.419228471462284,0.0,1.0,13.25729230179989,0.0
5,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.05,D60_hotspot,31.28593012120719,23.941366503831922,31.28639526077564,23.956827913799657,7.028205410854882,1.0,0.0,30.298775433732445,0.0
5,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.05,D21_guard,2.102217055050133,15.359439312329409,2.102232425909044,15.359534004526871,-4.419228471462284,0.0,1.0,13.25729230179989,0.0
6,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.07,D60_hotspot,31.28593012120719,23.941366503831922,31.28639526077564,23.956827913799657,7.029468879872367,1.0,0.0,30.298775433623653,0.0
6,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.07,D21_guard,2.102217055050133,15.359439312327419,2.102232425909044,15.359534004524889,-4.41922847146162,0.0,1.0,13.2572923017979,0.0
7,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.45,0.03,D60_hotspot,31.28593012120719,23.941366503831922,31.28639526077564,23.956827913799657,7.028202419184599,1.0,0.0,30.298775433732445,0.0
7,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.45,0.03,D21_guard,2.102217055050133,15.359439312329409,2.102232425909044,15.359534004526871,-4.419228471462284,0.0,1.0,13.25729230179989,0.0
8,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.45,0.05,D60_hotspot,31.28593012120719,23.941366503831922,31.28639526077564,23.956827913799657,7.028202431789599,1.0,0.0,30.298775433732445,0.0
