target_D,eval_D,case,case_label,g_beta,g_center,g_half_width,mismatch,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu,score
6.4,6.4406779661016955,D60E21_release,D60 x E21 release,0.243,0.049,0.023,0.0,5.221421313797308,5.22159042812104,5.221421313797308
6.4,6.4406779661016955,D60E21_release,D60 x E21 release,0.243,0.049,0.025,0.0,5.213513172978601,5.213682202746554,5.213513172978601
