D,mechanism,parameter,step_baseline_p95_abs_delta_mu_mumu,step_candidate_p95_abs_delta_mu_mumu,step_baseline_acceptance_mismatch,step_candidate_acceptance_mismatch,combined_p95_abs_delta_mu_mumu,combined_max_abs_delta_mu_mumu,combined_acceptance_mismatch
4.0,local width gate,beta=1.309,106.57226942269449,0.0642712874089486,0.6097560975609756,0.0,0.0642712874089486,0.0688045636278487,0.0
4.8,local width gate,beta=0.75,93.35339736683233,0.1151603111737351,0.0,0.0,0.1151603111737351,0.1190882307926042,0.0
6.4,band-pass g_norm,"beta=0.25, center=0.06, hw=0.04",5.795074563005095,0.8396709108690743,0.0,0.0,0.8396709108690743,0.839887784811225,0.0
7.2,tail width gate,beta=0.35,1.4086274638246463,0.0677059109669899,0.0,0.0,0.0677059109669899,0.0677070698802171,0.0
8.0,tail width gate,beta=1.2,1.729344945573399,0.0417313780644388,0.0,0.0,0.0417313780644388,0.0417314271190694,0.0
