taper_peak,center_D,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,acceptance_mismatch,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,joint_hotspot_objective,guard_objective,joint_objective
1.0,5.7,0.16,30.245125828195803,30.245533887575135,0.0,14.067546860044892,13.038186183831364,0.7906554960706131,30.245533887575135,0.21506693208316818,14.067546860044892,30.245533887575135,15.122766943787568
0.25,5.76,0.16,30.245125828195803,30.245533887575135,0.0,14.067546860044892,12.726916894771414,0.7906554960706131,30.245533887575135,0.21506698835485238,14.067546860044892,30.245533887575135,15.122766943787568
0.5,5.76,0.16,30.245125828195803,30.245533887575135,0.0,14.067546860044892,13.038186183831364,0.7906554960706131,30.245533887575135,0.21506708635217464,14.067546860044892,30.245533887575135,15.122766943787568
0.75,5.76,0.16,30.245125828195803,30.245533887575135,0.0,14.067546860044892,13.038186183831364,0.7906554960706131,30.245533887575135,0.21506718434964966,14.067546860044892,30.245533887575135,15.122766943787568
1.0,5.76,0.16,30.245125828195803,30.245533887575135,0.0,14.067546860044892,13.038186183831364,0.7906554960706131,30.245533887575135,0.21506726694990164,14.067546860044892,30.245533887575135,15.122766943787568
0.25,5.82,0.16,30.245125828195803,30.245533887575135,0.0,14.067546860044892,12.478985883128935,0.7906554960706131,30.245533887575135,0.21506726694990164,14.067546860044892,30.245533887575135,15.122766943787568
0.5,5.82,0.16,30.245125828195803,30.245533887575135,0.0,14.067546860044892,13.038186183831364,0.7906554960706131,30.245533887575135,0.21506726694990164,14.067546860044892,30.245533887575135,15.122766943787568
0.75,5.82,0.16,30.245125828195803,30.245533887575135,0.0,14.067546860044892,13.038186183831364,0.7906554960706131,30.245533887575135,0.21506726694990164,14.067546860044892,30.245533887575135,15.122766943787568
1.0,5.82,0.16,30.245125828195803,30.245533887575135,0.0,14.067546860044892,13.038186183831364,0.7906554960706131,30.245533887575135,0.21506726694990164,14.067546860044892,30.245533887575135,15.122766943787568
0.75,5.7,0.16,30.245255055271382,30.24566311639765,0.0,14.067546860044892,13.038186183831364,0.7906554960706131,30.24566311639765,0.21506692165169738,14.067546860044892,30.24566311639765,15.122831558198826
0.5,5.7,0.16,30.245550818747972,30.24595888387246,0.0,14.067546860044892,13.038186183831364,0.7906554960706131,30.24595888387246,0.2150669112203083,14.067546860044892,30.24595888387246,15.12297944193623
0.25,5.7,0.16,30.245846583375553,30.246254652498266,0.0,14.067546860044892,12.696193803002679,0.7839824834578195,30.246254652498266,0.2150669007888446,14.067546860044892,30.246254652498266,15.123127326249133
1.0,5.82,0.12,30.24605002714106,30.246458099014006,0.0,14.067546860044892,13.038186183831364,0.7906554960706131,30.246458099014006,0.21506689038149673,14.067546860044892,30.246458099014006,15.123229049507003
0.75,5.82,0.12,30.246073107633983,30.246481179818957,0.0,14.067546860044892,13.038186183831364,0.7906554960706131,30.246481179818957,0.21506689037549975,14.067546860044892,30.246481179818957,15.123240589909479
0.5,5.82,0.12,30.246096188133414,30.246504260630374,0.0,14.067546860044892,13.038186183831364,0.7906554960706131,30.246504260630374,0.21506689036943527,14.067546860044892,30.246504260630374,15.123252130315187
0.25,5.82,0.12,30.24611926864036,30.24652734144935,0.0,14.067546860044892,12.622901916542979,0.7901574743888489,30.24652734144935,0.21506689036344895,14.067546860044892,30.24652734144935,15.123263670724675
1.0,5.76,0.12,30.246135620320047,30.24654369335009,0.0,14.067546860044892,13.038186183831364,0.7861312001658121,30.24654369335009,0.21506689035805238,14.067546860044892,30.24654369335009,15.123271846675046
0.75,5.76,0.12,30.246137302528478,30.246545375581263,0.0,14.067546860044892,13.038186183831364,0.759035832594634,30.246545375581263,0.215066890357825,14.067546860044892,30.246545375581263,15.123272687790632
0.5,5.76,0.12,30.246138984736973,30.246547057812478,0.0,14.067546860044892,13.038186183831364,0.7319302784151631,30.246547057812478,0.2150668903577575,14.067546860044892,30.246547057812478,15.123273528906239
0.25,5.76,0.12,30.246140666945507,30.246548740043764,0.0,14.067546860044892,12.724269548155824,0.7048145337969771,30.246548740043764,0.21506689035760473,14.067546860044892,30.246548740043764,15.123274370021882
1.0,5.7,0.12,30.24614197017733,30.246550043293198,0.0,14.067546860044892,13.038186183831364,0.6976211430403367,30.246550043293198,0.21506689035745552,14.067546860044892,30.246550043293198,15.123275021646599
0.75,5.7,0.12,30.246142064921496,30.24655013803867,0.0,14.067546860044892,13.038186183831364,0.6926385221071172,30.24655013803867,0.21506689035753013,14.067546860044892,30.24655013803867,15.123275069019336
0.5,5.7,0.12,30.246142159665666,30.246550232784102,0.0,14.067546860044892,13.038186183831364,0.6876555571236338,30.246550232784102,0.21506689035745552,14.067546860044892,30.246550232784102,15.123275116392051
