family,peak2,center2_D,sigma2_D,p95_abs_delta_mu,max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
pointamp2,1.0,5.95,0.12,30.69910416211794,30.704200474270614,30.704200474270614,18.24691498317604,4.939284921830755,2.6032105972476423,30.704200474270614,4.939284921830755,30.704200474270614
pointamp2,1.0,5.95,0.16,30.705676843681275,30.71077187401002,30.71077187401002,21.702809876434856,4.688692324862998,2.6032165996248686,30.71077187401002,4.688692324862998,30.71077187401002
pointamp2,1.0,5.95,0.2,30.70881032087543,30.71390474010407,30.71390474010407,24.267143808356927,3.561444725624902,2.603566085916505,30.71390474010407,3.561444725624902,30.71390474010407
pointamp2,1.0,5.9,0.08,30.714488945690917,30.719582257457162,30.719582257457162,14.943604642761201,4.9459356699766275,2.6032105963583376,30.719582257457162,4.9459356699766275,30.719582257457162
pointamp2,1.0,5.9,0.12,30.714510641219864,30.71960394875496,30.71960394875496,16.340663591811904,4.944825818776621,2.603210596416208,30.71960394875496,4.944825818776621,30.71960394875496
pointamp2,1.0,5.9,0.16,30.714518235292292,30.71961154134638,30.71961154134638,19.192090784915933,4.851846214074669,2.6032118874127903,30.71961154134638,4.851846214074669,30.71961154134638
pointamp2,1.0,5.9,0.2,30.714521750374807,30.719615055743397,30.719615055743397,21.9209919313855,4.215091764708781,2.6033435393714193,30.719615055743397,4.215091764708781,30.719615055743397
pointamp2,1.0,6.17,0.08,31.08620125786718,31.092046883868072,30.54591792088962,31.092046883868072,4.8531836269450395,2.6032105964132413,31.092046883868072,4.8531836269450395,31.092046883868072
pointamp2,1.0,6.17,0.12,31.086361005238427,31.09220660802626,30.55881807723526,31.09220660802626,2.7561459632839913,2.603229397826592,31.09220660802626,2.7561459632839913,31.09220660802626
pointamp2,1.0,6.17,0.16,31.08641691713392,31.092262511797152,30.586629392983475,31.092262511797152,1.4657428013421097,2.6048371612826564,31.092262511797152,2.6048371612826564,31.092262511797152
pointamp2,1.0,6.17,0.2,31.086442796409465,31.092288387312145,30.6146849628564,31.092288387312145,5.382283726600065,2.616026718056826,31.092288387312145,5.382283726600065,31.092288387312145
