label,width_beta,width_center,width_half_width,D,eta,mu_candidate,mu_full,chi2_candidate,chi2_full,abs_delta_mu_mumu,acceptance_mismatch
gnorm_bandpass_only,0.0,4.8,0.4,4.0,0.2,90.18134075062119,1.8414344787177772,49263.29040923693,1.2179024937552234,88.33990627190342,1.0
gnorm_bandpass_only,0.0,4.8,0.4,4.0,1.15,95.15351870019259,1.983281234640386,54935.764179171,2.1263562417725805,93.1702374655522,1.0
gnorm_bandpass_only,0.0,4.8,0.4,4.0,2.1,100.1188179105265,2.129743190999092,60908.78131032304,3.328282030059609,97.98907471952741,1.0
gnorm_bandpass_only,0.0,4.8,0.4,4.0,3.0500000000000003,105.05724335274698,2.280298844359258,67155.15062181628,4.843287846126531,102.77694450838773,0.0
gnorm_bandpass_only,0.0,4.8,0.4,4.0,4.0,109.94940725280014,2.4343797555642395,73643.58634333909,6.687134242007098,107.5150274972359,0.0
gnorm_bandpass_only,0.0,4.8,0.4,4.8,0.2,103.5816805743462,11.49929856244426,65256.849031235724,637.4739465836794,92.08238201190193,0.0
gnorm_bandpass_only,0.0,4.8,0.4,4.8,1.15,103.96793187359305,11.550778722937414,65751.12905516263,643.9894292627431,92.41715315065564,0.0
gnorm_bandpass_only,0.0,4.8,0.4,4.8,2.1,104.35402471266721,11.602304150462675,66247.07002835306,650.5438123659245,92.75172056220454,0.0
gnorm_bandpass_only,0.0,4.8,0.4,4.8,3.0500000000000003,104.7399479015149,11.653873415170883,66744.65520179883,657.1370000896761,93.08607448634402,0.0
gnorm_bandpass_only,0.0,4.8,0.4,4.8,4.0,105.1256902634242,11.70548508333282,67243.86762889882,663.7688925174704,93.42020518009139,0.0
gnorm_bandpass_only,0.0,4.8,0.4,6.4,0.2,56.961958286517934,57.79750829366997,19294.57005395474,19879.24338584108,0.8355500071520368,0.0
gnorm_bandpass_only,0.0,4.8,0.4,6.4,1.15,56.96161829755008,57.79825280797608,19294.333924016573,19879.76824870238,0.8366345104259949,0.0
gnorm_bandpass_only,0.0,4.8,0.4,6.4,2.1,56.961278320455584,57.7989972950639,19294.09780376955,19880.293099303904,0.8377189746083147,0.0
gnorm_bandpass_only,0.0,4.8,0.4,6.4,3.0500000000000003,56.96093835526775,57.79974175463098,19293.861693236646,19880.817937431653,0.8388033993632291,0.0
gnorm_bandpass_only,0.0,4.8,0.4,6.4,4.0,56.96059840198032,57.800486186791545,19293.62559241336,19881.3427631654,0.839887784811225,0.0
gnorm_bandpass_only,0.0,4.8,0.4,7.2,0.2,4.893082583121168,3.4844537025541538,76.26016207815282,27.155920238073257,1.4086288805670142,0.0
gnorm_bandpass_only,0.0,4.8,0.4,7.2,1.15,4.893077041299989,3.4844552438802854,76.25992010285678,27.155960398375125,1.4086217974197037,0.0
gnorm_bandpass_only,0.0,4.8,0.4,7.2,2.1,4.893071499508599,3.4844567850596637,76.2596781292453,27.15600055488293,1.4086147144489352,0.0
gnorm_bandpass_only,0.0,4.8,0.4,7.2,3.0500000000000003,4.893065957797182,3.484458326247739,76.25943615950963,27.156040711647034,1.408607631549443,0.0
gnorm_bandpass_only,0.0,4.8,0.4,7.2,4.0,4.8930604161100835,3.484459867413977,76.25919419121966,27.156080867871836,1.4086005486961066,0.0
gnorm_bandpass_only,0.0,4.8,0.4,8.0,0.2,4.048115660436409,2.318770705646786,43.82822844405349,5.275872559716833,1.7293449547896227,0.0
gnorm_bandpass_only,0.0,4.8,0.4,8.0,1.15,4.048115600918183,2.318770692159089,43.82822647391418,5.275872404815571,1.729344908759094,0.0
gnorm_bandpass_only,0.0,4.8,0.4,8.0,2.1,4.048115540840071,2.318770678332956,43.828224485241876,5.2758722460274985,1.7293448625071148,0.0
gnorm_bandpass_only,0.0,4.8,0.4,8.0,3.0500000000000003,4.048115480453916,2.31877066432208,43.82822248637296,5.27587208511773,1.729344816131836,0.0
gnorm_bandpass_only,0.0,4.8,0.4,8.0,4.0,4.048115420239777,2.318770650410769,43.828220493198074,5.2758719253514235,1.7293447698290083,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,4.0,0.2,90.18134075062119,1.8414344787177772,49263.29040923693,1.2179024937552234,88.33990627190342,1.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,4.0,1.15,95.15351870019259,1.983281234640386,54935.764179171,2.1263562417725805,93.1702374655522,1.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,4.0,2.1,100.11881791052649,2.129743190999092,60908.78131032302,3.328282030059609,97.9890747195274,1.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,4.0,3.0500000000000003,105.05724335274698,2.280298844359258,67155.15062181628,4.843287846126531,102.77694450838773,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,4.0,4.0,109.94940725280017,2.4343797555642395,73643.58634333916,6.687134242007098,107.51502749723593,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,4.8,0.2,32.13634400883894,11.49929856244426,5904.517768935558,637.4739465836794,20.63704544639468,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,4.8,1.15,32.29704234875785,11.550778722937414,5966.42016188085,643.9894292627431,20.746263625820433,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,4.8,2.1,32.45798108890843,11.602304150462675,6028.738683243712,650.5438123659245,20.855676938445757,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,4.8,3.0500000000000003,32.61915569764487,11.653873415170883,6091.4730154612,657.1370000896761,20.965282282473986,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,4.8,4.0,32.780561622035606,11.70548508333282,6154.622798214837,663.7688925174704,21.07507653870279,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,6.4,0.2,56.96195828651792,57.79750829366997,19294.57005395473,19879.24338584108,0.835550007152051,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,6.4,1.15,56.961618297550096,57.79825280797608,19294.33392401658,19879.76824870238,0.8366345104259807,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,6.4,2.1,56.961278320455584,57.7989972950639,19294.09780376955,19880.293099303904,0.8377189746083147,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,6.4,3.0500000000000003,56.960938355267736,57.79974175463098,19293.861693236628,19880.817937431653,0.8388033993632433,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,6.4,4.0,56.96059840198032,57.800486186791545,19293.62559241336,19881.3427631654,0.839887784811225,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,7.2,0.2,4.893082583121168,3.4844537025541538,76.26016207815282,27.155920238073257,1.4086288805670142,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,7.2,1.15,4.893077041299989,3.4844552438802854,76.25992010285678,27.155960398375125,1.4086217974197037,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,7.2,2.1,4.893071499508599,3.4844567850596637,76.2596781292453,27.15600055488293,1.4086147144489352,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,7.2,3.0500000000000003,4.893065957797182,3.484458326247739,76.25943615950963,27.156040711647034,1.408607631549443,0.0
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,7.2,4.0,4.8930604161100835,3.484459867413977,76.25919419121966,27.156080867871836,1.4086005486961066,0.0
